t,f2,bias,v2,x2,y2,r2,theta2,x8,y8,r8,theta8
1681325601.777825,442.3,0.0,0.1,0.00161029,-7.850687e-05,0.00199659,357.2089,-0.0986333,-0.00164796,-0.467775,-179.052
1681325605.8552926,442.3,0.53,0.1,0.00161029,-7.850687e-05,0.001612202,357.2089,-0.0986333,-0.00164796,-0.467775,-179.052
1681325609.9323328,442.3,1.05,0.1,0.00161029,-7.850687e-05,0.001612202,344.5876,-0.0986333,-0.00164796,-0.467775,-179.052
1681325613.978747,442.3,1.58,0.1,0.00161029,-7.850687e-05,0.001612202,347.3375,-0.0986333,-0.00164796,-0.467836,-179.052
1681325618.0701053,442.3,2.11,0.1,0.00161029,-7.850687e-05,0.001247184,344.5876,-0.0986333,-0.00170899,-0.467836,-179.034
1681325622.154833,442.3,2.63,0.1,0.00161029,-7.850687e-05,0.001670359,357.2089,-0.0986333,-0.00170899,-0.467775,-179.034
1681325626.2386036,442.3,3.16,0.1,0.00161029,-0.0004439224,0.001612202,357.2089,-0.0986333,-0.00170899,-0.467775,-179.034
1681325630.3270326,442.3,3.68,0.1,0.00161029,-0.0004439224,0.001612202,357.2089,-0.0986333,-0.00170899,-0.467836,-179.034
1681325634.40529,442.3,4.21,0.1,0.00161029,0.0002869087,0.001635649,340.3714,-0.0986333,-0.00170899,-0.467775,-179.034
1681325638.4755404,442.3,4.74,0.1,0.00124471,-0.0004439224,0.001977428,357.2089,-0.0986333,-0.00170899,-0.467775,-179.034
1681325642.530325,442.3,5.26,0.1,0.001975869,-0.0004439224,0.001321503,357.2089,-0.0986333,-0.00170899,-0.467775,-179.034
1681325646.6026764,442.3,5.79,0.1,0.00161029,-0.0004439224,0.001321503,357.7247,-0.0986333,-0.00164796,-0.467836,-179.052
1681325650.6746075,442.3,6.32,0.1,0.001975869,-7.850687e-05,0.001612202,10.1025,-0.0986333,-0.00164796,-0.467836,-179.052
1681325654.7476876,442.3,6.84,0.1,0.00161029,-7.850687e-05,0.001612202,357.7247,-0.0986333,-0.00164796,-0.467836,-179.052
1681325658.8324478,442.3,7.37,0.1,0.00161029,0.0002869087,0.001321503,357.2089,-0.0986333,-0.00170899,-0.467775,-179.034
1681325662.885442,442.3,7.89,0.1,0.00161029,-0.0004439224,0.001670359,10.1025,-0.0986333,-0.00164796,-0.467836,-179.052
1681325666.9598262,442.3,8.42,0.1,0.00161029,0.0006523243,0.001670359,10.1025,-0.0986333,-0.00170899,-0.467836,-179.034
1681325671.0052896,442.3,8.95,0.1,0.00161029,-7.850687e-05,0.001635649,344.5876,-0.0986333,-0.00170899,-0.467836,-179.034
1681325675.0562327,442.3,9.47,0.1,0.00161029,-7.850687e-05,0.001612202,340.3714,-0.0986333,-0.00170899,-0.467775,-179.034
1681325679.1013036,442.3,10.0,0.1,0.00161029,-0.0004439224,0.001977428,344.5876,-0.0986333,-0.00164796,-0.467836,-179.052
1681325683.200982,442.3,10.0,0.1,0.00161029,0.0002869087,0.001612202,357.2089,-0.0986333,-0.00164796,-0.467775,-179.052
1681325687.3010917,442.3,9.47,0.1,0.00161029,-0.0008093381,0.001612202,357.2089,-0.0986333,-0.00164796,-0.467775,-179.052
1681325691.3615522,442.3,8.95,0.1,0.00161029,0.0002869087,0.001670359,357.2089,-0.0986333,-0.00170899,-0.467836,-179.034
1681325695.426241,442.3,8.42,0.1,0.00161029,0.0002869087,0.001277349,357.2089,-0.0986333,-0.00164796,-0.467775,-179.052
1681325699.4997082,442.3,7.89,0.1,0.00161029,-7.850687e-05,0.001670359,357.2089,-0.0986333,-0.00164796,-0.467775,-179.052
1681325703.5471692,442.3,7.37,0.1,0.00161029,0.0002869087,0.001612202,357.2089,-0.0986333,-0.00170899,-0.467775,-179.034
1681325707.6110876,442.3,6.84,0.1,0.00161029,-0.0004439224,0.001612202,344.5876,-0.0986333,-0.00170899,-0.467836,-179.034
1681325711.6895473,442.3,6.32,0.1,0.00124471,-0.0004439224,0.001977428,356.391,-0.0986333,-0.00170899,-0.467775,-179.034
1681325715.753309,442.3,5.79,0.1,0.00161029,-7.850687e-05,0.001247184,10.1025,-0.0986333,-0.00170899,-0.467775,-179.034
