t,f2,bias,v2,x2,y2,r2,theta2,x8,y8,r8,theta8
1681336196.0423884,442.3,0.0,0.1,0.001207891,-7.850687e-07,0.001207891,0.1360936,-0.0986638,-0.00166322,-0.0146027,-179.034
1681336200.123351,442.3,0.05,0.1,0.001204235,2.869087e-06,0.001207894,0.3094241,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336204.1980383,442.3,0.1,0.1,0.001207891,2.869087e-06,0.001207894,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336208.283079,442.3,0.15,0.1,0.001207891,-7.850687e-07,0.001207891,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336212.3720367,442.3,0.2,0.1,0.001207891,2.869087e-06,0.001207891,359.7894,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336216.4290214,442.3,0.25,0.1,0.001211547,6.523243e-06,0.001207891,0.1365068,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336220.482658,442.3,0.3,0.1,0.001207891,2.869087e-06,0.001207894,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336224.5624797,442.3,0.35,0.1,0.001207891,-7.850687e-07,0.001207894,359.9628,-0.0986638,-0.00164033,-0.0146027,-179.046
1681336228.632118,442.3,0.4,0.1,0.001204235,2.869087e-06,0.001207894,0.1356829,-0.0986714,-0.00164796,-0.0145951,-179.046
1681336232.6943703,442.3,0.45,0.1,0.001207891,2.869087e-06,0.001207894,359.9626,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336236.747726,442.3,0.5,0.1,0.001207891,2.869087e-06,0.001204239,359.9628,-0.0986714,-0.00164796,-0.0145951,-179.046
1681336240.8084254,442.3,0.55,0.1,0.001207891,2.869087e-06,0.001204235,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336244.8718653,442.3,0.6,0.1,0.001207891,6.523243e-06,0.00121155,0.1360936,-0.0986714,-0.00164796,-0.0145951,-179.046
1681336248.9405475,442.3,0.65,0.1,0.001211547,2.869087e-06,0.001207891,0.1360936,-0.0986714,-0.00164796,-0.0145951,-179.046
1681336253.0099413,442.3,0.7,0.1,0.001207891,2.869087e-06,0.001207894,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336257.080148,442.3,0.75,0.1,0.001207891,-7.850687e-07,0.001207894,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336261.1510894,442.3,0.8,0.1,0.001207891,2.869087e-06,0.001207909,359.9629,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336265.2171772,442.3,0.85,0.1,0.001207891,2.869087e-06,0.001204239,0.1365068,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336269.28965,442.3,0.9,0.1,0.001207891,2.869087e-06,0.001207891,359.9628,-0.0986638,-0.00164033,-0.0146027,-179.046
1681336273.357059,442.3,0.95,0.1,0.001204235,6.523243e-06,0.001207894,0.1360936,-0.0986638,-0.00164033,-0.0146027,-179.046
1681336277.4480116,442.3,1.01,0.1,0.001207891,2.869087e-06,0.001204239,0.1365068,-0.0986714,-0.00164796,-0.0145951,-179.046
1681336281.487995,442.3,1.06,0.1,0.001211547,6.523243e-06,0.001207891,0.3084905,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336285.55235,442.3,1.11,0.1,0.001207891,2.869087e-06,0.001207891,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336289.61411,442.3,1.16,0.1,0.001207891,6.523243e-06,0.001211564,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336293.7086875,442.3,1.21,0.1,0.001211547,6.523243e-06,0.001207891,359.9629,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336297.782488,442.3,1.26,0.1,0.001211547,-7.850687e-07,0.001207891,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336301.8365407,442.3,1.31,0.1,0.001207891,-7.850687e-07,0.001207891,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336305.9160054,442.3,1.36,0.1,0.001204235,2.869087e-06,0.001207894,359.7894,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336310.0049303,442.3,1.41,0.1,0.001207891,-7.850687e-07,0.00121155,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336314.0776618,442.3,1.46,0.1,0.001207891,2.869087e-06,0.001207891,359.9628,-0.0986638,-0.00165559,-0.0146027,-179.04
1681336318.1553895,442.3,1.51,0.1,0.001211547,-7.850687e-07,0.001207891,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336322.2311742,442.3,1.56,0.1,0.001211547,6.523243e-06,0.00121155,359.9626,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336326.2945404,442.3,1.61,0.1,0.001207891,2.869087e-06,0.001207894,359.9626,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336330.344483,442.3,1.66,0.1,0.001207891,2.869087e-06,0.001207894,359.9629,-0.0986638,-0.00165559,-0.0146027,-179.04
1681336334.411952,442.3,1.71,0.1,0.001207891,-4.439225e-06,0.001207891,359.9629,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336338.4759662,442.3,1.76,0.1,0.001207891,2.869087e-06,0.001207891,359.9629,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336342.5204415,442.3,1.81,0.1,0.001211547,2.869087e-06,0.001207891,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336346.584644,442.3,1.86,0.1,0.001204235,2.869087e-06,0.001207894,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
