t,gateBias,f2,bias,v2,x2,y2,r2,theta2,x8,y8,r8,theta8
1681346526.6178148,-3.0,442.3,0.0,0.01,0.00956947,-1.77569e-05,0.009554847,359.9812,0,0,0,0
1681346530.1784291,-3.0,442.3,0.03,0.01,0.00961334,1.147635e-05,0.009598751,0.06850353,0,0,0,0
1681346533.7429056,-3.0,442.3,0.05,0.01,0.009598716,1.147635e-05,0.009598723,0.1557514,0,0,0,0
1681346537.273707,-3.0,442.3,0.08,0.01,0.00961334,1.147635e-05,0.009627969,0.1555144,0,0,0,0
1681346540.8163936,-3.0,442.3,0.1,0.01,0.00961334,1.147635e-05,0.009598751,0.06850353,0,0,0,0
1681346544.3739362,-3.0,442.3,0.13,0.01,0.00961334,1.147635e-05,0.009598751,0.1555144,0,0,0,0
1681346547.9128108,-3.0,442.3,0.15,0.01,0.00961334,1.147635e-05,0.009598723,0.1557514,0,0,0,0
1681346551.4709895,-3.0,442.3,0.18,0.01,0.009598716,1.147635e-05,0.009598716,359.9813,0,0,0,0
1681346555.0285196,-3.0,442.3,0.21,0.01,0.00961334,1.147635e-05,0.009598716,359.9813,0,0,0,0
1681346558.5811303,-3.0,442.3,0.23,0.01,0.00961334,1.147635e-05,0.009613346,0.06839932,0,0,0,0
1681346562.1289892,-3.0,442.3,0.26,0.01,0.00961334,-3.140275e-06,0.009627969,0.06850353,0,0,0,0
1681346565.6577845,-3.0,442.3,0.28,0.01,0.00961334,-3.140275e-06,0.009613346,359.9813,0,0,0,0
1681346569.212237,-3.0,442.3,0.31,0.01,0.00961334,2.609297e-05,0.009613374,359.9813,0,0,0,0
1681346572.7553186,-3.0,442.3,0.33,0.01,0.00961334,-3.140275e-06,0.009598751,0.06850353,0,0,0,0
1681346576.3083866,-3.0,442.3,0.36,0.01,0.009598716,2.609297e-05,0.009613374,0.06850353,0,0,0,0
1681346579.8538337,-3.0,442.3,0.38,0.01,0.00961334,1.147635e-05,0.009598751,0.06850353,0,0,0,0
1681346583.4012764,-3.0,442.3,0.41,0.01,0.009598716,1.147635e-05,0.009627969,0.1555144,0,0,0,0
1681346586.9397533,-3.0,442.3,0.44,0.01,0.009584093,2.609297e-05,0.009598723,0.06850353,0,0,0,0
1681346590.505509,-3.0,442.3,0.46,0.01,0.00961334,-3.140275e-06,0.009613346,359.9813,0,0,0,0
1681346594.0628767,-3.0,442.3,0.49,0.01,0.009598716,1.147635e-05,0.009613374,0.1557514,0,0,0,0
1681346597.6041262,-3.0,442.3,0.51,0.01,0.009584093,2.609297e-05,0.009598723,0.1557514,0,0,0,0
1681346601.173391,-3.0,442.3,0.54,0.01,0.009598716,1.147635e-05,0.009613374,0.1557514,0,0,0,0
1681346604.7310286,-3.0,442.3,0.56,0.01,0.00961334,-1.77569e-05,0.009598723,0.06839932,0,0,0,0
1681346608.2700627,-3.0,442.3,0.59,0.01,0.00961334,2.609297e-05,0.009613374,0.1555144,0,0,0,0
1681346611.8405116,-3.0,442.3,0.62,0.01,0.009598716,2.609297e-05,0.009613374,0.2429985,0,0,0,0
1681346615.3834796,-3.0,442.3,0.64,0.01,0.00961334,1.147635e-05,0.009598716,359.9813,0,0,0,0
1681346618.915787,-3.0,442.3,0.67,0.01,0.00961334,1.147635e-05,0.009613341,0.1555144,0,0,0,0
1681346622.46516,-3.0,442.3,0.69,0.01,0.009598716,-3.140275e-06,0.009613346,0.06850353,0,0,0,0
1681346626.0272725,-3.0,442.3,0.72,0.01,0.00961334,2.609297e-05,0.009598723,0.1557514,0,0,0,0
1681346629.58436,-3.0,442.3,0.74,0.01,0.009598716,1.147635e-05,0.009613341,0.06850353,0,0,0,0
1681346633.133839,-3.0,442.3,0.77,0.01,0.009598716,-3.140275e-06,0.009598716,0.06860805,0,0,0,0
1681346636.6764338,-3.0,442.3,0.79,0.01,0.009598716,1.147635e-05,0.009613346,0.06850353,0,0,0,0
1681346640.2214267,-3.0,442.3,0.82,0.01,0.009598716,1.147635e-05,0.009613341,0.06850353,0,0,0,0
1681346643.788298,-3.0,442.3,0.85,0.01,0.009598716,1.147635e-05,0.009598723,0.06839932,0,0,0,0
1681346647.330316,-3.0,442.3,0.87,0.01,0.009598716,-3.140275e-06,0.009613356,0.1557514,0,0,0,0
1681346650.8751895,-3.0,442.3,0.9,0.01,0.009598716,1.147635e-05,0.009613346,0.1555144,0,0,0,0
1681346654.420259,-3.0,442.3,0.92,0.01,0.009598716,1.147635e-05,0.009598723,0.1557514,0,0,0,0
1681346657.96956,-3.0,442.3,0.95,0.01,0.00961334,2.609297e-05,0.009613346,0.1555144,0,0,0,0
1681346661.5266047,-3.0,442.3,0.97,0.01,0.009598716,1.147635e-05,0.009613346,0.06850353,0,0,0,0
1681346665.08742,-3.0,442.3,1.0,0.01,0.009598716,1.147635e-05,0.009613346,0.06839932,0,0,0,0
1681346668.6469252,-3.0,442.3,1.0,0.01,0.009598716,1.147635e-05,0.009598723,0.2429985,0,0,0,0
1681346672.1911378,-3.0,442.3,0.97,0.01,0.009598716,-3.140275e-06,0.009613346,0.06850353,0,0,0,0
1681346675.7582095,-3.0,442.3,0.95,0.01,0.009598716,1.147635e-05,0.009598723,359.9813,0,0,0,0
1681346679.2947373,-3.0,442.3,0.92,0.01,0.009627962,-3.140275e-06,0.009598751,0.1555144,0,0,0,0
1681346682.8502398,-3.0,442.3,0.9,0.01,0.009598716,-1.77569e-05,0.009613374,0.06850353,0,0,0,0
1681346686.4129565,-3.0,442.3,0.87,0.01,0.009598716,1.147635e-05,0.009613341,0.06850353,0,0,0,0
1681346689.9679701,-3.0,442.3,0.85,0.01,0.009584093,-3.140275e-06,0.009598723,0.1557514,0,0,0,0
1681346693.517422,-3.0,442.3,0.82,0.01,0.009598716,2.609297e-05,0.009598723,359.9813,0,0,0,0
1681346697.0697272,-3.0,442.3,0.79,0.01,0.009598716,-3.140275e-06,0.009598723,0.06850353,0,0,0,0
1681346700.626703,-3.0,442.3,0.77,0.01,0.00961334,-3.140275e-06,0.009598751,0.06850353,0,0,0,0
1681346704.16909,-3.0,442.3,0.74,0.01,0.009598716,2.609297e-05,0.009598723,359.9813,0,0,0,0
1681346707.71654,-3.0,442.3,0.72,0.01,0.009598716,1.147635e-05,0.009598716,359.9813,0,0,0,0
1681346711.2747993,-3.0,442.3,0.69,0.01,0.009598716,-3.140275e-06,0.009598716,359.9813,0,0,0,0
1681346714.8251264,-3.0,442.3,0.67,0.01,0.009598716,-3.140275e-06,0.009598751,0.06850353,0,0,0,0
1681346718.3785427,-3.0,442.3,0.64,0.01,0.009598716,-3.140275e-06,0.009598751,0.1557514,0,0,0,0
1681346721.9374254,-3.0,442.3,0.62,0.01,0.009598716,1.147635e-05,0.009598751,0.1557514,0,0,0,0
1681346725.4778624,-3.0,442.3,0.59,0.01,0.009584093,1.147635e-05,0.00958418,0.06839932,0,0,0,0
1681346729.0327327,-3.0,442.3,0.56,0.01,0.009598716,2.609297e-05,0.009598723,0.06850353,0,0,0,0
1681346732.5782893,-3.0,442.3,0.54,0.01,0.009584093,1.147635e-05,0.0095841,0.06860805,0,0,0,0
1681346736.1225734,-3.0,442.3,0.51,0.01,0.009598716,1.147635e-05,0.009598716,0.06850353,0,0,0,0
1681346739.683222,-3.0,442.3,0.49,0.01,0.009598716,2.609297e-05,0.009584128,0.155989,0,0,0,0
1681346743.2459254,-3.0,442.3,0.46,0.01,0.009584093,-3.140275e-06,0.009598723,359.9813,0,0,0,0
1681346746.798468,-3.0,442.3,0.44,0.01,0.009598716,2.609297e-05,0.009598751,359.894,0,0,0,0
1681346750.343136,-3.0,442.3,0.41,0.01,0.009598716,1.147635e-05,0.009598716,359.9813,0,0,0,0
1681346753.9027376,-3.0,442.3,0.38,0.01,0.009584093,1.147635e-05,0.009598751,359.9812,0,0,0,0
1681346757.4570794,-3.0,442.3,0.36,0.01,0.009598716,4.070959e-05,0.009613374,359.9813,0,0,0,0
1681346761.0238466,-3.0,442.3,0.33,0.01,0.009598716,2.609297e-05,0.009598723,359.9813,0,0,0,0
1681346764.5711062,-3.0,442.3,0.31,0.01,0.009598716,2.609297e-05,0.009598802,359.9813,0,0,0,0
1681346768.1138601,-3.0,442.3,0.28,0.01,0.009598716,2.609297e-05,0.009598723,0.06850353,0,0,0,0
1681346771.660509,-3.0,442.3,0.26,0.01,0.009598716,1.147635e-05,0.009598723,0.06850353,0,0,0,0
1681346775.2020235,-3.0,442.3,0.23,0.01,0.009584093,2.609297e-05,0.009613341,0.06850353,0,0,0,0
1681346778.7513216,-3.0,442.3,0.21,0.01,0.00961334,1.147635e-05,0.009598732,359.9813,0,0,0,0
1681346782.3119648,-3.0,442.3,0.18,0.01,0.009598716,-3.140275e-06,0.009598723,0.06860805,0,0,0,0
1681346785.8712275,-3.0,442.3,0.15,0.01,0.009598716,1.147635e-05,0.009598723,0.06839932,0,0,0,0
1681346789.4409068,-3.0,442.3,0.13,0.01,0.009598716,2.609297e-05,0.009613346,0.06860805,0,0,0,0
