t,i,x,y,r,theta,xK,tc,therm,dc,i,x2,y2,r2,theta2
1681585742.904837, 3.2, 2.107216e-05, -1.944553e-06, 2.124131e-05, 354.5117, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.96
1681585748.5972846, -3.2, 2.626338e-05, -1.981095e-06, 2.667162e-05, 355.8333, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.96
1681585754.299722, 3.2, 2.0341e-05, -2.017636e-06, 2.011713e-05, 354.3258, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.96
1681585759.9957898, -3.2, 2.567845e-05, -2.054178e-06, 2.589779e-05, 355.4068, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.966
1681585765.6910262, 3.2, 2.0341e-05, -2.017636e-06, 1.988792e-05, 354.3051, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.96
1681585771.3857582, -3.2, 2.560534e-05, -1.981095e-06, 2.612492e-05, 355.4359, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.96
1681585777.101558, 3.2, 2.107216e-05, -2.017636e-06, 2.08446e-05, 354.4322, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.96
1681585782.804326, -3.2, 2.644617e-05, -2.054178e-06, 2.699968e-05, 355.9073, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.96
1681585788.5059013, 3.2, 2.048723e-05, -2.017636e-06, 2.091736e-05, 354.4347, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.96
1681585794.2049353, -3.2, 2.619026e-05, -2.090719e-06, 2.655948e-05, 355.3435, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.96
1681585799.9309204, 3.2, 2.081625e-05, -2.163802e-06, 2.09831e-05, 354.4735, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.966
1681585805.625312, -3.2, 2.65924e-05, -2.090719e-06, 2.660447e-05, 355.4575, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.96
1681585811.3218985, 3.2, 2.081625e-05, -2.017636e-06, 2.109927e-05, 354.4609, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.96
1681585817.0325751, -3.2, 2.571501e-05, -1.944553e-06, 2.639182e-05, 355.6009, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.966
1681585822.7404873, 3.2, 2.147429e-05, -2.127261e-06, 2.124482e-05, 354.2846, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.966
1681585828.4515603, -3.2, 2.677519e-05, -2.090719e-06, 2.689033e-05, 355.5533, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.966
1681585834.171647, 3.2, 2.125495e-05, -1.981095e-06, 2.109927e-05, 354.3331, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.966
1681585839.8576016, -3.2, 2.70311e-05, -2.017636e-06, 2.737266e-05, 355.5482, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.96
1681585845.5668597, 3.2, 2.118183e-05, -2.017636e-06, 2.150306e-05, 354.4204, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.96
1681585851.259659, -3.2, 2.768914e-05, -2.127261e-06, 2.717129e-05, 355.4721, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0164796, 0.419497, 0.96
1681585856.952449, 3.2, 2.121839e-05, -2.090719e-06, 2.063e-05, 353.9709, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.96
