t,i,x,y,r,theta,xK,tc,therm,trueGateDC,trueGateI,x2,y2,r2,theta2
1682529726.3246827, 3.2, -4.091004e-06, -2.349507e-06, 5.591183e-06, 209.8692, 0, 0, 0, +3.795134E-05, -7.931584E-10, -0.00335886, -4.76839e-05, -0.0249616, -179.202
1682529732.7893965, -3.2, 3.220579e-06, -3.080338e-06, 4.597435e-06, 323.8882, 0, 0, 0, +3.795134E-05, -7.931584E-10, -0.00336076, -4.76839e-05, -0.0249597, -179.202
1682529739.2451725, 3.2, -2.628688e-06, -2.349507e-06, 4.71768e-06, 214.9647, 0, 0, 0, +3.795134E-05, -7.931584E-10, -0.00336076, -4.76839e-05, -0.0249597, -179.202
1682529745.6918912, -3.2, 3.220579e-06, -2.349507e-06, 3.423069e-06, 316.6562, 0, 0, 0, +3.795134E-05, -7.931584E-10, -0.00336076, -4.76839e-05, -0.0249597, -179.202
1682529752.139653, 3.2, -3.359846e-06, -3.080338e-06, 4.049504e-06, 222.5149, 0, 0, 0, +3.795134E-05, -7.931584E-10, -0.00336076, -4.76839e-05, -0.0249597, -179.202
1682529758.632287, -3.2, 3.951737e-06, -3.080338e-06, 5.01046e-06, 326.6637, 0, 0, 0, +3.795134E-05, -7.931584E-10, -0.00336267, -4.76839e-05, -0.0249578, -179.202
1682529765.0780509, 3.2, -4.352126e-07, -3.080338e-06, 3.617886e-06, 249.2608, 0, 0, 0, +3.795134E-05, -7.931584E-10, -0.00336076, -4.76839e-05, -0.0249597, -179.202
1682529771.530793, -3.2, 3.951737e-06, -2.349507e-06, 4.597435e-06, 320.8596, 0, 0, 0, +3.795134E-05, -7.931584E-10, -0.00336267, -4.76839e-05, -0.0249578, -179.202
1682529777.9875262, 3.2, -4.091004e-06, -2.349507e-06, 4.558185e-06, 221.7902, 0, 0, 0, +3.795134E-05, -7.931584E-10, -0.00336076, -4.76839e-05, -0.0249597, -179.202
1682529784.4303007, -3.2, 3.951737e-06, -3.811169e-06, 5.605176e-06, 322.064, 0, 0, 0, +3.795134E-05, -7.931584E-10, -0.00336076, -4.76839e-05, -0.0249597, -179.202
1682529807.0069225, 3.2, -4.822163e-06, -3.080338e-06, 6.029888e-06, 209.0164, 0, 0, 0, +2.667261E+00, +3.317569E-10, -0.00344469, -4.76839e-05, -0.0248777, -179.226
1682529813.4616656, -3.2, 1.758262e-06, -2.349507e-06, 3.546825e-06, 308.9439, 0, 0, 0, +2.667261E+00, +3.317569E-10, -0.00344469, -4.76839e-05, -0.0248777, -179.226
1682529819.911417, 3.2, -6.284479e-06, -3.080338e-06, 5.784418e-06, 205.9768, 0, 0, 0, +2.667261E+00, +3.317569E-10, -0.00344469, -4.76839e-05, -0.0248777, -179.226
1682529826.3901353, -3.2, 1.027104e-06, -3.080338e-06, 2.368073e-06, 277.1792, 0, 0, 0, +2.667261E+00, +3.317569E-10, -0.00344087, -4.76839e-05, -0.0248796, -179.22
