t,i,x,y,r,theta,xK,tc, therm
1681974017.035313, 3.2, -4.352126e-07, -1.570137e-07, 7.201918e-07, 199.8382, 0, 0, 0
1681974023.4635618, -3.2, -4.352126e-07, -1.570137e-07, 9.887764e-07, 243.8864, 0, 0, 0
1681974029.596489, 3.2, -4.352126e-07, -1.570137e-07, 3.350182e-07, 332.0518, 0, 0, 0
1681974035.719213, -3.2, -4.352126e-07, -1.570137e-07, 4.626697e-07, 199.8382, 0, 0, 0
1681974041.8478527, 3.2, -4.352126e-07, 5.738174e-07, 9.887764e-07, 199.8382, 0, 0, 0
1681974047.9519255, -3.2, 2.959457e-07, 5.738174e-07, 3.350182e-07, 127.1785, 0, 0, 0
1681974054.065266, 3.2, -1.166371e-06, -8.878449e-07, 4.626697e-07, 243.8864, 0, 0, 0
1681974060.196352, -3.2, 2.959457e-07, -1.570137e-07, 4.626697e-07, 332.0518, 0, 0, 0
1681974066.3000174, 3.2, -4.352126e-07, 5.738174e-07, 1.660437e-06, 199.8382, 0, 0, 0
1681974072.4083152, -3.2, -4.352126e-07, -1.570137e-07, 6.456394e-07, 332.0518, 0, 0, 0
1681974078.6010125, 3.2, 1.027104e-06, -1.570137e-07, 3.350182e-07, 199.8382, 0, 0, 0
1681974084.7660584, -3.2, -4.352126e-07, 5.738174e-07, 7.201918e-07, 199.8382, 0, 0, 0
1681974090.8775105, 3.2, -4.352126e-07, 1.304649e-06, 1.176892e-06, 332.0518, 0, 0, 0
1681974097.017512, -3.2, -4.352126e-07, 5.738174e-07, 7.201918e-07, 199.8382, 0, 0, 0
1681974103.1923606, 3.2, -4.352126e-07, -1.570137e-07, 3.350182e-07, 199.8382, 0, 0, 0
1681974109.31837, -3.2, 2.959457e-07, -1.570137e-07, 3.350182e-07, 199.8382, 0, 0, 0
1681974115.4846702, 3.2, -4.352126e-07, -1.570137e-07, 9.358699e-07, 199.8382, 0, 0, 0
