t,i,x,y,r,theta,xK
1680214180.2327926,0.0,3.951737e-05,-0.001375533,0.001375645,272.4919,0
1680214183.6753402,0.03232323232323232,6.145213e-05,-0.001448616,0.001472903,274.1584,0
1680214187.114394,0.06464646464646465,7.60753e-05,-0.001441307,0.001444636,273.9299,0
1680214190.5641005,0.09696969696969697,0.000134568,-0.001455924,0.001439007,273.9299,0
1680214194.0339096,0.1292929292929293,0.0001126332,-0.001485157,0.001474308,273.9784,0
1680214197.5061336,0.1616161616161616,0.0001491911,-0.001536315,0.001517559,273.1824,0
1680214200.9420528,0.19393939393939394,0.0001199448,-0.001463232,0.001460274,274.0966,0
1680214204.407562,0.22626262626262628,6.87637e-05,-0.001463232,0.001428014,273.3622,0
1680214207.8840423,0.2585858585858586,0.000134568,-0.001514391,0.001537757,276.5631,0
1680214211.356846,0.2909090909090909,0.0002003722,-0.001507082,0.001547504,276.625,0
1680214214.8182104,0.3232323232323232,0.0001565027,-0.001507082,0.001547504,277.129,0
1680214218.268508,0.35555555555555557,0.0002149954,-0.001594782,0.001563822,277.9357,0
1680214221.7250543,0.3878787878787879,0.0002223069,-0.001638632,0.001630084,278.3058,0
1680214225.1975687,0.4202020202020202,0.0002223069,-0.001580165,0.001574018,277.6628,0
1680214228.6328785,0.45252525252525255,0.0002442417,-0.001580165,0.001613376,279.6015,0
1680214232.1060245,0.48484848484848486,0.0003173575,-0.001704407,0.001758997,282.6458,0
1680214235.575145,0.5171717171717172,0.000448966,-0.001748257,0.001708097,283.1046,0
1680214239.0409052,0.5494949494949495,0.0003246691,-0.001624015,0.001690706,281.548,0
1680214242.5134566,0.5818181818181818,0.0003466039,-0.001660557,0.001706534,282.5926,0
1680214245.973568,0.6141414141414141,0.0004562776,-0.001675173,0.001723459,283.7727,0
1680214249.4360049,0.6464646464646464,0.0004270313,-0.001726332,0.001703499,281.3543,0
1680214252.8915749,0.6787878787878788,0.000397785,-0.001697098,0.001737669,284.3504,0
1680214256.3549073,0.7111111111111111,0.0004270313,-0.00173364,0.001787457,282.9229,0
1680214259.8241189,0.7434343434343434,0.0004562776,-0.001748257,0.001797908,284.5112,0
1680214263.2825296,0.7757575757575758,0.0004270313,-0.001748257,0.001780133,283.6651,0
1680214266.7328095,0.8080808080808081,0.0004124081,-0.00173364,0.001806755,283.4357,0
1680214270.2060344,0.8404040404040404,0.0003466039,-0.001697098,0.00171682,283.6586,0
1680214273.6796982,0.8727272727272727,0.0004635892,-0.001748257,0.001815592,284.4538,0
1680214277.1333802,0.9050505050505051,0.0004270313,-0.001762873,0.001835559,284.4471,0
1680214280.612774,0.9373737373737374,0.0005074587,-0.001755565,0.001799747,284.4028,0
1680214284.092291,0.9696969696969697,0.0005074587,-0.001762873,0.001783758,284.3504,0
1680214287.5354745,1.002020202020202,0.000485524,-0.001755565,0.001774852,283.886,0
1680214290.9809425,1.0343434343434343,0.0004343429,-0.00168979,0.001741354,284.6475,0
1680214294.4240043,1.0666666666666667,0.0005732629,-0.001762873,0.001847075,287.3531,0
1680214297.8733232,1.098989898989899,0.0004635892,-0.001704407,0.001803549,286.5131,0
1680214301.326108,1.1313131313131313,0.0004782123,-0.001682482,0.001772212,285.9987,0
1680214304.7719913,1.1636363636363636,0.0005001471,-0.001755565,0.00179236,286.4206,0
1680214308.2344263,1.195959595959596,0.0004343429,-0.001667865,0.001723493,285.3415,0
1680214311.7140768,1.2282828282828282,0.0004928355,-0.001748257,0.001827436,285.6454,0
1680214315.1764205,1.2606060606060605,0.0004709008,-0.001711715,0.001779242,286.1513,0
1680214318.6325805,1.2929292929292928,0.0004928355,-0.001755565,0.001835772,287.5936,0
1680214322.0807943,1.3252525252525253,0.000536705,-0.001806723,0.001891118,287.166,0
1680214325.5346692,1.3575757575757577,0.0005659513,-0.001755565,0.001797322,286.4467,0
1680214328.9973004,1.38989898989899,0.0005001471,-0.001755565,0.001817545,285.9973,0
1680214332.4431453,1.4222222222222223,0.000485524,-0.001726332,0.001782355,286.3808,0
1680214335.9159753,1.4545454545454546,0.0005293934,-0.001762873,0.00186103,288.0884,0
1680214339.3755307,1.486868686868687,0.0005659513,-0.001762873,0.001816992,288.0139,0
1680214342.8281894,1.5191919191919192,0.000536705,-0.001770181,0.001869903,288.1582,0
1680214346.2740495,1.5515151515151515,0.0005732629,-0.001770181,0.001904685,288.7925,0
1680214349.7531734,1.5838383838383838,0.0006683135,-0.001850573,0.001946417,289.5982,0
1680214353.225603,1.6161616161616161,0.000624444,-0.001770181,0.00186064,288.9361,0
1680214356.6870642,1.6484848484848484,0.0006171324,-0.00177749,0.001865369,289.4186,0
1680214360.1304016,1.6808080808080808,0.0005951977,-0.001770181,0.001869909,288.9361,0
1680214363.5939968,1.713131313131313,0.0005732629,-0.001770181,0.001853717,288.4426,0
1680214367.0479782,1.7454545454545454,0.0005513282,-0.001711715,0.001782574,287.7822,0
1680214370.5012567,1.7777777777777777,0.0005732629,-0.001726332,0.001809791,287.7022,0
1680214373.9652846,1.8101010101010102,0.0005513282,-0.001740948,0.00183758,287.1337,0
1680214377.4245145,1.8424242424242425,0.0005732629,-0.001740948,0.001828382,287.6313,0
1680214380.8673203,1.8747474747474748,0.000536705,-0.001711715,0.001734242,287.2394,0
1680214384.3233626,1.9070707070707071,0.0005878861,-0.001719023,0.001805271,286.7155,0
1680214387.775713,1.9393939393939394,0.0004928355,-0.001711715,0.001769263,286.0309,0
1680214391.2351713,1.9717171717171718,0.0004709008,-0.001653248,0.001721022,287.8456,0
1680214394.6879404,2.004040404040404,0.0005732629,-0.001770181,0.001828452,290.1155,0
1680214398.153749,2.036363636363636,0.0006390671,-0.001784798,0.001945168,290.9734,0
1680214401.600063,2.0686868686868687,0.0007048715,-0.00182134,0.002024878,291.1251,0
1680214405.0563364,2.101010101010101,0.0006610019,-0.001755565,0.001877091,290.6056,0
1680214408.513827,2.1333333333333333,0.0006171324,-0.001682482,0.00172197,289.271,0
1680214411.967827,2.165656565656566,0.0006390671,-0.001762873,0.001819148,290.1361,0
1680214415.4204197,2.197979797979798,0.0006463787,-0.001799415,0.0019002,289.4922,0
1680214418.8705802,2.2303030303030305,0.0006536903,-0.001792106,0.0019002,288.9361,0
1680214422.3193414,2.2626262626262625,0.0006390671,-0.00182134,0.001935094,289.5264,0
1680214425.7886696,2.294949494949495,0.0006902483,-0.001850573,0.001972568,290.5546,0
1680214429.2612054,2.327272727272727,0.0006390671,-0.001843265,0.0019582,289.6561,0
1680214432.7172797,2.3595959595959597,0.0006902483,-0.001909039,0.002028158,290.0722,0
1680214436.1892796,2.391919191919192,0.0007121831,-0.001872498,0.001995668,289.5847,0
1680214439.6292303,2.4242424242424243,0.0006829367,-0.001792106,0.001956324,290.3079,0
1680214443.105377,2.4565656565656564,0.0007048715,-0.001879806,0.002062792,292.0555,0
1680214446.5686665,2.488888888888889,0.0007706757,-0.001952889,0.002139004,292.4145,0
1680214450.0235565,2.521212121212121,0.0008437915,-0.001974814,0.002170563,293.6385,0
1680214453.4757385,2.5535353535353535,0.0008657263,-0.001967506,0.002136996,293.2382,0
1680214456.931066,2.5858585858585856,0.0008364799,-0.002025972,0.002234137,293.8334,0
1680214460.3684108,2.618181818181818,0.0009022842,-0.002018664,0.002210491,294.4123,0
1680214463.8546164,2.6505050505050507,0.0008730378,-0.001974814,0.002128355,292.9777,0
1680214467.2971444,2.682828282828283,0.0008072336,-0.001960197,0.002169635,293.3396,0
1680214470.7566488,2.7151515151515153,0.0008657263,-0.001996739,0.002205209,294.7064,0
1680214474.1983712,2.7474747474747474,0.0009095958,-0.002025972,0.002196471,293.7152,0
1680214477.644964,2.77979797979798,0.0008949726,-0.002011356,0.002227464,294.3666,0
1680214481.1011825,2.812121212121212,0.0009461537,-0.002033281,0.00218147,294.1059,0
1680214484.5465062,2.8444444444444446,0.0009315306,-0.002047897,0.002226304,295.0103,0
1680214487.989972,2.8767676767676766,0.0009169074,-0.002025972,0.002248849,295.4761,0
1680214491.4492328,2.909090909090909,0.001033893,-0.002099056,0.002278068,295.2825,0
1680214494.9421015,2.9414141414141413,0.0009900231,-0.002113672,0.002360103,294.7463,0
