t,i,x,y,r,theta,xK,tc,therm,dc
1680118875.9066668, 0, 0.125176, -0.001905585, 0.124825, 359.1253, 0, 0, 0, -0.0
1680118880.6733391, 0, 0.1233482, -0.001905585, 0.1233629, 359.2846, 0, 0, 0, -1.0
1680118885.4428482, 0, 0.1222514, -0.001905585, 0.1218956, 359.2782, 0, 0, 0, -2.0
1680118890.211614, 0, 0.1204235, -0.001540169, 0.1208041, 359.2695, 0, 0, 0, -3.0
1680118894.9684434, 0, 0.1200579, -0.001905585, 0.1197023, 359.2628, 0, 0, 0, -4.0
1680118899.7502508, 0, 0.11823, -0.001905585, 0.1186174, 359.256, 0, 0, 0, -5.0
1680118904.500531, 0, 0.1174989, -0.001905585, 0.117509, 359.2467, 0, 0, 0, -6.0
1680118909.2545063, 0, 0.1167677, -0.001540169, 0.1164177, 359.065, 0, 0, 0, -7.0
1680118914.027622, 0, 0.115671, -0.001905585, 0.1160468, 359.2396, 0, 0, 0, -8.0
1680118918.7835574, 0, 0.1153054, -0.001540169, 0.1153114, 359.0502, 0, 0, 0, -9.0
1680118923.566632, 0, 0.1145743, -0.001905585, 0.1149502, 359.0471, 0, 0, 0, -10.0
1680118928.328766, 0, 0.1134775, -0.001905585, 0.1138535, 359.0441, 0, 0, 0, -11.0
1680118933.1046991, 0, 0.1123808, -0.001905585, 0.1127569, 359.403, 0, 0, 0, -12.0
1680118937.8737526, 0, 0.1116496, -0.0008093381, 0.1116602, 359.4011, 0, 0, 0, -13.0
1680118942.6401713, 0, 0.1105529, -0.001540169, 0.1105693, 359.0157, 0, 0, 0, -14.0
1680118947.417778, 0, 0.1090906, -0.0008093381, 0.1094591, 359.0059, 0, 0, 0, -15.0
1680118952.170917, 0, 0.1090906, -0.001540169, 0.108728, 359.3789, 0, 0, 0, -16.0
1680118956.951963, 0, 0.1076282, -0.001540169, 0.1076393, 359.1774, 0, 0, 0, -17.0
1680118961.7290149, 0, 0.1072627, -0.001540169, 0.1069082, 359.3725, 0, 0, 0, -18.0
1680118966.4980173, 0, 0.1061659, -0.001905585, 0.1061724, 359.5632, 0, 0, 0, -19.0
1680118971.2816355, 0, 0.1050692, -0.001905585, 0.1054379, 359.3594, 0, 0, 0, -20.0
1680118976.043662, 0, 0.104338, -0.001540169, 0.1047149, 359.1602, 0, 0, 0, -21.0
1680118980.8025622, 0, 0.1039725, -0.001174754, 0.1043494, 359.1513, 0, 0, 0, -22.0
1680118985.5812142, 0, 0.1036069, -0.001174754, 0.10361, 359.1483, 0, 0, 0, -23.0
1680118990.3437076, 0, 0.1025101, -0.001174754, 0.1025217, 359.3458, 0, 0, 0, -24.0
1680118995.1124675, 0, 0.101779, -0.001540169, 0.1021562, 359.3411, 0, 0, 0, -25.0
1680118999.8687797, 0, 0.1010478, -0.001540169, 0.1014251, 359.3363, 0, 0, 0, -26.0
1680119004.6278975, 0, 0.1006822, -0.001540169, 0.1010547, 359.1268, 0, 0, 0, -27.0
1680119009.429687, 0, 0.1003167, -0.001174754, 0.09996295, 359.3291, 0, 0, 0, -28.0
