t,i,x,y,r,theta,xK,tc,therm,dc
1680391786.189998, 0, -0.08174177, 0.01965393, 0.08478243, 166.4805, 0, 0, 0, -0.0
1680391793.236514, 0, -0.08210734, 0.0189231, 0.08434252, 166.5385, 0, 0, 0, -5.0
1680391800.2722304, 0, -0.08174177, 0.01965393, 0.08442684, 166.5385, 0, 0, 0, -10.0
1680391807.3049402, 0, -0.08210734, 0.01928852, 0.08442684, 166.7799, 0, 0, 0, -15.0
1680391814.3165622, 0, -0.08210734, 0.01965393, 0.08442684, 166.4805, 0, 0, 0, -20.0
1680391821.3348017, 0, -0.08174177, 0.01965393, 0.08442684, 166.7799, 0, 0, 0, -25.0
1680391828.3606746, 0, -0.08210734, 0.02001935, 0.08434252, 166.7799, 0, 0, 0, -30.0
1680391835.391392, 0, -0.08210734, 0.01928852, 0.08442684, 166.5385, 0, 0, 0, -35.0
1680391842.3901234, 0, -0.08247292, 0.01965393, 0.08486788, 166.5385, 0, 0, 0, -40.0
1680391849.4160042, 0, -0.08174177, 0.01928852, 0.08407135, 166.2975, 0, 0, 0, -45.0
1680391856.4321437, 0, -0.08210734, 0.02001935, 0.08434252, 166.7799, 0, 0, 0, -50.0
1680391863.4549956, 0, -0.08174177, 0.01928852, 0.08398668, 166.5385, 0, 0, 0, -55.0
1680391870.4845374, 0, -0.08210734, 0.01965393, 0.08407135, 166.4805, 0, 0, 0, -60.0
1680391877.5186777, 0, -0.08210734, 0.01928852, 0.08407135, 166.5385, 0, 0, 0, -65.0
1680391884.543471, 0, -0.08174177, 0.01928852, 0.08442684, 166.5385, 0, 0, 0, -70.0
1680391891.5844767, 0, -0.08247292, 0.01965393, 0.08442684, 166.7799, 0, 0, 0, -75.0
1680391898.6044827, 0, -0.08210734, 0.01965393, 0.08434252, 166.7799, 0, 0, 0, -80.0
1680391905.6451178, 0, -0.08210734, 0.01965393, 0.08442684, 166.2975, 0, 0, 0, -85.0
1680391912.6846259, 0, -0.08210734, 0.01928852, 0.08469846, 166.7799, 0, 0, 0, -90.0
1680391919.7171917, 0, -0.08247292, 0.01965393, 0.08434252, 166.596, 0, 0, 0, -95.0
1680391926.7531683, 0, -0.08247292, 0.01928852, 0.08434252, 166.5385, 0, 0, 0, -100.0
