t,i,x,y,r,theta,xK,tc,therm,dc, trueGateDC, trueGateI
1680565649.179748, 0, -0.08759103, 0.0002869087, 0.08832265, 180.0509, 0, 0, 0, -5.0, -4.999266E+00, -2.578580E-04
1680565656.2085881, 0, -0.08759103, -0.0004439224, 0.08795664, 180.0509, 0, 0, 0, -4.8, -3.427316E+00, -2.999839E-04
1680565663.2367349, 0, -0.08759103, 0.0002869087, 0.0875915, 180.2904, 0, 0, 0, -4.6, -4.593032E+00, -2.999885E-04
1680565670.2636373, 0, -0.08722545, -7.850687e-05, 0.08795664, 180.0512, 0, 0, 0, -4.4, -4.398962E+00, -1.998326E-04
1680565677.2814791, 0, -0.08759103, -7.850687e-05, 0.08795664, 180.0509, 0, 0, 0, -4.2, -4.198646E+00, -1.423692E-04
1680565684.3494046, 0, -0.08795661, -7.850687e-05, 0.08832265, 180.0509, 0, 0, 0, -4.0, -3.998960E+00, -9.366875E-05
1680565691.3775287, 0, -0.08759103, 0.0002869087, 0.08795772, 180.0512, 0, 0, 0, -3.8, -3.798804E+00, -6.464911E-05
1680565698.4172354, 0, -0.08759103, 0.0002869087, 0.08795903, 180.0512, 0, 0, 0, -3.5999999999999996, -3.598853E+00, -4.575686E-05
1680565705.4378905, 0, -0.08759103, -0.0004439224, 0.08832222, 180.0509, 0, 0, 0, -3.4, -3.399126E+00, -3.291757E-05
1680565712.4542758, 0, -0.08759103, 0.0002869087, 0.08832222, 179.8131, 0, 0, 0, -3.2, -3.199183E+00, -2.289827E-05
1680565719.479661, 0, -0.08832218, -7.850687e-05, 0.08832222, 180.0512, 0, 0, 0, -3.0, -2.999153E+00, -1.437681E-05
1680565726.5223198, 0, -0.08795661, -7.850687e-05, 0.08832265, 180.0509, 0, 0, 0, -2.8, -2.799485E+00, -1.044495E-05
1680565733.5618975, 0, -0.08795661, -7.850687e-05, 0.08795664, 180.0509, 0, 0, 0, -2.5999999999999996, -2.599510E+00, -6.585969E-06
1680565740.5947297, 0, -0.08795661, -7.850687e-05, 0.08868779, 180.2868, 0, 0, 0, -2.4, -2.399234E+00, -5.083228E-06
1680565747.6369078, 0, -0.08832218, -7.850687e-05, 0.08832222, 179.8139, 0, 0, 0, -2.1999999999999997, -2.198850E+00, -3.664189E-06
1680565754.6856418, 0, -0.08795661, -7.850687e-05, 0.0883233, 180.0509, 0, 0, 0, -2.0, -1.999876E+00, -2.972584E-06
1680565761.7177565, 0, -0.08795661, -0.0004439224, 0.08832222, 180.0509, 0, 0, 0, -1.7999999999999998, -1.799903E+00, -2.141679E-06
1680565768.7641902, 0, -0.08832218, -7.850687e-05, 0.08795664, 180.2868, 0, 0, 0, -1.5999999999999996, -1.599966E+00, -1.600219E-06
1680565775.8252609, 0, -0.7423433, 0.05546466, 0.7448318, 175.6731, 0, 0, 0, -1.4, -1.399965E+00, -8.939289E-07
1680565782.845088, 0, -0.2652625, 0.01490353, 0.2653158, 176.8586, 0, 0, 0, -1.1999999999999997, -1.199892E+00, -1.179135E-09
1680565789.903446, 0, -0.2648969, 0.01526895, 0.2653158, 176.7056, 0, 0, 0, -1.0, -9.999456E-01, +3.021194E-10
1680565796.9710743, 0, -0.2648969, 0.01453811, 0.2649508, 176.7843, 0, 0, 0, -0.7999999999999998, -7.999539E-01, -5.460661E-10
1680565803.9907649, 0, -0.2652625, 0.01490353, 0.2656808, 176.7754, 0, 0, 0, -0.5999999999999996, -5.999354E-01, +3.634599E-10
1680565811.0149393, 0, -0.2648969, 0.01526895, 0.2656808, 176.7798, 0, 0, 0, -0.39999999999999947, -3.998756E-01, +1.773677E-10
1680565818.0393958, 0, -0.2648969, 0.01453811, 0.2657016, 176.9332, 0, 0, 0, -0.1999999999999993, -1.999293E-01, +4.223266E-10
1680565825.0612342, 0, -0.2648969, 0.01490353, 0.2652956, 176.8586, 0, 0, 0, 0.0, +1.045653E-04, -3.053391E-10
