t,i,x,y,r,theta,xK,tc,therm,dc,trueGateDC,trueGateI
1681165685.5276167, 0, 0.01038419, -0.0004439224, 0.0096869, 357.5521, 0, 0, 0, 0.0, +4.370142E-05, -9.277710E-10
1681165691.7155538, 0, 0.01038419, -0.0004439224, 0.01041568, 357.4629, 0, 0, 0, 0.5, +5.000521E-01, +3.026819E-09
1681165697.925816, 0, 0.01038419, -0.0004439224, 0.01039367, 357.4629, 0, 0, 0, 1.0, +1.000069E+00, +5.915746E-09
1681165704.1107242, 0, 0.01001861, -0.0004439224, 0.01038449, 357.5521, 0, 0, 0, 1.5, +1.500008E+00, +9.287530E-09
1681165710.2894096, 0, 0.01001861, -0.0008093381, 0.01005125, 355.5434, 0, 0, 0, 2.0, +1.999994E+00, +1.286187E-08
1681165716.4612358, 0, 0.01038419, -7.850687e-05, 0.01002844, 355.5434, 0, 0, 0, 2.5, +2.500668E+00, +1.603135E-08
1681165722.6708865, 0, 0.01001861, -0.0004439224, 0.01002844, 357.5521, 0, 0, 0, 3.0, +3.000411E+00, +1.958272E-08
1681165728.8560026, 0, 0.01038419, -7.850687e-05, 0.01039367, 357.5521, 0, 0, 0, 3.5, +3.500105E+00, +2.152542E-08
1681165735.0442054, 0, 0.01038419, -0.0004439224, 0.01041568, 359.5816, 0, 0, 0, 4.0, +3.999725E+00, +2.489704E-08
1681165741.2459176, 0, 0.01038419, -0.0008093381, 0.01039367, 359.5816, 0, 0, 0, 4.5, +4.500084E+00, +2.779970E-08
1681165747.4385316, 0, 0.01038419, -0.0008093381, 0.01041568, 357.6353, 0, 0, 0, 5.0, +5.000566E+00, +3.172644E-08
1681165753.6009529, 0, 0.01038419, -7.850687e-05, 0.01039367, 355.5434, 0, 0, 0, 5.5, +5.500725E+00, +3.465863E-08
1681165759.7959785, 0, 0.01001861, -0.0004439224, 0.01041568, 355.6944, 0, 0, 0, 6.0, +6.000199E+00, +3.838478E-08
1681165765.9950218, 0, 0.01038419, -0.0004439224, 0.01039367, 357.5521, 0, 0, 0, 6.5, +6.499928E+00, +4.071048E-08
1681165772.1874275, 0, 0.01074977, -0.0008093381, 0.01075893, 355.6944, 0, 0, 0, 7.0, +6.999952E+00, +4.405615E-08
1681165778.3763573, 0, 0.01074977, -0.0008093381, 0.01075893, 355.6944, 0, 0, 0, 7.5, +7.500452E+00, +4.739051E-08
1681165784.6012003, 0, 0.01074977, -0.0008093381, 0.01114477, 357.6353, 0, 0, 0, 8.0, +8.000903E+00, +4.925110E-08
1681165790.783833, 0, 0.01074977, -0.0008093381, 0.01075006, 355.6944, 0, 0, 0, 8.5, +8.500479E+00, +5.251565E-08
1681165796.9791985, 0, 0.01038419, -0.0004439224, 0.01041568, 355.6944, 0, 0, 0, 9.0, +9.000194E+00, +5.349485E-08
1681165803.1682408, 0, 0.01074977, -0.0008093381, 0.01114477, 355.6944, 0, 0, 0, 9.5, +9.499878E+00, +5.663281E-08
1681165809.3678198, 0, 0.01111535, -0.0004439224, 0.01039367, 357.713, 0, 0, 0, 10.0, +1.000057E+01, +5.863708E-08
1681165815.5654995, 0, 0.01038419, -0.0004439224, 0.01075006, 357.713, 0, 0, 0, 10.5, +1.050090E+01, +6.024305E-08
