t,i,x,y,r,theta,xK,tc,therm,dc,trueGateDC,trueGateI,x2,y2,r2,theta2
1681264932.966969, 0, 0.01586788, -0.0004439224, 0.01586807, 358.3597, 0, 0, 0, 80, +8.000823E+01, +1.974854E-07, -0.484194, -0.00817877, -0.0821538, -179.04
1681264939.1664958, 0, 0.01586788, -0.0004439224, 0.01552341, 358.3975, 0, 0, 0, 80, +8.000819E+01, +1.842954E-07, -0.483522, -0.00811774, -0.0828862, -179.04
1681264945.3821387, 0, 0.01586788, -0.0004439224, 0.01552341, 358.3597, 0, 0, 0, 80, +8.000829E+01, +1.777367E-07, -0.483583, -0.00811774, -0.0827641, -179.04
1681264951.5936122, 0, 0.0155023, -0.0004439224, 0.01552341, 359.7098, 0, 0, 0, 80, +8.000848E+01, +1.718092E-07, -0.483644, -0.00811774, -0.0827031, -179.04
1681264957.7831903, 0, 0.0155023, -0.0004439224, 0.01550865, 359.7098, 0, 0, 0, 80, +8.000846E+01, +1.665364E-07, -0.483706, -0.00811774, -0.0827031, -179.04
1681264963.9607198, 0, 0.0155023, -0.0004439224, 0.01552341, 358.3201, 0, 0, 0, 80, +8.000806E+01, +1.629035E-07, -0.483706, -0.00811774, -0.0826421, -179.04
1681264970.149655, 0, 0.0155023, -0.0004439224, 0.01550865, 356.9394, 0, 0, 0, 80, +8.000820E+01, +1.582959E-07, -0.483767, -0.00811774, -0.0826421, -179.04
1681264976.336218, 0, 0.01513672, -7.850687e-05, 0.01550865, 359.7098, 0, 0, 0, 80, +8.000822E+01, +1.536791E-07, -0.483767, -0.00811774, -0.082581, -179.04
1681264982.5149224, 0, 0.01513672, -0.0004439224, 0.01513692, 358.3201, 0, 0, 0, 80, +8.000816E+01, +1.499861E-07, -0.483828, -0.00811774, -0.082581, -179.04
1681264988.740562, 0, 0.01513672, -0.0008093381, 0.0155025, 358.3597, 0, 0, 0, 80, +8.000848E+01, +1.461166E-07, -0.483828, -0.00811774, -0.08252, -179.04
1681264994.9458137, 0, 0.0155023, -0.0004439224, 0.01552341, 358.3597, 0, 0, 0, 80, +8.000840E+01, +1.436745E-07, -0.483828, -0.00811774, -0.08252, -179.04
1681265001.1412647, 0, 0.0155023, -0.0008093381, 0.01477781, 358.3597, 0, 0, 0, 80, +8.000818E+01, +1.413049E-07, -0.483889, -0.00811774, -0.08252, -179.04
1681265007.3323054, 0, 0.01513672, -0.0004439224, 0.01514323, 358.3597, 0, 0, 0, 80, +8.000831E+01, +1.391123E-07, -0.483889, -0.00811774, -0.082459, -179.04
1681265013.5588393, 0, 0.0155023, -0.0004439224, 0.01513692, 359.7098, 0, 0, 0, 80, +8.000823E+01, +1.364173E-07, -0.483889, -0.00811774, -0.082459, -179.04
1681265019.7842698, 0, 0.01513672, -0.0004439224, 0.01515834, 358.3201, 0, 0, 0, 80, +8.000826E+01, +1.340979E-07, -0.48395, -0.00811774, -0.0823979, -179.04
1681265025.9823346, 0, 0.01513672, -0.0008093381, 0.01514323, 358.3201, 0, 0, 0, 80, +8.000835E+01, +1.312627E-07, -0.484011, -0.00811774, -0.0823979, -179.04
1681265032.1880634, 0, 0.01513672, -0.0004439224, 0.0147933, 355.6664, 0, 0, 0, 80, +8.000813E+01, +1.298297E-07, -0.484011, -0.00811774, -0.0823979, -179.04
1681265038.3813415, 0, 0.01513672, -0.0008093381, 0.01514323, 356.8638, 0, 0, 0, 80, +8.000816E+01, +1.272054E-07, -0.484011, -0.00811774, -0.0823369, -179.04
1681265044.5803542, 0, 0.01477114, -0.0004439224, 0.01513692, 359.6955, 0, 0, 0, 80, +8.000811E+01, +1.261239E-07, -0.484011, -0.00811774, -0.0823369, -179.04
1681265050.7772057, 0, 0.01477114, -0.0004439224, 0.01514323, 359.7029, 0, 0, 0, 80, +8.000831E+01, +1.238794E-07, -0.484011, -0.00811774, -0.0823369, -179.04
1681265056.9772654, 0, 0.0155023, -0.0004439224, 0.01513692, 359.6955, 0, 0, 0, 80, +8.000812E+01, +1.223516E-07, -0.484072, -0.00811774, -0.0823369, -179.04
1681265064.6657627, 0, 0.00563166, -0.0004439224, 0.006013647, 355.7666, 0, 0, 0, 0.0, +3.552920E-05, -5.544656E-09, 0.00563166, -0.0004439224, 0.00564913, 352.3143
1681265071.4063988, 0, 0.00563166, -7.850687e-05, 0.006051604, 359.2013, 0, 0, 0, 0.8, +8.000733E-01, -4.514034E-10, 0.00563166, -0.0008093381, 0.00564913, 355.4929
1681265078.1232119, 0, 0.00563166, -0.0004439224, 0.006013647, 359.25, 0, 0, 0, 1.6, +1.600080E+00, +4.543886E-10, 0.00563166, -0.0004439224, 0.005632207, 355.7666
1681265084.8317337, 0, 0.00563166, -0.0004439224, 0.005997753, 355.7666, 0, 0, 0, 2.4000000000000004, +2.400459E+00, +8.433867E-10, 0.00563166, -0.0004439224, 0.006013647, 352.3143
1681265091.5509353, 0, 0.00563166, -7.850687e-05, 0.005327911, 352.3143, 0, 0, 0, 3.2, +3.200380E+00, +1.752447E-09, 0.00563166, -0.0004439224, 0.005997753, 355.4929
1681265098.2591977, 0, 0.00599724, -0.0004439224, 0.005632207, 359.25, 0, 0, 0, 4.0, +3.999630E+00, +2.396856E-09, 0.00599724, -0.0004439224, 0.005997753, 352.3143
1681265104.9712403, 0, 0.00563166, -7.850687e-05, 0.005632207, 359.25, 0, 0, 0, 4.800000000000001, +4.800323E+00, +2.853709E-09, 0.00599724, -0.0004439224, 0.006051604, 355.7666
1681265111.6971476, 0, 0.00599724, -0.0004439224, 0.006013647, 352.751, 0, 0, 0, 5.6000000000000005, +5.600674E+00, +3.268154E-09, 0.00599724, -0.0008093381, 0.006013647, 359.25
1681265118.4386427, 0, 0.00563166, -7.850687e-05, 0.005689519, 359.25, 0, 0, 0, 6.4, +6.399885E+00, +3.774079E-09, 0.00599724, -0.0008093381, 0.006013647, 355.4929
1681265125.1672773, 0, 0.00599724, -0.0004439224, 0.005997753, 359.25, 0, 0, 0, 7.2, +7.200208E+00, +4.335791E-09, 0.006362819, -7.850687e-05, 0.006051604, 359.25
1681265131.892017, 0, 0.00563166, -0.0004439224, 0.006414086, 359.2931, 0, 0, 0, 8.0, +8.000806E+00, +5.258079E-09, 0.00599724, -0.0008093381, 0.006378286, 359.2931
1681265138.6141253, 0, 0.006362819, -0.0004439224, 0.006363303, 359.25, 0, 0, 0, 8.8, +8.800093E+00, +5.401865E-09, 0.006362819, -0.0004439224, 0.006013647, 359.25
1681265145.3101225, 0, 0.006362819, -7.850687e-05, 0.006363303, 359.25, 0, 0, 0, 9.600000000000001, +9.600009E+00, +6.242818E-09, 0.00599724, -0.0004439224, 0.006414086, 356.009
1681265152.041763, 0, 0.006362819, -7.850687e-05, 0.006363303, 356.009, 0, 0, 0, 10.4, +1.040077E+01, +6.652566E-09, 0.00599724, -7.850687e-05, 0.006363303, 356.009
1681265158.7826521, 0, 0.00599724, -0.0004439224, 0.006378286, 356.009, 0, 0, 0, 11.200000000000001, +1.120088E+01, +6.888489E-09, 0.00599724, -0.0004439224, 0.006013647, 359.2931
1681265165.4727511, 0, 0.00599724, -7.850687e-05, 0.006378286, 356.009, 0, 0, 0, 12.0, +1.199998E+01, +7.428695E-09, 0.006362819, -7.850687e-05, 0.006728856, 356.009
1681265172.212886, 0, 0.006362819, -7.850687e-05, 0.006013647, 359.2931, 0, 0, 0, 12.8, +1.280052E+01, +8.290751E-09, 0.006362819, -0.0004439224, 0.006414086, 352.3143
1681265178.9606502, 0, 0.006362819, -0.0004439224, 0.006363303, 356.2253, 0, 0, 0, 13.600000000000001, +1.360101E+01, +8.493207E-09, 0.006362819, -0.0004439224, 0.006378286, 356.009
1681265185.6885266, 0, 0.006362819, -0.0004439224, 0.006378286, 356.009, 0, 0, 0, 14.4, +1.440010E+01, +8.948346E-09, 0.006362819, -0.0008093381, 0.006013647, 359.2931
1681265192.3708887, 0, 0.006728398, -7.850687e-05, 0.006414086, 2.5818, 0, 0, 0, 15.200000000000001, +1.520017E+01, +9.816203E-09, 0.006362819, -7.850687e-05, 0.006414086, 359.2931
1681265199.0961926, 0, 0.006362819, -0.0004439224, 0.006378286, 352.751, 0, 0, 0, 16.0, +1.600082E+01, +9.937679E-09, 0.006362819, 0.0002869087, 0.006414086, 352.751
1681265205.8052099, 0, 0.006362819, -0.0004439224, 0.006378286, 353.141, 0, 0, 0, 16.8, +1.680030E+01, +1.082215E-08, 0.006728398, -0.0004439224, 0.006378286, 349.5394
1681265212.537057, 0, 0.006362819, -7.850687e-05, 0.006414086, 352.751, 0, 0, 0, 17.6, +1.759972E+01, +1.093989E-08, 0.006728398, -7.850687e-05, 0.006743026, 359.3315
1681265219.2563317, 0, 0.006362819, -0.0008093381, 0.006728856, 356.009, 0, 0, 0, 18.400000000000002, +1.840040E+01, +1.163090E-08, 0.006728398, -7.850687e-05, 0.006378286, 356.2253
1681265225.9606214, 0, 0.006728398, -7.850687e-05, 0.006743026, 359.3315, 0, 0, 0, 19.200000000000003, +1.920064E+01, +1.213021E-08, 0.007093977, -7.850687e-05, 0.006743026, 356.2253
1681265232.6664762, 0, 0.006728398, -0.0004439224, 0.006743026, 356.009, 0, 0, 0, 20.0, +1.999980E+01, +1.286342E-08, 0.006362819, -7.850687e-05, 0.006414086, 356.2253
1681265239.3947117, 0, 0.006362819, -0.0008093381, 0.006728856, 356.2253, 0, 0, 0, 20.8, +2.080042E+01, +1.332108E-08, 0.006728398, -0.0004439224, 0.007107853, 356.2253
1681265246.1269941, 0, 0.007093977, -7.850687e-05, 0.006743026, 2.441696, 0, 0, 0, 21.6, +2.160218E+01, +1.411099E-08, 0.007093977, -0.0004439224, 0.006743026, 356.4193
1681265252.8628263, 0, 0.006728398, -7.850687e-05, 0.006776899, 359.3315, 0, 0, 0, 22.400000000000002, +2.240236E+01, +1.472944E-08, 0.007093977, -0.0004439224, 0.006378286, 359.3315
1681265259.603638, 0, 0.007093977, -0.0004439224, 0.006743026, 356.2253, 0, 0, 0, 23.200000000000003, +2.320306E+01, +1.505837E-08, 0.007093977, -0.0004439224, 0.007107853, 353.4914
1681265266.3166013, 0, 0.007093977, -0.0008093381, 0.007107853, 353.141, 0, 0, 0, 24.0, +2.400362E+01, +1.568511E-08, 0.007459556, -0.0004439224, 0.007107853, 356.2253
1681265273.025623, 0, 0.007093977, -0.0008093381, 0.006743026, 356.2253, 0, 0, 0, 24.8, +2.480376E+01, +1.646513E-08, 0.007093977, -0.0004439224, 0.007139996, 353.4914
1681265279.777324, 0, 0.006728398, -0.0004439224, 0.006728856, 353.4914, 0, 0, 0, 25.6, +2.560420E+01, +1.673716E-08, 0.007093977, -0.0004439224, 0.007107853, 356.4193
1681265286.476086, 0, 0.007093977, -0.0008093381, 0.007107853, 356.4193, 0, 0, 0, 26.400000000000002, +2.640452E+01, +1.777263E-08, 0.007093977, -0.0008093381, 0.007094412, 356.5943
1681265293.2200747, 0, 0.007093977, -0.0004439224, 0.007094412, 353.4914, 0, 0, 0, 27.200000000000003, +2.720402E+01, +1.791858E-08, 0.006728398, -0.0008093381, 0.007094412, 356.4193
1681265299.966741, 0, 0.007093977, -0.0004439224, 0.007107853, 353.4914, 0, 0, 0, 28.0, +2.800657E+01, +1.886065E-08, 0.007093977, -0.0008093381, 0.007472754, 356.5943
