t,i,x,y,r,theta,xK,tc,therm,dc
1678592684.0479412, 3.2, -0.0021883395, -0.002014225, 1.4924935e-06, 222.2912, 0, 0, 0, -0.0
1678592689.5132005, -3.2, -0.002129847, -0.001970375, 1.4452094999999999e-06, 223.1281, 0, 0, 0, -0.0
1678592696.2085338, 3.2, -0.002071354, -0.002014225, 1.4576625e-06, 225.6148, 0, 0, 0, -0.16216216216216217
1678592701.6879299, -3.2, -0.0015961010000000002, -0.0018315170000000002, 1.2353284999999999e-06, 227.9447, 0, 0, 0, -0.16216216216216217
1678592708.4113388, 3.2, -0.0009892400000000002, -0.0017255465, 1.008104e-06, 241.564, 0, 0, 0, -0.32432432432432434
1678592713.8843582, -3.2, -0.000934403, -0.001718238, 9.626805e-07, 242.6962, 0, 0, 0, -0.32432432432432434
1678592720.5975285, 3.2, 6.36282e-05, -0.0014478305, 7.208850000000001e-07, 272.2445, 0, 0, 0, -0.4864864864864865
1678592726.1075704, -3.2, 0.00017695775, -0.0013966725, 7.11873e-07, 277.4772, 0, 0, 0, -0.4864864864864865
1678592732.78469, 3.2, 0.001174989, -0.0010970315, 8.000225000000001e-07, 316.149, 0, 0, 0, -0.6486486486486487
1678592738.2864964, -3.2, 0.001387025, -0.0010239485, 8.620190000000001e-07, 323.9482, 0, 0, 0, -0.6486486486486487
1678592744.9827485, 3.2, 0.0023119399999999997, -0.0007425785000000001, 1.1938765e-06, 341.7047, 0, 0, 0, -0.8108108108108109
1678592750.4711156, -3.2, 0.0023338745, -0.0007133455, 1.2202285e-06, 343.0544, 0, 0, 0, -0.8108108108108109
1678592757.1638541, 3.2, 0.003046754, -0.00048678775, 1.5478275000000003e-06, 350.7885, 0, 0, 0, -0.972972972972973
1678592762.655636, -3.2, 0.0030686890000000003, -0.00047217114999999996, 1.5601850000000001e-06, 351.0633, 0, 0, 0, -0.972972972972973
1678592769.3547587, 3.2, 0.003748666, -0.00026388430000000003, 1.8736304999999998e-06, 355.9019, 0, 0, 0, -1.135135135135135
1678592774.8431296, -3.2, 0.0038108145, -0.0002383052, 1.9108405e-06, 356.4899, 0, 0, 0, -1.135135135135135
1678592781.5689673, 3.2, 0.004399396999999999, -6.655985e-05, 2.196156e-06, 359.4667, 0, 0, 0, -1.2972972972972974
1678592787.0520196, -3.2, 0.0044981035, -1.1747535000000001e-05, 2.232621e-06, 359.7086, 0, 0, 0, -1.2972972972972974
1678592793.789501, 3.2, 0.0049002405, 9.422300000000001e-05, 2.4489385000000003e-06, 1.225117, 0, 0, 0, -1.4594594594594597
1678592799.298953, -3.2, 0.0050903400000000005, 0.0001746144, 2.5632365e-06, 2.149981, 0, 0, 0, -1.4594594594594597
1678592806.0038784, 3.2, 0.005514415, 0.00031347229999999996, 2.7558769999999997e-06, 3.293556, 0, 0, 0, -1.6216216216216217
1678592811.4724703, -3.2, 0.0055509700000000006, 0.0003317431, 2.7896705e-06, 3.415615, 0, 0, 0, -1.6216216216216217
1678592818.1886952, 3.2, 0.005883650000000001, 0.000423097, 2.9444855e-06, 4.191679, 0, 0, 0, -1.7837837837837838
1678592823.670154, -3.2, 0.00589096, 0.0004304053, 2.951508e-06, 4.156217, 0, 0, 0, -1.7837837837837838
1678592830.409908, 3.2, 0.005825155, 0.00037559295, 2.9034059999999998e-06, 3.358094, 0, 0, 0, -1.945945945945946
1678592835.8944662, -3.2, 0.00582881, 0.0003573222, 2.8089465e-06, 4.241668, 0, 0, 0, -1.945945945945946
1678592842.60377, 3.2, 0.00581419, 0.0003573222, 3.1112445e-06, 5.649157, 0, 0, 0, -2.1081081081081083
1678592848.0967965, -3.2, 0.006132240000000001, 0.000470601, 2.988642e-06, 4.601776, 0, 0, 0, -2.1081081081081083
1678592858.8035066, 3.2, -0.0002105562, 8.691464999999999e-05, 2.5349645000000003e-07, 173.8566, 0, 0, 0, -2.27027027027027
1678592864.2961636, -3.2, 0.0024252695, 0.0006460004999999999, 6.975380000000001e-07, 183.4852, 0, 0, 0, -2.27027027027027
