t,i,x,y,r,theta,xK
1678584554.0730028,0.0,-0.0017715790000000001,-0.0006658415,9.503520000000001e-07,200.9328,0
1678584558.0256863,0.16842105263157894,-0.001775235,-0.0006877665,9.503520000000001e-07,200.6241,0
1678584561.9848595,0.3368421052631579,-0.0017825465000000003,-0.0006694955,9.50997e-07,200.4824,0
1678584565.9328241,0.5052631578947369,-0.0017825465000000003,-0.0006694955,9.497099999999999e-07,200.6241,0
1678584569.8785937,0.6736842105263158,-0.0017862025,-0.0006694955,9.503520000000001e-07,200.83,0
1678584573.8490372,0.8421052631578947,-0.0017862025,-0.0006658415,9.537745e-07,200.4824,0
1678584577.8099616,1.0105263157894737,-0.0017862025,-0.0006731495,9.537745e-07,200.6108,0
1678584581.7773504,1.1789473684210525,-0.0017862025,-0.0006731495,9.537745e-07,200.5468,0
1678584585.7357535,1.3473684210526315,-0.001789858,-0.0006731495,9.554865e-07,201.0354,0
1678584589.6963594,1.5157894736842106,-0.0017971695000000003,-0.0006768039999999999,9.595505000000001e-07,200.47,0
1678584593.64759,1.6842105263157894,-0.0017971695000000003,-0.0006768039999999999,9.61904e-07,200.4318,0
1678584597.6297226,1.8526315789473684,-0.0017971695000000003,-0.0006731495,9.59989e-07,200.3937,0
1678584601.5791984,2.0210526315789474,-0.0017971695000000003,-0.0006694955,9.62975e-07,200.6361,0
1678584605.5367045,2.1894736842105265,-0.0018081370000000002,-0.0006658415,9.62338e-07,200.318,0
1678584609.503175,2.357894736842105,-0.0018081370000000002,-0.0006731495,9.64052e-07,200.5595,0
1678584613.476817,2.526315789473684,-0.0018008255,-0.0006768039999999999,9.653265e-07,200.4198,0
1678584617.4590044,2.694736842105263,-0.0018117930000000001,-0.0006731495,9.66401e-07,200.1786,0
1678584621.407826,2.863157894736842,-0.0018154490000000002,-0.0006768039999999999,9.668505e-07,200.3443,0
1678584625.3830674,3.031578947368421,-0.0018191045,-0.000680458,9.687515e-07,200.4456,0
1678584629.3434699,3.2,-0.0018191045,-0.0006731495,9.715435000000002e-07,200.1311,0
1678584633.3162925,3.2,-0.0018227605,-0.000680458,9.685665e-07,200.1682,0
1678584637.2738225,3.031578947368421,-0.0018227605,-0.0006768039999999999,9.69829e-07,200.4834,0
1678584641.2369115,2.863157894736842,-0.0018154490000000002,-0.000680458,9.704645e-07,200.4079,0
1678584645.192735,2.6947368421052635,-0.0018117930000000001,-0.0006731495,9.65766e-07,200.4456,0
1678584649.161111,2.5263157894736845,-0.0018117930000000001,-0.0006768039999999999,9.65766e-07,200.5214,0
1678584653.1239872,2.3578947368421055,-0.0018044815000000003,-0.0006768039999999999,9.653265e-07,200.5595,0
1678584657.0824597,2.1894736842105265,-0.0018008255,-0.0006694955,9.612625e-07,200.5977,0
1678584661.0425706,2.0210526315789474,-0.0018044815000000003,-0.0006694955,9.612625e-07,200.5977,0
1678584664.9913065,1.8526315789473686,-0.0017971695000000003,-0.0006768039999999999,9.61904e-07,200.8399,0
1678584668.930014,1.6842105263157896,-0.0018008255,-0.0006731495,9.62548e-07,200.4958,0
1678584672.8793654,1.5157894736842108,-0.0017935140000000002,-0.0006768039999999999,9.57839e-07,200.6746,0
1678584676.8196416,1.3473684210526318,-0.0017935140000000002,-0.0006768039999999999,9.584825e-07,200.5468,0
1678584680.7733886,1.1789473684210527,-0.0017862025,-0.0006768039999999999,9.55063e-07,200.5468,0
1678584684.727975,1.0105263157894737,-0.0017825465000000003,-0.0006731495,9.52707e-07,200.6882,0
1678584688.689335,0.8421052631578951,-0.0017825465000000003,-0.0006658415,9.52707e-07,200.521,0
1678584692.672851,0.6736842105263161,-0.0017788905000000002,-0.0006731495,9.486415000000001e-07,200.83,0
1678584696.6399705,0.5052631578947371,-0.0017788905000000002,-0.0006731495,9.49288e-07,200.7272,0
1678584700.6076858,0.33684210526315805,-0.0017715790000000001,-0.0006694955,9.469315e-07,200.7272,0
1678584704.5740678,0.16842105263157903,-0.0017715790000000001,-0.0006694955,9.42866e-07,200.702,0
1678584708.5566213,0.0,-0.0017679235000000002,-0.0006621870000000001,9.435125000000001e-07,200.716,0
1678584712.5270166,0.0,-0.001760612,-0.0006694955,9.42866e-07,200.7805,0
1678584716.508223,-0.16842105263157894,-0.0017642675,-0.0006694955,9.42866e-07,200.7412,0
1678584720.4762113,-0.3368421052631579,-0.0017679235000000002,-0.0006658415,9.40511e-07,200.7805,0
1678584724.4579096,-0.5052631578947369,-0.001760612,-0.000658533,9.388005000000001e-07,200.5468,0
1678584728.4324913,-0.6736842105263158,-0.001756956,-0.0006658415,9.377374999999999e-07,200.6906,0
1678584732.3951313,-0.8421052631578947,-0.0017496445,-0.0006621870000000001,9.370905e-07,200.8746,0
1678584736.3786016,-1.0105263157894737,-0.0017459885000000001,-0.0006621870000000001,9.306705000000001e-07,200.9146,0
1678584740.3301086,-1.1789473684210525,-0.001742333,-0.0006548789999999999,9.340935000000001e-07,200.8097,0
1678584744.2833276,-1.3473684210526315,-0.0017350210000000002,-0.000658533,9.28546e-07,200.6789,0
1678584748.258284,-1.5157894736842106,-0.0017313655,-0.0006548789999999999,9.272495e-07,200.5336,0
1678584752.233803,-1.6842105263157894,-0.0017313655,-0.0006548789999999999,9.278959999999999e-07,200.6649,0
1678584756.1913261,-1.8526315789473684,-0.0017313655,-0.0006548789999999999,9.208295000000001e-07,200.6789,0
1678584760.184014,-2.0210526315789474,-0.0017386769999999999,-0.0006512250000000001,9.255395000000001e-07,200.613,0
1678584764.16067,-2.1894736842105265,-0.0017277095,-0.000658533,9.23184e-07,200.6529,0
1678584768.1615047,-2.357894736842105,-0.0017240539999999998,-0.0006512250000000001,9.16765e-07,200.693,0
1678584772.1536353,-2.526315789473684,-0.0017203980000000002,-0.0006512250000000001,9.184765e-07,200.4531,0
1678584776.1260011,-2.694736842105263,-0.0017203980000000002,-0.0006512250000000001,9.174085000000001e-07,200.5201,0
1678584780.109116,-2.863157894736842,-0.0017167425,-0.0006475705,9.184765e-07,200.5201,0
1678584784.0595667,-3.031578947368421,-0.0017167425,-0.0006475705,9.187045e-07,200.5867,0
1678584788.0106149,-3.2,-0.0017203980000000002,-0.000658533,9.139885e-07,200.6003,0
1678584791.972167,-3.2,-0.0017130865,-0.000658533,9.144125000000001e-07,200.5333,0
1678584795.9107683,-3.031578947368421,-0.0017130865,-0.0006439165,9.150535e-07,200.7073,0
1678584799.8805075,-2.863157894736842,-0.0017167425,-0.0006475705,9.16765e-07,200.6669,0
1678584803.824018,-2.6947368421052635,-0.0017167425,-0.0006548789999999999,9.19119e-07,200.5201,0
1678584807.8064823,-2.5263157894736845,-0.0017167425,-0.0006475705,9.20189e-07,200.7736,0
1678584811.765893,-2.3578947368421055,-0.0017240539999999998,-0.0006512250000000001,9.184765e-07,200.7992,0
1678584815.750282,-2.1894736842105265,-0.0017240539999999998,-0.0006548789999999999,9.278959999999999e-07,200.6529,0
1678584819.7213833,-2.0210526315789474,-0.0017277095,-0.0006512250000000001,9.238300000000001e-07,200.7188,0
1678584823.6902018,-1.8526315789473686,-0.0017350210000000002,-0.0006548789999999999,9.272495e-07,200.759,0
1678584827.6599107,-1.6842105263157896,-0.0017313655,-0.000658533,9.255395000000001e-07,200.8649,0
1678584831.6597464,-1.5157894736842108,-0.0017386769999999999,-0.000658533,9.272495e-07,200.7445,0
1678584835.635511,-1.3473684210526318,-0.001742333,-0.000658533,9.272495e-07,200.8497,0
1678584839.6258862,-1.1789473684210527,-0.0017386769999999999,-0.0006621870000000001,9.313150000000001e-07,200.7699,0
1678584843.6270173,-1.0105263157894737,-0.0017459885000000001,-0.0006694955,9.343205000000001e-07,200.7301,0
1678584847.6061184,-0.8421052631578951,-0.0017496445,-0.0006694955,9.370905e-07,200.9392,0
1678584851.5943246,-0.6736842105263161,-0.001756956,-0.0006658415,9.400955000000001e-07,200.8596,0
1678584855.5642972,-0.5052631578947371,-0.001756956,-0.0006658415,9.37518e-07,200.4155,0
1678584859.5335186,-0.33684210526315805,-0.0017642675,-0.000680458,9.41156e-07,200.6119,0
1678584863.5058312,-0.16842105263157903,-0.0017642675,-0.0006694955,9.418039999999999e-07,200.7805,0
1678584867.4719737,0.0,-0.0017642675,-0.0006694955,9.418039999999999e-07,200.8842,0
