t,i,x,y,r,theta,xK,tc, therm
1678695276.2180984, 3.2, 1.4797285e-06, 1.3831555000000002e-05, 1.2444665e-08, 94.37415, 0, 0, 0
1678695283.1736987, -3.2, 6.7284e-05, -4.8289090000000004e-05, 4.597584e-08, 327.8221, 0, 0, 0
1678695290.165715, 3.2, -2.7766605e-05, 6.498975000000001e-05, 3.627111e-08, 125.6097, 0, 0, 0
1678695297.1543136, -3.2, 4.900502000000001e-05, -3.7326625e-05, 3.5929925e-08, 329.8281, 0, 0, 0
1678695304.1062694, 3.2, -5.335715e-05, 6.498975000000001e-05, 4.848334e-08, 126.312, 0, 0, 0
1678695311.104688, -3.2, 4.534923e-05, -4.8289090000000004e-05, 3.688436e-08, 321.1594, 0, 0, 0
1678695318.0950525, 3.2, -4.9701355e-05, 7.960635000000001e-05, 4.8385565e-08, 123.1145, 0, 0, 0
1678695325.075094, -3.2, 4.534923e-05, -2.2710004999999998e-05, 2.3738615e-08, 321.075, 0, 0, 0
1678695332.0499804, 3.2, -4.238977e-05, 8.691464999999999e-05, 4.8604095e-08, 127.2451, 0, 0, 0
1678695339.0231419, -3.2, 3.072606e-05, -2.2710004999999998e-05, 3.7841675e-08, 337.4935, 0, 0, 0
1678695346.0146782, 3.2, -3.5078185e-05, 8.326050000000001e-05, 5.51713e-08, 121.2261, 0, 0, 0
1678695353.0163255, -3.2, 3.8037645e-05, -1.540169e-05, 1.7185045e-08, 318.8763, 0, 0, 0
1678695360.005575, 3.2, -6.432450000000001e-05, 0.00010153130000000001, 5.48866e-08, 122.7768, 0, 0, 0
1678695366.9977388, -3.2, 3.8037645e-05, -2.6364159999999998e-05, 1.4012940000000002e-08, 331.7202, 0, 0, 0
1678695373.9959364, 3.2, -5.335715e-05, 7.960635000000001e-05, 6.8318e-08, 130.9015, 0, 0, 0
1678695380.9780362, -3.2, 3.072606e-05, -3.0018315000000005e-05, 1.4127125e-08, 339.7256, 0, 0, 0
1678695387.9764304, 3.2, -6.066875e-05, 7.960635000000001e-05, 6.416265e-08, 130.1627, 0, 0, 0
1678695394.972075, -3.2, 4.169344e-05, -3.0018315000000005e-05, 2.051874e-08, 351.7789, 0, 0, 0
1678695401.936543, 3.2, -5.701295e-05, 8.691464999999999e-05, 4.132849e-08, 125.2051, 0, 0, 0
1678695408.9165273, -3.2, 5.26608e-05, -4.0980780000000004e-05, 3.1252985e-08, 325.5062, 0, 0, 0
1678695415.9206114, 3.2, -6.79803e-05, 9.05688e-05, 6.28742e-08, 130.4959, 0, 0, 0
1678695422.9180264, -3.2, 3.072606e-05, -2.2710004999999998e-05, 8.061010000000002e-09, 351.7789, 0, 0, 0
1678695429.9094684, 3.2, -8.991505e-05, 0.0001088396, 6.363120000000001e-08, 132.5722, 0, 0, 0
1678695436.9238746, -3.2, 3.8037645e-05, 2.869087e-06, 1.944457e-08, 347.3375, 0, 0, 0
1678695443.9133341, 3.2, -8.625924999999999e-05, 9.787715e-05, 6.467775e-08, 126.0794, 0, 0, 0
1678695450.8816671, -3.2, 4.534923e-05, -4.4392245e-06, 1.944457e-08, 337.7254, 0, 0, 0
1678695457.849454, 3.2, -6.432450000000001e-05, 0.00011249375000000001, 5.55436e-08, 125.061, 0, 0, 0
1678695464.8560994, -3.2, 3.438185e-05, -4.4392245e-06, 1.0403825e-08, 337.9567, 0, 0, 0
1678695471.823916, 3.2, -8.26035e-05, 0.0001088396, 6.52315e-08, 131.7745, 0, 0, 0
1678695478.7858875, -3.2, 1.9758685000000003e-05, -4.4392245e-06, 6.23592e-09, 358.5364, 0, 0, 0
1678695485.7845292, 3.2, -7.16361e-05, 0.00011614789999999999, 6.66132e-08, 129.0614, 0, 0, 0
1678695492.7725577, -3.2, 3.438185e-05, -8.093380000000001e-06, 6.386745e-09, 4.770149, 0, 0, 0
1678695499.765034, 3.2, -7.52919e-05, 0.00011249375000000001, 7.17662e-08, 129.0614, 0, 0, 0
1678695506.723025, -3.2, 3.072606e-05, -7.850685e-07, 5.47357e-09, 358.3388, 0, 0, 0
1678695513.702351, 3.2, -8.26035e-05, 0.00010153130000000001, 6.467775e-08, 126.6001, 0, 0, 0
1678695520.691009, -3.2, 1.2447105000000002e-05, 2.869087e-06, 8.810295e-09, 22.05275, 0, 0, 0
1678695527.6894217, 3.2, -8.26035e-05, 0.0001088396, 7.489535000000001e-08, 128.8307, 0, 0, 0
