t,a,x,y,r,theta,b,c,d,dc
1680117734.3209307, 0, 0.1262728, -0.001905585, 0.1255471, 358.9667, 0, 0, 0, 0.0
1680117739.0817509, 0, 0.1270039, -0.001540169, 0.1270242, 359.1429, 0, 0, 0, 1.0
1680117743.831868, 0, 0.1284663, -0.001905585, 0.1284863, 358.9872, 0, 0, 0, 2.0
1680117748.5945354, 0, 0.1302942, -0.002636416, 0.1303139, 359.0042, 0, 0, 0, 3.0
1680117753.3609383, 0, 0.1317565, -0.002271, 0.131776, 358.8568, 0, 0, 0, 4.0
1680117758.1725485, 0, 0.13395, -0.002271, 0.1336037, 359.026, 0, 0, 0, 5.0
1680117762.9557064, 0, 0.1357778, -0.002271, 0.1354313, 359.0392, 0, 0, 0, 6.0
1680117767.757522, 0, 0.1372402, -0.002271, 0.1376245, 358.9024, 0, 0, 0, 7.0
1680117772.5253134, 0, 0.1394336, -0.001905585, 0.1394586, 359.0693, 0, 0, 0, 8.0
1680117777.3114266, 0, 0.1419927, -0.002636416, 0.1416516, 359.0837, 0, 0, 0, 9.0
1680117782.0776982, 0, 0.143455, -0.002271, 0.143473, 359.0953, 0, 0, 0, 10.0
1680117786.8594143, 0, 0.1456485, -0.002636416, 0.1453139, 359.1022, 0, 0, 0, 11.0
1680117791.6559236, 0, 0.1471108, -0.003001831, 0.1467839, 358.831, 0, 0, 0, 12.0
1680117796.4092147, 0, 0.1485731, -0.003367247, 0.148962, 358.9859, 0, 0, 0, 13.0
1680117801.1633008, 0, 0.1511322, -0.002636416, 0.151162, 358.8621, 0, 0, 0, 14.0
1680117805.9436703, 0, 0.1529601, -0.003001831, 0.153355, 358.8784, 0, 0, 0, 15.0
1680117810.7351563, 0, 0.1555191, -0.002636416, 0.1559211, 358.7596, 0, 0, 0, 16.0
1680117815.4976392, 0, 0.1580782, -0.003367247, 0.1573691, 358.9121, 0, 0, 0, 17.0
1680117820.2550359, 0, 0.1610028, -0.003367247, 0.161038, 358.927, 0, 0, 0, 18.0
1680117825.0764468, 0, 0.1639274, -0.003367247, 0.1635965, 358.6927, 0, 0, 0, 19.0
1680117829.854347, 0, 0.1672176, -0.003732663, 0.1668791, 358.8464, 0, 0, 0, 20.0
1680117834.6246593, 0, 0.1697767, -0.003367247, 0.1701832, 358.6261, 0, 0, 0, 21.0
1680117839.3740065, 0, 0.1734325, -0.004098078, 0.1734727, 358.8901, 0, 0, 0, 22.0
1680117844.1608808, 0, 0.1759916, -0.003732663, 0.1756738, 358.7875, 0, 0, 0, 23.0
1680117848.9155188, 0, 0.1789162, -0.003732663, 0.1789479, 358.8024, 0, 0, 0, 24.0
1680117853.6909463, 0, 0.182572, -0.004098078, 0.182618, 358.5995, 0, 0, 0, 25.0
1680117858.4393992, 0, 0.1858622, -0.004098078, 0.1859074, 358.627, 0, 0, 0, 26.0
1680117863.2007394, 0, 0.1898836, -0.004463493, 0.189936, 358.6508, 0, 0, 0, 27.0
1680117867.9676032, 0, 0.1942705, -0.005194325, 0.1939563, 358.5734, 0, 0, 0, 28.0
1680117872.7238839, 0, 0.1982919, -0.005194325, 0.1983507, 358.7129, 0, 0, 0, 29.0
1680117877.4930136, 0, 0.2030444, -0.00555974, 0.2034763, 358.5319, 0, 0, 0, 30.0
1680117882.2548485, 0, 0.2063346, -0.005194325, 0.2067566, 358.4565, 0, 0, 0, 31.0
1680117887.0211594, 0, 0.2107216, -0.00555974, 0.2107949, 358.4886, 0, 0, 0, 32.0
1680117891.7592852, 0, 0.2151085, -0.006290571, 0.2151901, 358.4249, 0, 0, 0, 33.0
1680117896.5406208, 0, 0.2205922, -0.005925156, 0.2206819, 358.3665, 0, 0, 0, 34.0
1680117901.3087845, 0, 0.2260759, -0.005925156, 0.2258084, 358.3136, 0, 0, 0, 35.0
1680117906.0870621, 0, 0.2304628, -0.006655986, 0.2309352, 358.2577, 0, 0, 0, 36.0
1680117910.8601089, 0, 0.2352154, -0.006655986, 0.2353202, 358.2902, 0, 0, 0, 37.0
1680117915.655168, 0, 0.2403335, -0.007021402, 0.2400815, 358.2368, 0, 0, 0, 38.0
1680117920.4134278, 0, 0.2454516, -0.007752234, 0.2452086, 358.1883, 0, 0, 0, 39.0
1680117925.1994998, 0, 0.2509353, -0.007752234, 0.2514204, 358.1525, 0, 0, 0, 40.0
1680117929.955766, 0, 0.2575157, -0.008483065, 0.25729, 358.1919, 0, 0, 0, 41.0
1680117934.7119977, 0, 0.2626338, -0.00884848, 0.2624054, 358.1474, 0, 0, 0, 42.0
1680117939.4579325, 0, 0.2681175, -0.009213896, 0.2682635, 358.0318, 0, 0, 0, 43.0
1680117944.236187, 0, 0.2739668, -0.009579311, 0.2737688, 358.0712, 0, 0, 0, 44.0
1680117948.996175, 0, 0.2801816, -0.009579311, 0.2803453, 358.0418, 0, 0, 0, 45.0
1680117953.771921, 0, 0.2860309, -0.01031014, 0.2869473, 357.9383, 0, 0, 0, 46.0
1680117958.563568, 0, 0.2922457, -0.01067556, 0.2924406, 357.7677, 0, 0, 0, 47.0
1680117963.335178, 0, 0.2977294, -0.01140639, 0.2975687, 357.9439, 0, 0, 0, 48.0
1680117968.0859997, 0, 0.3032131, -0.01140639, 0.3026969, 357.8404, 0, 0, 0, 49.0
1680117972.8709033, 0, 0.3090624, -0.01213722, 0.3093006, 357.7511, 0, 0, 0, 50.0
1680117977.6598465, 0, 0.3163739, -0.01250264, 0.3162556, 357.7979, 0, 0, 0, 51.0
1680117982.4428055, 0, 0.321492, -0.01323347, 0.3217643, 357.7079, 0, 0, 0, 52.0
1680117987.2000537, 0, 0.3269758, -0.01359888, 0.3272738, 357.6184, 0, 0, 0, 53.0
1680117991.954843, 0, 0.332825, -0.01432971, 0.3327526, 357.532, 0, 0, 0, 54.0
1680117996.7066143, 0, 0.3390399, -0.01469513, 0.3393273, 357.5155, 0, 0, 0, 55.0
1680118001.4793613, 0, 0.3452547, -0.01506055, 0.3459644, 357.5023, 0, 0, 0, 56.0
1680118006.2349737, 0, 0.3503728, -0.01579138, 0.3510937, 357.4791, 0, 0, 0, 57.0
1680118011.0008411, 0, 0.3558565, -0.01615679, 0.3562231, 357.3977, 0, 0, 0, 58.0
1680118015.7628887, 0, 0.3602434, -0.01688762, 0.3602739, 357.3133, 0, 0, 0, 59.0
1680118020.5088928, 0, 0.3620713, -0.01834929, 0.3618058, 356.959, 0, 0, 0, 60.0
1680118025.2741878, 0, 0.360609, -0.01834929, 0.3614407, 357.0841, 0, 0, 0, 60.0
1680118030.066276, 0, 0.3540286, -0.01761845, 0.3548318, 357.1539, 0, 0, 0, 59.0
