t,i,x,y,r,theta,xK,tc,therm,dc
1678919156.434721, 3.2, 0.18110965, -7.850685e-05, 0.00905551, 359.6284, 0, 0, 0, -0.0
1678919162.6193469, -3.2, 0.18110965, -7.850685e-05, 0.00903723, 359.8596, 0, 0, 0, -0.0
1678919170.0342658, 3.2, 0.13504670000000002, -7.850685e-05, 0.006752335, 359.9667, 0, 0, 0, -1.0
1678919176.219237, -3.2, 0.13541224999999998, -7.850685e-05, 0.006752370000000001, 359.9668, 0, 0, 0, -1.0
1678919183.6121361, 3.2, 0.10945615, -7.850685e-05, 0.00549109, 0.339195, 0, 0, 0, -2.0
1678919189.8128128, -3.2, 0.1098217, -7.850685e-05, 0.00550941, 359.9592, 0, 0, 0, -2.0
1678919197.2524443, 3.2, 0.09556415, 0.0002869087, 0.00474165, 359.952, 0, 0, 0, -3.0
1678919203.4622855, -3.2, 0.0930051, -7.850685e-05, 0.004558860499999999, 0.1802929, 0, 0, 0, -3.0
1678919210.8787913, 3.2, 0.0820377, 0.0002869087, 0.004101887, 0.2003784, 0, 0, 0, -4.0
1678919217.0544124, -3.2, 0.08130655, -7.850685e-05, 0.004083608, 0.2012754, 0, 0, 0, -4.0
1678919224.479746, 3.2, 0.0736294, -7.850685e-05, 0.0036631925, 0.5076023, 0, 0, 0, -5.0
1678919230.7086446, -3.2, 0.07253265, -0.00044392245, 0.0036449135000000002, 0.2255003, 0, 0, 0, -5.0
1678919238.1316597, 3.2, 0.06704895, -7.850685e-05, 0.0033524505000000005, 359.9329, 0, 0, 0, -6.0
1678919244.3466845, -3.2, 0.06631780000000001, -7.850685e-05, 0.0033160505, 0.2465165, 0, 0, 0, -6.0
1678919251.7542894, 3.2, 0.06412435, -7.850685e-05, 0.0032062485000000003, 359.9294, 0, 0, 0, -7.0
1678919257.9442115, -3.2, 0.06375875, 0.0002869087, 0.0031881039999999998, 0.259311, 0, 0, 0, -7.0
1678919265.3896804, 3.2, 0.06010295, 0.0002869087, 0.002932067, 0.2803265, 0, 0, 0, -8.0
1678919271.589343, -3.2, 0.058275049999999995, -7.850685e-05, 0.0029137555, 0.282085, 0, 0, 0, -8.0
1678919279.0410345, 3.2, 0.0571783, 0.0002869087, 0.002877198, 0.2838658, 0, 0, 0, -9.0
1678919285.2521865, -3.2, 0.0571783, -0.00044392245, 0.002858952, 359.9208, 0, 0, 0, -9.0
1678919292.6505508, 3.2, 0.055350449999999995, -7.850685e-05, 0.0027127755, 359.9182, 0, 0, 0, -10.0
1678919298.8474815, -3.2, 0.055350449999999995, -0.00044392245, 0.0027675245, 359.9187, 0, 0, 0, -10.0
1678919306.264229, 3.2, 0.0524258, -7.850685e-05, 0.0026396075, 359.9124, 0, 0, 0, -11.0
1678919312.4530778, -3.2, 0.05132905, 0.0002869087, 0.002548214, 0.7281141, 0, 0, 0, -11.0
