t,i,temp_desired,temp_tc
1680116076.6059945,25,1.4947961450098084,22.0527305
1680116077.5888815,25,1.5014457618576218,22.1515464
1680116078.572522,25,1.5309720300168412,22.2027072
1680116079.5586731,25,1.5717661630086608,22.2301406
1680116080.5418015,25,1.603976695712483,22.2730522
1680116081.530591,25,1.630627589684849,22.3251399
1680116082.527646,25,1.6401553596848495,22.4096965
1680116083.5177114,25,1.637140481684848,22.5151214
1680116084.5057335,25,1.6026156479886975,22.6756572
1680116085.482225,25,1.5581549306680962,22.8493156
1680116086.4870274,25,1.4986860009399698,23.0451946
1680116087.4844737,25,1.4239646649399686,23.2640743
1680116088.4694479,25,1.3362266049558713,23.4986438
1680116089.4487965,25,1.2357266736355221,23.7489356
1680116090.4232485,25,1.1258016375394568,24.0078372
1680116091.41306,25,1.0019596420834112,24.2837142
1680116092.4026544,25,0.8797489008038131,24.5460224
1680116093.4015381,25,0.7383194884518014,24.8353614
1680116094.3994966,25,0.5976184633317942,25.1122035
1680116095.365759,25,0.4540124227099267,25.3845119
1680116096.3514583,25,0.3243974450939664,25.6193637
1680116097.3345118,25,0.18232401752602423,25.8692951
1680116098.3277388,25,0.04774878285632922,26.0952911
1680116099.3132997,25,0,26.3146286
1680116100.3152597,25,0,26.4994888
1680116101.2906218,25,0,26.6831226
1680116102.263884,25,0,26.8323345
1680116103.2495306,25,0,26.9688377
1680116104.2333596,25,0,27.0795173
1680116105.2240505,25,0,27.177145
1680116106.2049778,25,0,27.2713661
1680116107.1914198,25,0,27.3378181
1680116108.1699166,25,0,27.395317
1680116109.1553805,25,0,27.4442214
1680116110.1250997,25,0,27.4982719
1680116111.1128092,25,0,27.5239868
1680116112.0919542,25,0,27.5593242
1680116113.0909252,25,0,27.5678615
1680116114.0767143,25,0,27.5953063
1680116115.0638082,25,0,27.6123676
1680116116.0476274,25,0,27.6086902
1680116117.0376842,25,0,27.6171169
1680116118.0275319,25,0,27.6141605
1680116119.0073726,25,0,27.6043071
1680116119.9873545,25,0,27.6024665
1680116120.9639254,25,0,27.6039848
1680116121.953881,25,0,27.5977134
1680116122.936505,25,0,27.5792293
1680116123.926503,25,0,27.5528697
1680116124.9058905,25,0,27.5443
1680116125.8860312,25,0,27.527544
1680116126.8775134,25,0,27.5156822
1680116127.8632507,25,0,27.4886779
1680116128.849908,25,0,27.4643764
1680116129.848261,25,0,27.4454116
1680116130.828666,25,0,27.4274177
1680116131.816618,25,0,27.4025096
1680116132.8024166,25,0,27.3927192
1680116133.7954955,25,0,27.3677692
1680116134.792827,25,0,27.3435325
1680116135.774359,25,0,27.3194904
1680116136.7640245,25,0,27.2857761
1680116137.7521846,25,0,27.258131
1680116138.7932515,25,0,27.2281074
1680116139.7765498,25,0,27.2080097
1680116140.7761424,25,0,27.1702671
1680116141.7600982,25,0,27.1419506
1680116142.75306,25,0,27.1131572
1680116143.7426534,25,0,27.0969829
1680116144.7255294,25,0,27.0584697
1680116145.7157006,25,0,27.0444984
1680116146.7059963,25,0,27.002861
1680116147.6919625,25,0,26.9817161
1680116148.682511,25,0,26.9492015
1680116149.672245,25,0,26.9092445
1680116150.6469715,25,0,26.8779792
1680116151.6167176,25,0,26.8580284
1680116152.5842824,25,0,26.8357772
1680116153.5676267,25,0,26.8033237
1680116154.546467,25,0,26.78166
1680116155.52986,25,0,26.7480773
1680116156.5138555,25,0,26.7149429
1680116157.50951,25,0,26.6850509
1680116158.5080032,25,0,26.6531009
1680116159.489307,25,0,26.6355457
1680116160.4756954,25,0,26.6059856
1680116161.4552543,25,0,26.5773906
1680116162.4460998,25,0,26.5401382
1680116163.4292672,25,0,26.5056838
1680116164.4219754,25,0,26.4860248
1680116165.4087853,25,0,26.4608592
1680116166.4020526,25,0,26.4417629
1680116167.3826725,25,0,26.3919754
1680116168.3810508,25,0,26.368761
1680116169.3585844,25,0,26.3445186
1680116170.3501217,25,0,26.3162975
1680116171.3410213,25,0,26.2892341
1680116172.333375,25,0,26.2660751
1680116173.3096974,25,0,26.2408695
1680116174.2966106,25,0,26.2109832
1680116175.2825906,25,0,26.1820716
1680116176.2665043,25,0,26.1623325
1680116177.2491574,25,0,26.1314048
1680116178.2358136,25,0,26.0982284
1680116179.215904,25,0,26.0721473
1680116180.1948009,25,0,26.0456409
1680116181.1750667,25,0,26.0053539
1680116182.1550531,25,0,25.9835739
1680116183.1378777,25,0,25.9608268
1680116184.1347117,25,0,25.9454936
1680116185.1091099,25,0,25.9207172
1680116186.1005886,25,0,25.8934154
1680116187.0907514,25,0,25.8705673
1680116188.0800505,25,0,25.8385848
1680116189.0849948,25,0,25.8163814
1680116190.0804362,25,0,25.8013134
1680116191.0720415,25,0,25.7700557
1680116192.0459566,25,0,25.7491283
1680116193.0310798,25,0,25.724863
1680116194.0115302,25,0,25.704523
1680116194.989172,25,0,25.6788482
1680116195.984299,25,0,25.6662425
1680116196.9633641,25,0,25.6383285
1680116198.003395,25,0,25.615612
1680116198.9856305,25,0,25.5739498
1680116199.9778337,25,0,25.5650825
1680116200.964462,25,0,25.5471496
1680116201.9533434,25,0,25.5289115
1680116202.9411714,25,0,25.484848
1680116203.9299214,25,0,25.4691276
1680116204.9308422,25,0,25.457571
1680116205.9240484,25,0,25.4298572
1680116206.9137201,25,0,25.4060096
1680116207.9037304,25,0,25.3857669
1680116208.8859434,25,0,25.3632411
1680116209.8794212,25,0,25.3522396
1680116210.868733,25,0,25.3412265
1680116211.8556547,25,0,25.3158683
1680116212.8767438,25,0,25.2881317
1680116213.8723881,25,0,25.2764778
1680116214.8656151,25,0,25.2564449
1680116215.8438976,25,0,25.2316398
1680116216.830829,25,0,25.215559
1680116217.8126106,25,0,25.198122
1680116218.80364,25,0,25.1887779
1680116219.7850556,25,0,25.1689167
1680116220.7808514,25,0,25.1389541
1680116221.763053,25,0,25.1101799
1680116222.7510054,25,0,25.0960311
1680116223.7406552,25,0,25.082405
1680116224.740642,25,0,25.0662345
1680116225.729728,25,0,25.0457344
1680116226.70821,25,0,25.025547
1680116227.7074819,25,0,25.0026664
1680116228.6868534,25,0.0024319879999998763,24.9953231
1680116229.674981,25,0.012276944559997078,24.9765415
1680116230.649634,25,0.022540567040033967,24.9576816
1680116231.633934,25,0.033573932032029706,24.9380531
1680116232.6189609,25,0.042806552832008335,24.922636
1680116233.6013227,25,0.04783301875200358,24.9158935
1680116234.605903,25,0.066696468752004,24.8828525
1680116235.5969827,25,0.07440316675200265,24.8725376
1680116236.5846388,25,0.08422877315199394,24.8584575
1680116237.5847683,25,0.09142861115199345,24.8500556
1680116238.5821137,25,0.10566686587194582,24.8283424
1680116239.5786295,25,0.11349380987194514,24.8198928
1680116240.572266,25,0.11978180587194658,24.8147277
1680116241.5602407,25,0.13134199619191983,24.7993755
1680116242.5783973,25,0.13309262763194468,24.8039665
1680116243.5680811,25,0.13748738163194446,24.8030548
1680116244.5497124,25,0.15099288159993077,24.7845249
1680116245.5287025,25,0.15330754945591699,24.7882308
1680116246.5209363,25,0.15780589791009103,24.7874717
1680116247.505024,25,0.16356997591009095,24.7845611
1680116248.4891827,25,0.16656512723003275,24.7869644
1680116249.475007,25,0.16403862422200663,24.7997703
1680116250.4583535,25,0.16477517422200566,24.806055
1680116251.43851,25,0.1643018162059412,24.8142032
1680116252.4148402,25,0.167596496013929,24.8148994
1680116253.4042623,25,0.17195668184409446,24.8135261
1680116254.4005754,25,0.16659658048408468,24.830902
1680116255.3857968,25,0.160138632484083,24.8498249
1680116256.3823955,25,0.16187292860404157,24.8521804
1680116257.3570104,25,0.1575989286040415,24.866085
1680116258.3366027,25,0.1570839843800258,24.8720684
1680116259.3106477,25,0.15307191971999343,24.8846378
1680116260.2834074,25,0.14807693136798064,24.8985557
1680116261.2866023,25,0.140942020368055,24.91613
1680116262.272675,25,0.13908357636805402,24.9229297
