t,i,temp_desired,temp_tc
1680593708.4842682,20,0,19.3553276
1680593709.4491222,20,0,19.3689041
1680593710.4321477,20,0,19.3746147
1680593711.425258,20,0,19.3747825
1680593712.4085712,20,0,19.3596649
1680593713.395097,20,0,19.3633537
1680593714.3747237,20,0,19.3773784
1680593715.350787,20,0,19.3800621
1680593716.3193784,20,0,19.3840923
1680593717.3009188,20,0,19.3815231
1680593718.2811317,20,0,19.3851318
1680593719.2672575,20,0,19.3780689
1680593720.2437613,20,0,19.3947677
1680593721.2234123,20,0,19.3906192
1680593722.1897867,20,0,19.4048461
1680593723.1665165,20,0,19.4029197
1680593724.14329,20,0,19.4094562
1680593725.1194117,20,0,19.4179496
1680593726.0892725,20,0,19.4182929
1680593727.0657504,20,0,19.4281902
1680593728.0321112,20,0,19.4389724
1680593728.9987159,20,0,19.4402828
1680593730.0049412,20,0,19.4444694
1680593730.9919438,20,0,19.4358253
1680593731.9714715,20,0,19.4372863
1680593732.9680758,20,0,19.4514846
1680593733.9409864,20,0,19.4472198
1680593734.924086,20,0,19.4621467
1680593735.907398,20,0,19.4666709
1680593736.8850126,20,0,19.4729747
1680593737.8637338,20,0,19.4777774
1680593738.8401127,20,0,19.4801979
1680593739.8100793,20,0,19.4906673
1680593740.7862601,20,0,19.4901599
1680593741.7496097,20,0,19.4882831
1680593742.7293658,20,0,19.4882106
1680593743.7010407,20,0,19.5000686
1680593744.6820686,20,0,19.4974308
1680593745.662071,20,0,19.5040283
1680593746.6387475,20,0,19.5010852
1680593747.6250024,20,0,19.5025787
1680593748.606526,20,0,19.5219001
1680593749.5879965,20,0,19.5193691
1680593750.5642734,20,0,19.5228977
1680593751.5440333,20,0,19.5247268
1680593752.5105462,20,0,19.5295219
1680593753.4854496,20,0,19.534832
1680593754.4640322,20,0,19.5321483
1680593755.4504747,20,0,19.5317897
1680593756.4201171,20,0,19.5242748
1680593757.396497,20,0,19.5392131
1680593758.3629367,20,0,19.5405941
1680593759.3328032,20,0,19.5453796
1680593760.2960517,20,0,19.5455322
1680593761.2934182,20,0,19.5476684
1680593762.272924,20,0,19.5494003
1680593763.2493742,20,0,19.5481662
1680593764.2690818,20,0,19.5562477
1680593765.255831,20,0,19.5577945
1680593766.2519388,20,0,19.5634498
1680593767.2418952,20,0,19.5608348
1680593768.2253735,20,0,19.5683383
1680593769.2151995,20,0,19.5622844
1680593770.201254,20,0,19.5648288
1680593771.1876135,20,0,19.5752468
1680593772.174926,20,0,19.5776042
1680593773.1639438,20,0,19.5771427
1680593774.1502953,20,0,19.5820102
1680593775.1480691,20,0,19.5802688
