t,i,temp_desired,temp_tc,temp_therm
1681774428.3260033,23.2604961,0.0010964526719996963,23.2625713(1013.75049, 17.86823833816057)
1681774433.336729,23.2604961,0.004874052959500122,23.2696666(1013.76984, 17.874749269420434)
1681774438.3452597,23.2604961,0.008033470419500822,23.2752456(1013.80139, 17.885365157424367)
1681774443.4092557,23.2604961,0.002700705451498807,23.2643833(1013.79077, 17.881791776186226)
1681774448.3605604,23.2604961,0.006360232172500143,23.2711734(1013.81396, 17.889594645019155)
1681774453.376363,23.2604961,0.009763660862502428,23.2771453(1013.81732, 17.89072519595871)
1681774458.3894587,23.2604961,0.005759915862502446,23.2687263(1013.82941, 17.894793145783517)
1681774463.3927248,23.2604961,0.009125105542502742,23.2747421(1013.83734, 17.89746135842949)
1681774468.3967257,23.2604961,0.006815620542502152,23.2696647(1013.84326, 17.89945325851004)
1681774473.4002533,23.2604961,0.009763548042501877,23.2748432(1013.84564, 17.900254054621364)
1681774478.418247,23.2604961,0.004347634097501475,23.2638435(1013.85773, 17.90432195049638)
1681774483.4023767,23.2604961,0.00899251909750112,23.2725315(1013.86023, 17.905163117158544)
1681774488.427601,23.2604961,0.01242909452950209,23.2785015(1013.87158, 17.908982001420615)
1681774493.4367287,23.2604961,0.006209157029502484,23.2657966(1013.87787, 17.911098361138308)
1681774498.459507,23.2604961,0.006037008443502138,23.2652149(1013.87836, 17.911263228326753)
1681774503.45897,23.2604961,0.013669145943502851,23.2795276(1013.88385, 17.913110411178465)
1681774508.513251,23.2604961,0.013925025454004383,23.2791004(1013.8819, 17.912454308523618)
1681774513.4775186,23.2604961,0.014005844426002154,23.2783737(1013.89124, 17.915596866571573)
1681774518.491113,23.2604961,0.015675025634001933,23.2806987(1013.90063, 17.91875623388015)
1681774523.5035684,23.2604961,0.013782013079004264,23.2761287(1013.88214, 17.912535059651955)
1681774528.5095289,23.2604961,0.011391063079004417,23.2708301(1013.88568, 17.913726137740422)
1681774533.5182157,23.2604961,0.020463550075004215,23.2876148(1013.88458, 17.913356028941294)
1681774538.518062,23.2604961,0.0198395802224992,23.2851314(1013.86853, 17.90795578341498)
1681774543.5277784,23.2604961,0.0188202452224986,23.2820167(1013.88629, 17.91393137981044)
1681774548.541749,23.2604961,0.011925205222498214,23.2678585(1013.86194, 17.90573847458835)
1681774553.5542378,23.2604961,0.01081490191849791,23.2653923(1013.86731, 17.907545295802333)
1681774558.5662553,23.2604961,0.011553617454498693,23.2665653(1013.85028, 17.901815268003034)
1681774563.5716317,23.2604961,0.0040769924544989886,23.2520351(1013.84589, 17.900338171808155)
1681774568.5772364,23.177059197635906,0.04628693869564814,23.249401(1013.83984, 17.89830253312363)
1681774573.6372628,23.092718299440005,0.08737721427079835,23.2397956(1013.84094, 17.89867264967706)
