time,tc temp (C),tr temp (C),tr res (ohm),sr2124,x,y,r,theta
1664226453.8778796,0,0,0,8.601381,0.0101967,-0.00013733,0.0101891,-0.786
1664226458.995323,0,0,0,8.594069,0.0101052,-5.3406e-05,0.010109,-0.246
1664226464.0603707,0,0,0,8.594069,0.010212,-0.000125886,0.0102044,-0.714
1664226469.1341567,0,0,0,8.594069,0.0100937,-9.53679e-05,0.0100899,-0.492
1664226474.2260766,0,0,0,8.601381,0.0101777,-0.000141145,0.0101662,-0.81
1664226479.3077824,0,0,0,8.608693,0.0102387,-7.24797e-05,0.0102387,-0.426
1664226484.355347,0,0,0,8.630628,0.0100861,-7.24797e-05,0.0100861,-0.36
1664226489.4214225,0,0,0,8.623316,0.0101662,1.90736e-05,0.0101739,0.114
1664226494.470619,0,0,0,8.623316,0.0100861,-6.10356e-05,0.0100861,-0.3
1664226499.5318491,0,0,0,8.623316,0.0102349,-6.48503e-05,0.0102349,-0.39
1664226504.5833318,0,0,0,8.630628,0.0102158,3.81473e-06,0.0102196,0.0
1664226509.6429348,0,0,0,8.623316,0.0101014,-5.72207e-05,0.0101052,-0.282
1664226514.697348,0,0,0,8.601381,0.0102425,-2.28883e-05,0.0102425,-0.15
1664226519.732692,0,0,0,8.608693,0.0101395,-1.14442e-05,0.0101472,-0.036
1664226524.7787364,0,0,0,8.608693,0.0102387,-7.62944e-05,0.0102387,-0.444
1664226529.8211489,0,0,0,8.608693,0.0102387,-0.000110627,0.0102349,-0.654
1664226534.8700223,0,0,0,8.637939,0.0101815,-0.000141145,0.0101739,-0.786
1664226539.919939,0,0,0,8.637939,0.0102196,0.0,0.0102234,-0.018
1664226545.00005,0,0,0,8.616005,0.0101777,-0.000144959,0.01017,-0.81
1664226550.0796835,0,0,0,8.608693,0.0101967,-0.000133515,0.0101929,-0.75
1664226555.1568246,0,0,0,8.601381,0.0102158,-2.28883e-05,0.0102196,-0.132
1664226560.248586,0,0,0,8.608693,0.0102425,-3.05178e-05,0.0102463,-0.222
1664226565.3147328,0,0,0,8.594069,0.0101967,-7.62945e-06,0.0102082,-0.054
1664226570.4029026,0,0,0,8.608693,0.0102425,-8.39238e-05,0.0102387,-0.504
1664226575.4716713,0,0,0,8.608693,0.0101014,-7.24797e-05,0.0101014,-0.36
1664226580.538246,0,0,0,8.616005,0.0100861,-8.01091e-05,0.0100861,-0.378
1664226585.6174607,0,0,0,8.616005,0.0102234,-0.000129701,0.0102196,-0.732
1664226590.6921198,0,0,0,8.616005,0.0102234,0.0,0.0102273,-0.036
1664226595.7586126,0,0,0,8.623316,0.0101777,1.52589e-05,0.0101853,0.096
1664226600.8212154,0,0,0,8.630628,0.0101586,1.90736e-05,0.0101662,0.114
1664226605.8669214,0,0,0,8.630628,0.0102234,0.0,0.0102311,-0.036
1664226610.938884,0,0,0,8.616005,0.0102502,-5.72207e-05,0.0102502,-0.354
1664226615.9747522,0,0,0,8.616005,0.0102387,-6.8665e-05,0.0102387,-0.408
1664226621.037208,0,0,0,8.623316,0.0102311,-4.95913e-05,0.0102349,-0.3
1664226626.0865164,0,0,0,8.616005,0.010109,-9.91826e-05,0.0101052,-0.492
1664226631.1606045,0,0,0,8.616005,0.0101052,-4.95913e-05,0.010109,-0.228
1664226636.2304764,0,0,0,8.645251,0.010109,-3.81472e-05,0.0101128,-0.168
1664226641.277009,0,0,0,8.645251,0.0101739,0.0,0.0101815,0.0
1664226646.334702,0,0,0,8.645251,0.0102463,-9.53679e-05,0.0102425,-0.576
1664226651.3948424,0,0,0,8.637939,0.0101777,-3.81473e-06,0.0101853,-0.018
1664226656.4370048,0,0,0,8.623316,0.0101395,-1.14442e-05,0.0101433,-0.036
1664226661.49924,0,0,0,8.623316,0.0101929,-0.000144959,0.0101815,-0.828
1664226666.5704129,0,0,0,8.616005,0.0101891,-0.000133515,0.0101815,-0.768
1664226671.6354122,0,0,0,8.630628,0.0102273,0.0,0.0102349,-0.018
1664226676.6802785,0,0,0,8.637939,0.0101205,-2.6703e-05,0.0101243,-0.096
1664226681.741077,0,0,0,8.616005,0.0101319,-0.000133515,0.0101243,-0.72
1664226686.8112526,0,0,0,8.623316,0.0100899,-3.81472e-05,0.0100937,-0.15
1664226691.8575084,0,0,0,8.623316,0.0102006,-7.62945e-06,0.0102082,-0.054
1664226696.9191346,0,0,0,8.637939,0.0101281,7.62945e-06,0.0101357,0.078
1664226701.9745598,0,0,0,8.623316,0.0101739,0.0,0.0101815,0.0
1664226707.0374258,0,0,0,8.623316,0.0100937,-9.53679e-05,0.0100899,-0.474
1664226712.0863645,0,0,0,8.623316,0.0102387,-1.52589e-05,0.0102425,-0.114
1664226717.1681514,0,0,0,8.623316,0.0100861,-5.3406e-05,0.0100861,-0.228
1664226722.2441924,0,0,0,8.637939,0.0101205,-2.6703e-05,0.0101243,-0.114
