DYT048
2022-3-4LOCK-IN PARAMETERS
ADDRESS: 10
TAU: 1
SENSITIVITY: 1e-3
FREQUENCY: 7.675
AMP: 1
COUPLING: AC
LP_FILTER: 24
SYNC_FILTER: none
NOTCH_FILTER: none
TIME	T_PPMS(K)	 H_PPMS(Oe)	VDP_config	LIA_X(V)	LIA_Y(V)	LIA_PHASE
16:05:00	300.00	-89878.12	3	0.0140076	0.00039673	1.632
16:05:05	300.00	-89725.64	3	0.0140076	0.00039673	1.632
16:05:10	300.00	-89575.80	3	0.0140076	0.00039673	1.632
16:05:15	300.00	-89422.92	3	0.0140076	0.00039673	1.632
16:05:20	300.00	-89270.17	3	0.0140076	0.00039673	1.632
16:05:25	300.00	-89120.29	3	0.0140076	0.00039673	1.632
16:05:31	300.00	-88967.45	3	0.0140381	0.00039673	1.632
16:05:36	300.00	-88817.55	3	0.0140381	0.00039673	1.632
16:05:41	300.00	-88664.49	3	0.0140381	0.00039673	1.632
16:05:46	300.00	-88514.55	3	0.0140381	0.00039673	1.632
16:05:51	300.00	-88364.30	3	0.0140381	0.00039673	1.632
16:05:56	300.00	-88211.34	3	0.0140381	0.00039673	1.626
16:06:01	300.00	-88058.35	3	0.0140381	0.00039673	1.626
16:06:06	300.00	-87908.52	3	0.0140381	0.00039673	1.626
16:06:11	300.00	-87758.47	3	0.0140381	0.00039673	1.626
16:06:16	300.00	-87605.56	3	0.0140687	0.00039673	1.626
16:06:21	300.00	-87455.63	3	0.0140687	0.00039673	1.626
16:06:26	300.00	-87302.71	3	0.0140687	0.00039673	1.626
16:06:31	300.00	-87152.77	3	0.0140687	0.00039673	1.626
16:06:36	300.00	-86999.79	3	0.0140687	0.00039673	1.626
16:06:41	300.00	-86849.77	3	0.0140992	0.00039673	1.626
16:06:46	300.00	-86699.79	3	0.0140992	0.00039673	1.626
16:06:51	300.00	-86546.85	3	0.0140992	0.00039673	1.626
16:06:56	300.00	-86396.97	3	0.0140992	0.00039673	1.626
16:07:01	300.00	-86244.03	3	0.0140992	0.00039673	1.626
16:07:06	300.00	-86094.07	3	0.0140992	0.00039673	1.62
16:07:11	300.00	-85941.06	3	0.0140992	0.00039673	1.62
16:07:16	300.00	-85791.05	3	0.0140992	0.00039673	1.62
16:07:21	300.00	-85641.30	3	0.0140992	0.00039673	1.62
16:07:27	300.00	-85487.92	3	0.0140992	0.00039673	1.62
16:07:32	300.00	-85337.98	3	0.0140992	0.00039673	1.62
16:07:37	300.00	-85184.95	3	0.0141297	0.00039673	1.62
16:07:42	300.00	-85035.06	3	0.0141297	0.00039673	1.62
16:07:47	300.00	-84882.12	3	0.0141297	0.00039673	1.62
16:07:52	300.00	-84732.13	3	0.0141297	0.00039673	1.62
16:07:57	300.00	-84579.23	3	0.0141297	0.00039673	1.62
16:08:02	300.00	-84429.32	3	0.0141297	0.00039673	1.62
16:08:07	300.00	-84276.37	3	0.0141297	0.00039673	1.62
16:08:12	300.00	-84126.34	3	0.0141297	0.00039673	1.62
16:08:17	300.00	-83973.31	3	0.0141297	0.00039673	1.62
16:08:22	300.00	-83823.40	3	0.0141297	0.00039673	1.62
16:08:27	300.00	-83673.44	3	0.0141297	0.00039673	1.62
16:08:32	300.00	-83520.37	3	0.0141602	0.00039673	1.614
16:08:37	300.00	-83370.55	3	0.0141602	0.00039673	1.614
16:08:42	300.00	-83217.55	3	0.0141602	0.00039673	1.614
16:08:47	300.00	-83067.67	3	0.0141602	0.00039673	1.614
16:08:52	300.00	-82914.70	3	0.0141602	0.00039673	1.614
16:08:57	300.00	-82764.76	3	0.0141602	0.00039673	1.614
16:09:02	300.00	-82614.74	3	0.0141602	0.00039673	1.614
16:09:07	300.00	-82461.80	3	0.0141602	0.00039673	1.614
16:09:12	300.00	-82311.84	3	0.0141602	0.00039673	1.614
16:09:18	300.00	-82158.80	3	0.0141602	0.00039673	1.614
16:09:23	300.00	-82008.88	3	0.0141602	0.00039673	1.614
16:09:28	300.00	-81855.86	3	0.0141602	0.00039673	1.614
16:09:33	300.00	-81706.05	3	0.0141602	0.00039673	1.614
16:09:38	300.00	-81553.20	3	0.0141907	0.00039673	1.614
16:09:43	300.00	-81403.20	3	0.0141907	0.00039673	1.614
16:09:48	300.00	-81253.22	3	0.0141907	0.00039673	1.614
16:09:53	300.00	-81097.41	3	0.0141907	0.00039673	1.614
16:09:58	300.00	-80947.48	3	0.0141907	0.00039673	1.614
16:10:03	300.00	-80794.54	3	0.0141907	0.00039673	1.614
16:10:08	300.00	-80644.59	3	0.0141907	0.00039673	1.614
16:10:13	300.00	-80494.58	3	0.0141907	0.00039673	1.614
16:10:18	300.00	-80341.80	3	0.0141907	0.00039673	1.614
16:10:23	300.00	-80188.78	3	0.0141907	0.00039673	1.614
16:10:28	300.00	-80039.02	3	0.0141907	0.00039673	1.614
16:10:33	300.00	-79885.91	3	0.0141907	0.00039673	1.614
