DYT048
2022-3-4LOCK-IN PARAMETERS
ADDRESS: 10
TAU: 1
SENSITIVITY: 1e-3
FREQUENCY: 7.675
AMP: 1
COUPLING: AC
LP_FILTER: 24
SYNC_FILTER: none
NOTCH_FILTER: none
ADDRESS: 2
TIME	T_PPMS(K)	 H_PPMS(Oe)	VDP_config	LIA_X(V)	LIA_Y(V)	LIA_PHASE	LIA2_X(A)	LIA2_Y(A)	LIA2_PHASE
18:08:29	299.93	0.40	1	0.00664714	0.000320436	2.772	9.18521e-08	2.03728e-09	1.29
18:08:34	299.86	0.34	2	0.0216562	0.000690464	1.83	8.70791e-08	-1.74624e-10	-0.108
18:08:39	299.74	0.42	3	0.0150376	0.000360491	1.38	8.51583e-08	-9.89537e-10	-0.654
18:08:45	299.59	0.16	1	0.00664714	0.000320436	2.772	9.18521e-08	1.97907e-09	1.266
18:08:50	299.43	0.14	2	0.0216581	0.000690464	1.83	8.70791e-08	-2.32832e-10	-0.132
18:08:55	299.26	0.20	3	0.0150376	0.000360491	1.38	8.51583e-08	-9.89537e-10	-0.654
18:09:00	299.04	0.16	1	0.00664905	0.000320436	2.766	9.18521e-08	1.97907e-09	1.266
18:09:05	298.84	0.16	2	0.02166	0.000688557	1.824	8.70791e-08	-2.32832e-10	-0.132
18:09:10	298.62	0.20	3	0.0150414	0.000358583	1.368	8.51583e-08	-9.89537e-10	-0.63
18:09:15	298.41	0.14	1	0.00665095	0.000320436	2.766	9.18521e-08	2.03728e-09	1.29
18:09:20	298.18	0.12	2	0.0216676	0.000688557	1.824	8.70791e-08	-2.32832e-10	-0.132
18:09:25	297.93	0.14	3	0.015049	0.000358583	1.368	8.51583e-08	-9.89537e-10	-0.654
18:09:30	297.68	0.22	1	0.00665477	0.000320436	2.766	9.18521e-08	1.97907e-09	1.266
18:09:35	297.43	0.24	2	0.0216848	0.000688557	1.824	8.70209e-08	-2.32832e-10	-0.132
18:09:40	297.18	0.24	3	0.0150624	0.000358583	1.368	8.51001e-08	-9.89537e-10	-0.654
18:09:46	296.88	0.20	1	0.0066624	0.000320436	2.766	9.18521e-08	1.97907e-09	1.266
18:09:51	296.59	0.26	2	0.0217096	0.000688557	1.818	8.70209e-08	-2.32832e-10	-0.132
18:09:56	296.31	0.18	3	0.0150815	0.000356676	1.362	8.50418e-08	-9.89537e-10	-0.654
18:10:01	296.03	0.22	1	0.00667194	0.000320436	2.76	9.18521e-08	2.03728e-09	1.29
18:10:06	295.74	0.22	2	0.0217458	0.000686649	1.812	8.70209e-08	-2.32832e-10	-0.132
18:10:11	295.41	0.20	3	0.0151101	0.000356676	1.356	8.50418e-08	-9.89537e-10	-0.654
18:10:16	295.09	0.24	1	0.00668719	0.000322344	2.766	9.18521e-08	1.97907e-09	1.266
