DYT048
2022-3-6LOCK-IN PARAMETERS
ADDRESS: 10
TAU: 1
SENSITIVITY: 1e-3
FREQUENCY: 7.675
AMP: 1
COUPLING: AC
LP_FILTER: 24
SYNC_FILTER: none
NOTCH_FILTER: none
ADDRESS: 2
TIME	T_PPMS(K)	 H_PPMS(Oe)	VDP_config	LIA_X(V)	LIA_Y(V)	LIA_PHASE	LIA2_X(A)	LIA2_Y(A)	LIA2_PHASE
14:24:25	350.15	0.32	1	0.00165177	0.000131608	4.554	9.72072e-08	4.19098e-09	2.49
14:24:35	350.31	0.28	2	0.00497058	0.00037575	4.332	9.61013e-08	3.60889e-09	2.184
14:24:45	350.48	0.24	3	0.00332834	0.000244142	4.206	9.55192e-08	3.37606e-09	2.058
14:24:55	350.65	0.36	1	0.00167657	0.000131608	4.542	9.7149e-08	4.19098e-09	2.472
14:25:05	350.82	0.30	2	0.00503924	0.000381472	4.332	9.60431e-08	3.60889e-09	2.166
14:25:15	350.99	0.38	3	0.0033703	0.000247957	4.212	9.55192e-08	3.37606e-09	2.04
14:25:25	351.16	0.34	1	0.00169755	0.000133515	4.542	9.7149e-08	4.19098e-09	2.472
14:25:35	351.33	0.36	2	0.00509456	0.000383379	4.32	9.59849e-08	3.60889e-09	2.166
14:25:45	351.51	0.36	3	0.00340654	0.000249865	4.2	9.5461e-08	3.37606e-09	2.04
14:25:55	351.67	0.34	1	0.00171471	0.000133515	4.5	9.70908e-08	4.19098e-09	2.478
14:26:05	351.85	0.40	2	0.00513843	0.000385286	4.302	9.59849e-08	3.55068e-09	2.148
14:26:16	352.02	0.40	3	0.00343134	0.000249865	4.194	9.5461e-08	3.31785e-09	2.022
14:26:26	352.19	0.34	1	0.00172807	0.000135423	4.518	9.70908e-08	4.19098e-09	2.478
14:26:36	352.36	0.40	2	0.00517467	0.000389101	4.308	9.59849e-08	3.55068e-09	2.148
14:26:46	352.53	0.34	3	0.00345232	0.000251772	4.194	9.54028e-08	3.31785e-09	2.022
14:26:56	352.70	0.40	1	0.00173569	0.000135423	4.5	9.70908e-08	4.13277e-09	2.454
14:27:06	352.88	0.08	2	0.00519946	0.000391008	4.308	9.59849e-08	3.55068e-09	2.148
14:27:16	353.04	0.14	3	0.00346757	0.000251772	4.176	9.54028e-08	3.31785e-09	2.022
14:27:26	353.21	0.14	1	0.00174142	0.000135423	4.482	9.70908e-08	4.13277e-09	2.454
14:27:36	353.39	0.12	2	0.00521472	0.000391008	4.296	9.59267e-08	3.55068e-09	2.148
14:27:46	353.55	0.08	3	0.0034752	0.000251772	4.17	9.54028e-08	3.31785e-09	2.022
14:27:56	353.73	0.16	1	0.00174714	0.00013733	4.524	9.70908e-08	4.19098e-09	2.478
14:28:07	353.90	0.16	2	0.00522235	0.000392916	4.308	9.59267e-08	3.55068e-09	2.13
14:28:17	354.06	0.16	3	0.00347902	0.000251772	4.164	9.54028e-08	3.31785e-09	2.022
14:28:27	354.23	0.10	1	0.00174905	0.00013733	4.518	9.70908e-08	4.19098e-09	2.478
14:28:37	354.40	0.12	2	0.00522426	0.000392916	4.302	9.59267e-08	3.55068e-09	2.148
14:28:47	354.57	0.12	3	0.00347902	0.000251772	4.164	9.54028e-08	3.31785e-09	2.022
14:28:57	354.74	0.18	1	0.00174714	0.00013733	4.524	9.70908e-08	4.13277e-09	2.454
14:29:07	354.91	0.14	2	0.00521854	0.000391008	4.29	9.59849e-08	3.55068e-09	2.13
14:29:17	355.07	0.16	3	0.0034733	0.000251772	4.17	9.54028e-08	3.31785e-09	2.022
14:29:27	355.25	0.12	1	0.00174523	0.00013733	4.53	9.70908e-08	4.19098e-09	2.478
14:29:37	355.42	0.18	2	0.00521091	0.000391008	4.296	9.59267e-08	3.55068e-09	2.148
14:29:47	355.58	0.12	3	0.00346567	0.000251772	4.182	9.54028e-08	3.31785e-09	2.022
14:29:57	355.76	0.12	1	0.00174142	0.000135423	4.488	9.70908e-08	4.19098e-09	2.478
14:30:08	355.92	0.16	2	0.00519565	0.000389101	4.29	9.59849e-08	3.55068e-09	2.148
14:30:18	356.10	0.12	3	0.00345613	0.000251772	4.194	9.54028e-08	3.31785e-09	2.022
14:30:28	356.26	0.12	1	0.00173569	0.000135423	4.5	9.70908e-08	4.19098e-09	2.478
14:30:38	356.43	0.12	2	0.00517657	0.000389101	4.308	9.59849e-08	3.55068e-09	2.148
14:30:48	356.60	0.20	3	0.00344278	0.000249865	4.182	9.5461e-08	3.31785e-09	2.022
14:30:58	356.77	0.20	1	0.00172807	0.000135423	4.518	9.7149e-08	4.19098e-09	2.472
14:31:08	356.93	0.16	2	0.00515559	0.000387194	4.308	9.59849e-08	3.60889e-09	2.166
14:31:18	357.10	0.24	3	0.00342561	0.000249865	4.2	9.5461e-08	3.31785e-09	2.022
14:31:28	357.27	0.18	1	0.00172234	0.000135423	4.536	9.70908e-08	4.19098e-09	2.478
