time (unix), tc temp (C), tr temp (C), tr res (ohm), film res (ohm)
1644119164.3064902,25.4784393,25.29257317580395,1035.92896,-2118146.59
1644119165.4998684,25.4831199,25.29131094466682,1035.92517,-2118295.02
1644119166.695143,25.4873237,25.29090463232992,1035.92395,-2117874.38
1644119167.9382267,25.4867916,25.29403522970757,1035.93335,-2118260.0
1644119169.137438,25.4706001,25.292206829262103,1035.92786,-2118380.12
1644119170.3344004,25.4702835,25.29184048253524,1035.92676,-2118772.28
1644119171.542239,25.4733295,25.291394205363627,1035.92542,-2119023.84
1644119172.7354193,25.4831943,25.287367707133686,1035.91333,-2119169.28
1644119173.931324,25.482191,25.287287776421667,1035.91309,-2119251.3
1644119175.1249335,25.4910469,25.28850671882391,1035.91675,-2119046.95
1644119176.3473554,25.4862575,25.287530898976776,1035.91382,-2118866.69
1644119177.5374298,25.4894599,25.288749840970905,1035.91748,-2119086.74
1644119178.7269473,25.4791107,25.28749093363086,1035.9137,-2119129.98
1644119179.912725,25.4872226,25.286351920346696,1035.91028,-2119182.07
1644119181.1035852,25.4854373,25.28801714384273,1035.91528,-2119366.19
1644119182.3212597,25.4932613,25.288626614687388,1035.91711,-2119252.89
1644119183.5204508,25.4900531,25.29021523300817,1035.92188,-2119147.69
1644119184.7194045,25.4906558,25.288626614687388,1035.91711,-2119063.42
1644119185.916426,25.482006,25.288466753531708,1035.91663,-2118904.4
1644119187.1143494,25.4841022,25.285782413034276,1035.90857,-2118329.4
1644119188.3083043,25.4879989,25.287124584523994,1035.9126,-2118068.27
1644119189.5083156,25.4870033,25.290052041768625,1035.92139,-2117969.55
1644119190.7193925,25.4978046,25.28822030084781,1035.91589,-2117810.69
1644119191.9285505,25.5002326,25.288789806247372,1035.9176,-2118077.06
1644119193.1311424,25.486021,25.29082470200725,1035.92371,-2118128.93
1644119194.3216634,25.501852,25.289562467829704,1035.91992,-2117904.13
1644119195.5175965,25.501192,25.287937213202333,1035.91504,-2118291.88
1644119196.7222402,25.4927654,25.289765624402254,1035.92053,-2118576.3
1644119197.922241,25.503767,25.290621545731156,1035.9231,-2119012.17
1644119199.1282194,25.503767,25.286188728238507,1035.90979,-2119401.01
1644119200.3258257,25.5063533,25.285702482147773,1035.90833,-2119673.82
1644119201.5394406,25.508356,25.285822378474382,1035.90869,-2119403.68
1644119202.7278848,25.5123672,25.28907622399885,1035.91846,-2119343.69
1644119203.9429238,25.5065174,25.288749840970905,1035.91748,-2119386.25
1644119205.1459823,25.4998741,25.288913032503107,1035.91797,-2119107.47
1644119206.3322356,25.5174655,25.2867982006184,1035.91162,-2119494.39
1644119207.538399,25.5175228,25.28590563980067,1035.90894,-2119705.24
1644119208.7454698,25.5186176,25.289888850492293,1035.9209,-2119948.77
1644119209.9534423,25.5177841,25.28797717852362,1035.91516,-2120139.76
1644119211.159077,25.5235881,25.288789806247372,1035.9176,-2120320.01
1644119212.3634067,25.522768,25.28594560523383,1035.90906,-2120729.07
1644119213.5653563,25.5253849,25.287407672486438,1035.91345,-2120391.99
