f,v,x,y,r,theta
10.0,0.0,-6.55014e-07,2.9104e-10,6.54956e-07,179.97
10.0,0.1111111111111111,-1.0815e-07,-1.74624e-10,1.08092e-07,-179.91
10.0,0.2222222222222222,-2.18512e-07,5.82081e-11,2.18454e-07,179.982
10.0,0.3333333333333333,-3.26489e-07,2.32832e-10,3.2643e-07,179.952
10.0,0.4444444444444444,-4.36559e-07,2.32832e-10,4.36501e-07,179.97
10.0,0.5555555555555556,-5.46981e-07,2.9104e-10,5.46923e-07,179.97
10.0,0.6666666666666666,-6.55073e-07,2.9104e-10,6.55014e-07,179.97
10.0,0.7777777777777777,-7.65085e-07,4.07455e-10,7.65027e-07,179.97
10.0,0.8888888888888888,-8.73351e-07,4.65665e-10,8.73293e-07,179.97
10.0,1.0,-9.83426e-07,4.65665e-10,9.83367e-07,179.97
120.0,0.0,-4.71485e-09,4.02217e-08,4.05128e-08,96.66
120.0,0.1111111111111111,-5.23873e-10,4.42381e-09,4.48202e-09,95.964
120.0,0.2222222222222222,-9.89537e-10,8.96404e-09,9.02224e-09,95.922
120.0,0.3333333333333333,-1.4552e-09,1.3446e-08,1.35042e-08,95.934
120.0,0.4444444444444444,-1.92087e-09,1.79863e-08,1.80445e-08,96.024
120.0,0.5555555555555556,-2.44474e-09,2.24683e-08,2.25847e-08,96.174
120.0,0.6666666666666666,-2.9686e-09,2.68921e-08,2.70667e-08,96.216
120.0,0.7777777777777777,-3.49247e-09,3.13742e-08,3.1607e-08,96.294
120.0,0.8888888888888888,-4.07456e-09,3.57979e-08,3.60308e-08,96.474
120.0,1.0,-4.71485e-09,4.02799e-08,4.05128e-08,96.654
230.0,0.0,-9.64275e-07,-1.3481e-07,9.73589e-07,-172.044
230.0,0.1111111111111111,-1.06171e-07,-1.4843e-08,1.07161e-07,-172.044
230.0,0.2222222222222222,-2.14147e-07,-2.99772e-08,2.16184e-07,-172.044
230.0,0.3333333333333333,-3.20202e-07,-4.48201e-08,3.23229e-07,-172.044
230.0,0.4444444444444444,-4.28119e-07,-6.00126e-08,4.32252e-07,-172.026
230.0,0.5555555555555556,-5.36387e-07,-7.51465e-08,5.41626e-07,-172.026
230.0,0.6666666666666666,-6.42383e-07,-9.00477e-08,6.48553e-07,-172.026
230.0,0.7777777777777777,-7.50417e-07,-1.05007e-07,7.57693e-07,-172.038
230.0,0.8888888888888888,-8.56529e-07,-1.19734e-07,8.64795e-07,-172.044
230.0,1.0,-9.64508e-07,-1.34868e-07,9.73821e-07,-172.044
340.0,0.0,-9.77663e-07,-7.49137e-08,9.80399e-07,-175.62
340.0,0.1111111111111111,-1.07626e-07,-8.26554e-09,1.07859e-07,-175.626
340.0,0.2222222222222222,-2.17057e-07,-1.66475e-08,2.17639e-07,-175.62
340.0,0.3333333333333333,-3.2451e-07,-2.4913e-08,3.25441e-07,-175.62
340.0,0.4444444444444444,-4.33998e-07,-3.3295e-08,4.3522e-07,-175.62
340.0,0.5555555555555556,-5.43721e-07,-4.16769e-08,5.45293e-07,-175.62
340.0,0.6666666666666666,-6.51115e-07,-4.98842e-08,6.52977e-07,-175.62
340.0,0.7777777777777777,-7.60545e-07,-5.82661e-08,7.62757e-07,-175.62
340.0,0.8888888888888888,-8.68113e-07,-6.65318e-08,8.70616e-07,-175.62
340.0,1.0,-9.77605e-07,-7.49719e-08,9.80399e-07,-175.62
450.0,0.0,-9.80632e-07,-5.16886e-08,9.81971e-07,-176.988
450.0,0.1111111111111111,-1.07976e-07,-5.70438e-09,1.08092e-07,-176.976
