f,v,x,y,r,theta
10.0,0.0,-8.62001e-07,-9.89537e-10,8.61943e-07,-179.934
10.0,0.0020689655172413794,-8.61943e-07,-9.89537e-10,8.61884e-07,-179.94
10.0,0.004137931034482759,-5.23289e-08,5.82081e-11,5.22707e-08,179.928
10.0,0.0062068965517241385,-7.85808e-08,-1.74624e-10,7.85226e-08,-179.904
10.0,0.008275862068965517,-1.046e-07,-1.74624e-10,1.04541e-07,-179.928
10.0,0.010344827586206896,-1.30794e-07,-1.74624e-10,1.30735e-07,-179.928
10.0,0.012413793103448277,-1.56929e-07,-1.74624e-10,1.56871e-07,-179.94
10.0,0.014482758620689656,-1.83006e-07,-2.32832e-10,1.82948e-07,-179.94
10.0,0.016551724137931035,-2.09199e-07,-2.9104e-10,2.09141e-07,-179.934
10.0,0.018620689655172416,-2.35334e-07,-2.9104e-10,2.35276e-07,-179.934
10.0,0.020689655172413793,-2.61529e-07,-3.49248e-10,2.61471e-07,-179.934
10.0,0.022758620689655173,-2.87664e-07,-3.49248e-10,2.87606e-07,-179.94
10.0,0.024827586206896554,-3.13858e-07,-4.65665e-10,3.13799e-07,-179.922
10.0,0.02689655172413793,-3.39818e-07,-4.07455e-10,3.3976e-07,-179.94
10.0,0.028965517241379312,-3.65953e-07,-4.07455e-10,3.65895e-07,-179.94
10.0,0.03103448275862069,-3.92089e-07,-4.65665e-10,3.9203e-07,-179.94
10.0,0.03310344827586207,-4.18049e-07,-5.23873e-10,4.17991e-07,-179.934
10.0,0.03517241379310345,-4.44243e-07,-5.23873e-10,4.44184e-07,-179.94
10.0,0.03724137931034483,-4.70436e-07,-5.23873e-10,4.70378e-07,-179.94
10.0,0.039310344827586205,-4.96457e-07,-5.8208e-10,4.96399e-07,-179.934
10.0,0.041379310344827586,-5.22592e-07,-5.8208e-10,5.22534e-07,-179.94
10.0,0.043448275862068966,-5.48727e-07,-6.40288e-10,5.48669e-07,-179.934
10.0,0.04551724137931035,-6.00998e-07,-7.56703e-10,6.0094e-07,-179.934
10.0,0.04758620689655173,-6.27191e-07,-7.56703e-10,6.27133e-07,-179.934
10.0,0.04965517241379311,-6.53385e-07,-7.56703e-10,6.53326e-07,-179.934
10.0,0.05172413793103448,-6.79403e-07,-8.14911e-10,6.79345e-07,-179.934
10.0,0.05379310344827586,-7.05539e-07,-8.73118e-10,7.0548e-07,-179.928
10.0,0.05586206896551724,-7.31732e-07,-8.73118e-10,7.31674e-07,-179.934
10.0,0.057931034482758624,-7.57867e-07,-8.14911e-10,7.57809e-07,-179.94
10.0,0.06,-7.83886e-07,-8.73118e-10,7.83828e-07,-179.94
20.0,0.0,-7.83537e-07,1.24565e-08,7.83595e-07,179.088
20.0,0.0020689655172413794,-7.83537e-07,1.24565e-08,7.83595e-07,179.088
20.0,0.004137931034482759,-5.23871e-08,8.14911e-10,5.23289e-08,179.088
20.0,0.0062068965517241385,-7.84644e-08,1.22237e-09,7.84062e-08,179.1
20.0,0.008275862068965517,-1.046e-07,1.62982e-09,1.04541e-07,179.088
20.0,0.010344827586206896,-1.30677e-07,2.03728e-09,1.30619e-07,179.094
20.0,0.012413793103448277,-1.56812e-07,2.44474e-09,1.56812e-07,179.088
20.0,0.014482758620689656,-1.82948e-07,2.85219e-09,1.82889e-07,179.094
20.0,0.016551724137931035,-2.09141e-07,3.31785e-09,2.09141e-07,179.088
20.0,0.018620689655172416,-2.35218e-07,3.72532e-09,2.35218e-07,179.082
