f,v,x,y,r,theta
10.0,0.0,-8.99545e-07,-4.59843e-09,8.99487e-07,-179.712
10.0,0.03103448275862069,-3.02682e-08,-1.74624e-10,3.021e-08,-179.682
10.0,0.06206896551724138,-6.20498e-08,-3.49248e-10,6.19916e-08,-179.694
10.0,0.09310344827586206,-9.2085e-08,-5.23873e-10,9.20268e-08,-179.712
10.0,0.12413793103448276,-1.24041e-07,-5.8208e-10,1.23983e-07,-179.736
10.0,0.15517241379310345,-1.5396e-07,-8.14911e-10,1.53902e-07,-179.7
10.0,0.18620689655172412,-1.85916e-07,-9.89537e-10,1.85858e-07,-179.712
10.0,0.21724137931034482,-2.15893e-07,-1.10595e-09,2.15835e-07,-179.706
10.0,0.2482758620689655,-2.4785e-07,-1.28058e-09,2.47792e-07,-179.706
10.0,0.2793103448275862,-2.77827e-07,-1.4552e-09,2.77769e-07,-179.712
10.0,0.3103448275862069,-3.09783e-07,-1.57161e-09,3.09725e-07,-179.712
10.0,0.3413793103448276,-3.3976e-07,-1.74624e-09,3.39702e-07,-179.706
10.0,0.37241379310344824,-3.71658e-07,-1.92087e-09,3.716e-07,-179.706
10.0,0.40344827586206894,-4.01635e-07,-2.03728e-09,4.01576e-07,-179.712
10.0,0.43448275862068964,-4.33591e-07,-2.21191e-09,4.33532e-07,-179.712
10.0,0.46551724137931033,-4.65547e-07,-2.38653e-09,4.65488e-07,-179.712
10.0,0.496551724137931,-4.95525e-07,-2.56115e-09,4.95467e-07,-179.706
10.0,0.5275862068965517,-5.27772e-07,-2.73577e-09,5.27714e-07,-179.706
10.0,0.5586206896551724,-5.57691e-07,-2.85219e-09,5.57633e-07,-179.712
10.0,0.5896551724137931,-5.89705e-07,-3.02681e-09,5.89647e-07,-179.712
10.0,0.6206896551724138,-6.19682e-07,-3.20144e-09,6.19624e-07,-179.706
10.0,0.6517241379310345,-6.51406e-07,-3.31785e-09,6.51347e-07,-179.712
10.0,0.6827586206896552,-6.81441e-07,-3.49247e-09,6.81383e-07,-179.712
10.0,0.7137931034482758,-7.13455e-07,-3.6671e-09,7.13397e-07,-179.706
10.0,0.7448275862068965,-7.43374e-07,-3.84173e-09,7.43315e-07,-179.706
10.0,0.7758620689655172,-7.7533e-07,-3.95815e-09,7.75271e-07,-179.712
10.0,0.8068965517241379,-8.05365e-07,-4.13277e-09,8.05307e-07,-179.706
10.0,0.8379310344827586,-8.37379e-07,-4.3074e-09,8.37321e-07,-179.706
10.0,0.8689655172413793,-8.67298e-07,-4.48202e-09,8.6724e-07,-179.706
10.0,0.9,-8.99196e-07,-4.65664e-09,8.99137e-07,-179.706
20.0,0.0,-8.99196e-07,7.68347e-09,8.99137e-07,179.508
20.0,0.03103448275862069,-3.00354e-08,2.32832e-10,2.99772e-08,179.49
20.0,0.06206896551724138,-6.20498e-08,5.23873e-10,6.19916e-08,179.508
20.0,0.09310344827586206,-9.19686e-08,7.56703e-10,9.19104e-08,179.502
20.0,0.12413793103448276,-1.23983e-07,1.04775e-09,1.23925e-07,179.508
20.0,0.15517241379310345,-1.53902e-07,1.28058e-09,1.53844e-07,179.502
20.0,0.18620689655172412,-1.85858e-07,1.57161e-09,1.858e-07,179.508
20.0,0.21724137931034482,-2.15835e-07,1.86266e-09,2.15777e-07,179.502
20.0,0.2482758620689655,-2.47734e-07,2.09549e-09,2.47675e-07,179.508
20.0,0.2793103448275862,-2.77711e-07,2.38653e-09,2.77652e-07,179.508
20.0,0.3103448275862069,-3.09667e-07,2.61936e-09,3.09608e-07,179.508
20.0,0.3413793103448276,-3.39585e-07,2.9104e-09,3.39527e-07,179.508
20.0,0.37241379310344824,-3.71541e-07,3.14323e-09,3.71483e-07,179.508
20.0,0.40344827586206894,-4.0146e-07,3.43427e-09,4.01402e-07,179.508
20.0,0.43448275862068964,-4.33358e-07,3.72532e-09,4.333e-07,179.508
20.0,0.46551724137931033,-4.65314e-07,3.95815e-09,4.65314e-07,179.508
20.0,0.496551724137931,-4.95293e-07,4.24919e-09,4.95293e-07,179.508
20.0,0.5275862068965517,-5.2754e-07,4.48202e-09,5.2754e-07,179.508
