time,tc temp (C),tr temp (C),tr res (ohm),PAR124,x,y,r,theta
1645069737.5827625,27.7467517,25.801110382893093,1037.45644,6.631174,0.253054,-0.00103761,0.253054,-0.228
1645069741.2957351,27.7370796,25.78680943638106,1037.41347,6.6160235,0.253542,-0.00122071,0.253542,-0.27
1645069745.0180805,27.7425346,25.799353148878154,1037.45116,6.6233348,0.253115,-0.00115968,0.253115,-0.246
1645069748.7404473,27.7548694,25.798863918197,1037.44969,6.6439781,0.252932,-0.00097657,0.252932,-0.21
1645069752.46326,27.7572193,25.800095314520394,1037.45339,6.6213793,0.252932,-0.00103761,0.252932,-0.228
1645069756.1808627,27.7569141,25.800980587344245,1037.45605,6.6185245,0.252993,-0.000915531,0.252993,-0.204
1645069759.8771935,27.7658615,25.802481554967265,1037.46056,6.6385951,0.252932,-0.00097657,0.252932,-0.21
1645069763.6128802,27.7472076,25.80262799066691,1037.461,6.6201586,0.252932,-0.00103761,0.252932,-0.228
1645069767.3222196,27.747261,25.802654615336376,1037.46108,6.6329188,0.252932,-0.00097657,0.252932,-0.216
1645069771.0534651,27.7461223,25.80342340224687,1037.46339,6.6294336,0.252932,-0.00097657,0.252932,-0.216
1645069774.7638934,27.7685203,25.803692976685113,1037.4642,6.6194968,0.252993,-0.00097657,0.252993,-0.21
1645069778.4775002,27.7743492,25.80572975809648,1037.47032,6.6307096,0.252932,-0.00097657,0.252932,-0.216
1645069782.1990843,27.7737369,25.806977783100145,1037.47407,6.6272549,0.252932,-0.00097657,0.252932,-0.21
1645069785.9111564,27.7835979,25.80711756176709,1037.47449,6.6213698,0.252932,-0.00097657,0.252932,-0.216
1645069789.6378832,27.7915229,25.80871170227976,1037.47928,6.6208257,0.252932,-0.00097657,0.252932,-0.216
1645069793.3682268,27.7893981,25.809071132225277,1037.48036,6.6332063,0.252932,-0.00097657,0.252932,-0.216
1645069797.085311,27.7845954,25.80968682199619,1037.48221,6.6227264,0.252932,-0.000915531,0.252932,-0.204
1645069800.7993293,27.7864398,25.809929769708333,1037.48294,6.6182785,0.252932,-0.00097657,0.252932,-0.21
1645069804.502087,27.7900733,25.810448945368446,1037.4845,6.6416049,0.252871,-0.00097657,0.252871,-0.216
1645069808.2149825,27.7895393,25.81133420557415,1037.48716,6.6238937,0.252871,-0.000915531,0.252871,-0.204
1645069811.9188337,27.8003177,25.81116114727296,1037.48664,6.6314764,0.252932,-0.00103761,0.252932,-0.228
1645069815.6315064,27.8090267,25.81312136292785,1037.49253,6.6362934,0.252932,-0.00097657,0.252932,-0.21
1645069819.344435,27.801876,25.81371042500278,1037.4943,6.6124,0.252932,-0.00097657,0.252932,-0.216
1645069823.0463595,27.8042659,25.814715490264827,1037.49732,6.6302514,0.252871,-0.000915531,0.252871,-0.204
1645069826.74906,27.8143787,25.81591690751182,1037.50093,6.6423897,0.252932,-0.00097657,0.252932,-0.216
1645069830.4930894,27.8211193,25.81640945472873,1037.50241,6.6075286,0.252932,-0.00103761,0.252932,-0.228
1645069834.196316,27.8299598,25.81702513827993,1037.50426,6.6236419,0.252871,-0.00097657,0.252871,-0.21
1645069837.9094946,27.8176479,25.817833846151707,1037.50669,6.6405186,0.252993,-0.00103761,0.252993,-0.228
1645069841.6114964,27.8072109,25.818709113327564,1037.50932,6.6124544,0.252871,-0.00097657,0.252871,-0.21
1645069845.324647,27.8178234,25.818419576393765,1037.50845,6.6271014,0.252932,-0.00097657,0.252932,-0.216
1645069849.0375056,27.8129978,25.820479612527492,1037.51464,6.6247978,0.252871,-0.00097657,0.252871,-0.21
1645069852.7594657,27.8183822,25.820552828566946,1037.51486,6.6172056,0.252871,-0.00103761,0.252871,-0.228
1645069856.4734957,27.8328151,25.821438076459522,1037.51752,6.6272163,0.252871,-0.00097657,0.252871,-0.222
1645069860.1857533,27.8253746,25.8225263308491,1037.52079,6.634025,0.25281,-0.00097657,0.25281,-0.21
1645069863.8895512,27.8228702,25.823012217603562,1037.52225,6.6170663,0.252932,-0.00097657,0.252932,-0.216
1645069867.5926762,27.831911,25.82350808799752,1037.52374,6.6299252,0.252932,-0.00097657,0.252932,-0.21
1645069871.3167927,27.8419551,25.824340084542055,1037.52624,6.6419329,0.252871,-0.00097657,0.252871,-0.216
