f,v,x,y,r,theta
10.0,0.0,-6.38483e-07,9.72074e-09,6.38483e-07,179.124
10.0,0.020689655172413793,-2.13041e-08,2.9104e-10,2.12459e-08,179.1
10.0,0.041379310344827586,-4.26082e-08,6.40288e-10,4.255e-08,179.1
10.0,0.06206896551724138,-6.59497e-08,9.89537e-10,6.58915e-08,179.1
10.0,0.08275862068965517,-8.72537e-08,1.28058e-09,8.71955e-08,179.124
10.0,0.10344827586206896,-1.08383e-07,1.92087e-09,1.08325e-07,178.98
10.0,0.12413793103448276,-1.31958e-07,1.97907e-09,1.31899e-07,179.13
10.0,0.14482758620689656,-1.53203e-07,2.32832e-09,1.53145e-07,179.13
10.0,0.16551724137931034,-1.76603e-07,2.67757e-09,1.76603e-07,179.124
10.0,0.18620689655172412,-1.97907e-07,3.02681e-09,1.97849e-07,179.124
10.0,0.20689655172413793,-2.19153e-07,3.31785e-09,2.19153e-07,179.13
10.0,0.22758620689655173,-2.42611e-07,3.60889e-09,2.42553e-07,179.142
10.0,0.2482758620689655,-2.63799e-07,4.01636e-09,2.63799e-07,179.124
10.0,0.2689655172413793,-2.85103e-07,4.3074e-09,2.85045e-07,179.13
10.0,0.2896551724137931,-3.08502e-07,4.65664e-09,3.08444e-07,179.124
10.0,0.3103448275862069,-3.29748e-07,5.00589e-09,3.29748e-07,179.124
10.0,0.3310344827586207,-3.50994e-07,5.35513e-09,3.50994e-07,179.124
10.0,0.35172413793103446,-3.74393e-07,5.64617e-09,3.74393e-07,179.13
10.0,0.37241379310344824,-3.95697e-07,5.99542e-09,3.95639e-07,179.124
10.0,0.3931034482758621,-4.16943e-07,6.34466e-09,4.16943e-07,179.124
10.0,0.41379310344827586,-4.40343e-07,6.69391e-09,4.40343e-07,179.124
10.0,0.43448275862068964,-4.61589e-07,6.98495e-09,4.61589e-07,179.124
10.0,0.45517241379310347,-4.82836e-07,7.33419e-09,4.82836e-07,179.124
10.0,0.47586206896551725,-5.06236e-07,7.68347e-09,5.06236e-07,179.124
10.0,0.496551724137931,-5.27481e-07,8.03271e-09,5.2754e-07,179.124
10.0,0.5172413793103449,-5.49077e-07,8.32375e-09,5.49135e-07,179.124
10.0,0.5379310344827586,-5.72476e-07,8.73121e-09,5.72476e-07,179.124
10.0,0.5586206896551724,-5.9378e-07,9.02224e-09,5.9378e-07,179.124
10.0,0.5793103448275863,-6.15026e-07,9.31328e-09,6.15026e-07,179.13
10.0,0.6,-6.38425e-07,9.72074e-09,6.38425e-07,179.124
30.0,0.0,-6.37028e-07,3.09085e-08,6.37727e-07,177.222
30.0,0.020689655172413793,-2.13041e-08,9.89537e-10,2.12459e-08,177.216
30.0,0.041379310344827586,-4.24918e-08,2.03728e-09,4.24918e-08,177.216
30.0,0.06206896551724138,-6.58333e-08,3.14323e-09,6.58915e-08,177.216
30.0,0.08275862068965517,-8.70791e-08,4.19098e-09,8.71373e-08,177.216
30.0,0.10344827586206896,-1.08267e-07,5.23872e-09,1.08383e-07,177.216
30.0,0.12413793103448276,-1.31667e-07,6.34466e-09,1.31783e-07,177.216
30.0,0.14482758620689656,-1.52912e-07,7.3924e-09,1.52971e-07,177.216
30.0,0.16551724137931034,-1.76195e-07,8.55658e-09,1.7637e-07,177.216
30.0,0.18620689655172412,-1.97441e-07,9.54611e-09,1.97616e-07,177.228
30.0,0.20689655172413793,-2.18629e-07,1.05939e-08,2.18862e-07,177.222
30.0,0.22758620689655173,-2.42029e-07,1.16998e-08,2.42262e-07,177.222
30.0,0.2482758620689655,-2.63275e-07,1.27475e-08,2.63508e-07,177.216
30.0,0.2689655172413793,-2.84463e-07,1.37953e-08,2.84754e-07,177.222
30.0,0.2896551724137931,-3.07746e-07,1.49013e-08,3.08037e-07,177.222
30.0,0.3103448275862069,-3.2905e-07,1.5949e-08,3.29399e-07,177.216
30.0,0.3310344827586207,-3.50237e-07,1.69968e-08,3.50587e-07,177.222
30.0,0.35172413793103446,-3.7352e-07,1.81027e-08,3.73928e-07,177.222
30.0,0.37241379310344824,-3.94824e-07,1.91504e-08,3.95232e-07,177.222
30.0,0.3931034482758621,-4.16012e-07,2.01982e-08,4.16478e-07,177.222
30.0,0.41379310344827586,-4.39353e-07,2.13041e-08,4.39877e-07,177.222
