time,tc temp (C),tr temp (C),tr res (ohm),PAR124,x,y,r,theta
1645424406.4293144,0,19.068140174694868,1017.31947,2.4317994,0.0151368,-0.00262453,0.0153199,-9.606
1645424409.980638,0,19.06739778506133,1017.31726,2.3568539,0.0150757,-0.00262453,0.0153199,-9.624
1645424413.5536127,0,19.066699064706633,1017.31518,2.3238449,0.0150757,-0.00262453,0.0153199,-9.75
1645424417.1162698,0,19.065781993211733,1017.31245,2.2929482,0.0150757,-0.00262453,0.0153199,-9.624
1645424420.6857786,0,19.065123582186885,1017.31049,2.3331544,0.0150757,-0.00262453,0.0153199,-9.75
1645424424.2363467,0,19.06441478189005,1017.30838,2.361109,0.0150757,-0.00262453,0.0153199,-9.75
1645424427.816479,0,19.06380339908256,1017.30656,2.3513522,0.0150757,-0.00262453,0.0153199,-9.75
1645424431.3654976,0,19.063178578753753,1017.3047,2.3183605,0.0150757,-0.00262453,0.0153199,-9.624
1645424434.944136,0,19.061962529031554,1017.30108,2.2603468,0.0150757,-0.00262453,0.0153199,-9.624
1645424438.5121107,0,19.061079044104883,1017.29845,2.2881689,0.0150757,-0.00262453,0.0153199,-9.75
1645424442.0803394,0,19.060437425094225,1017.29654,2.3656742,0.0150757,-0.00262453,0.0153199,-9.75
1645424445.6386986,0,19.059903302026033,1017.29495,2.3718459,0.0150757,-0.00262453,0.0153199,-9.75
1645424449.1979444,0,19.059295274654605,1017.29314,2.3358409,0.0150757,-0.00262453,0.0153199,-9.624
1645424452.7574637,0,19.05852936099142,1017.29086,2.3001105,0.0150757,-0.00262453,0.0153199,-9.75
1645424456.3182104,0,19.0579314102844,1017.28908,2.3246896,0.0150757,-0.00262453,0.0153199,-9.75
1645424459.8994184,0,19.05738384824603,1017.28745,2.3725252,0.0150757,-0.00262453,0.0153199,-9.75
1645424463.461611,0,19.056708633134217,1017.28544,2.3710918,0.0150757,-0.00262453,0.0153199,-9.75
1645424467.0057082,0,19.05620810013009,1017.28395,2.3367798,0.0150757,-0.00262453,0.0153199,-9.624
1645424470.5787652,0,19.05539179387976,1017.28152,2.2899043,0.0150757,-0.00268556,0.0153199,-9.894
1645424474.1575403,0,19.054656109675694,1017.27933,2.3027334,0.0150757,-0.00268556,0.0153199,-9.894
1645424477.7260647,0,19.054011125645257,1017.27741,2.3637559,0.0150147,-0.00262453,0.0152588,-9.792
1645424481.291573,0,19.05315786463337,1017.27487,2.3713958,0.0150757,-0.00268556,0.0153199,-9.87
1645424484.8685622,0,19.052580065263523,1017.27315,2.353662,0.0151978,-0.00280763,0.015442,-10.44
1645424488.4590003,0,19.052200464262164,1017.27202,2.2980456,0.0151444,-0.00264741,0.0153657,-9.912
1645424492.0265086,0,19.051589071077952,1017.2702,2.2889044,0.0151063,-0.00247194,0.0153199,-9.198
1645424495.5955415,0,19.050802993363625,1017.26786,2.3281455,0.015133,-0.00239183,0.0153199,-8.97
1645424499.162043,0,19.050349486599433,1017.26651,2.3691968,0.0150433,-0.00268175,0.0152798,-10.098
1645424502.7377434,0,19.049734732529338,1017.26468,2.3697309,0.0151463,-0.00273706,0.0153924,-10.242
1645424506.2889183,0,19.049261069199193,1017.26327,2.3510506,0.0151482,-0.00260927,0.0153714,-9.768
1645424509.8470483,0,19.048323819563244,1017.26048,2.3064863,0.0151425,-0.00259019,0.0153618,-9.708
1645424513.4047718,0,19.04774601631212,1017.25876,2.3054912,0.0151444,-0.00259019,0.0153657,-9.702
1645424516.976497,0,19.047161493946483,1017.25702,2.363599,0.0151291,-0.00258066,0.0153466,-9.678
1645424520.5358708,0,19.046922981810308,1017.25631,2.377763,0.0151425,-0.00257112,0.015358,-9.63
1645424524.10096,0,19.046133539669007,1017.25396,2.3620252,0.0151272,-0.00258256,0.0153447,-9.684
1645424527.6651466,0,19.04561284331462,1017.25241,2.3188307,0.0151425,-0.00258447,0.0153599,-9.684
1645424531.2254946,0,19.045038397222086,1017.2507,2.2979295,0.0151311,-0.00258256,0.0153504,-9.684
1645424534.798777,0,19.04442699795304,1017.24888,2.2975656,0.0151349,-0.00258447,0.0153542,-9.684
1645424538.3487277,0,19.043687943198208,1017.24668,2.3530552,0.0151425,-0.00260164,0.0153638,-9.744
1645424541.9319193,0,19.043644271757152,1017.24655,2.3607831,0.0151291,-0.00261308,0.0153523,-9.792
