time,res,x_v,y_v,r_v,t_v,x_a,y_a,r_a,t_a
1645229346.0308151,97234.69518952312,-0.00794072,-8.16655e-08,-0.000265504,7.87359e-09,0.00794072,8.19707e-08,-178.086,174.474
1645229348.6200745,97234.69518952312,-0.00794072,-8.16655e-08,-0.000265504,7.87359e-09,0.00794072,8.19707e-08,-178.086,174.474
1645229351.2022214,97197.34771721228,-0.007937669999999999,-8.16655e-08,-0.000265504,7.87359e-09,0.00794072,8.19707e-08,-178.086,174.474
1645229353.783891,97197.34771721228,-0.007937669999999999,-8.16655e-08,-0.000265504,7.87359e-09,0.00794072,8.19707e-08,-178.086,174.474
1645229356.3622437,97234.69518952312,-0.00794072,-8.16655e-08,-0.000265504,7.87359e-09,0.00794072,8.19707e-08,-178.086,174.474
1645229358.9536576,97234.69518952312,-0.00794072,-8.16655e-08,-0.000265504,7.87359e-09,0.00794072,8.19707e-08,-178.086,174.474
1645229361.5304344,97234.69518952312,-0.00794072,-8.16655e-08,-0.000265504,7.87359e-09,0.00794072,8.19707e-08,-178.086,174.474
1645229364.1113577,97234.69518952312,-0.00794072,-8.16655e-08,-0.000268556,7.87359e-09,0.00794072,8.19707e-08,-178.074,174.474
1645229366.7173364,97234.69518952312,-0.00794072,-8.16655e-08,-0.000265504,7.87359e-09,0.00794072,8.19707e-08,-178.086,174.474
1645229369.294058,97234.69518952312,-0.00794072,-8.16655e-08,-0.000265504,7.87359e-09,0.00794072,8.19707e-08,-178.086,174.474
1645229371.8752708,97234.69518952312,-0.00794072,-8.16655e-08,-0.000265504,7.87359e-09,0.00794072,8.19707e-08,-178.086,174.474
1645229374.4502447,97234.69518952312,-0.00794072,-8.16655e-08,-0.000265504,7.87359e-09,0.00794072,8.19707e-08,-178.086,174.474
1645229377.0254939,97160.00024490146,-0.00793462,-8.16655e-08,-0.000268556,7.87359e-09,0.007937669999999999,8.20317e-08,-178.062,174.45
1645229379.6278992,97197.34771721228,-0.007937669999999999,-8.16655e-08,-0.000268556,7.87359e-09,0.007937669999999999,8.19707e-08,-178.062,174.474
1645229382.230548,97270.00349245446,-0.007937669999999999,-8.16045e-08,-0.000268556,7.87359e-09,0.00794072,8.190970000000001e-08,-178.074,174.468
1645229384.809435,97307.37888229203,-0.00794072,-8.16045e-08,-0.000268556,7.87359e-09,0.00794072,8.190970000000001e-08,-178.074,174.468
1645229387.39207,97307.37888229203,-0.00794072,-8.16045e-08,-0.000265504,7.87359e-09,0.00794072,8.190970000000001e-08,-178.086,174.468
1645229389.9753911,97307.37888229203,-0.00794072,-8.16045e-08,-0.000265504,7.87359e-09,0.00794072,8.190970000000001e-08,-178.086,174.468
1645229392.55749,97307.37888229203,-0.00794072,-8.16045e-08,-0.000265504,7.87359e-09,0.00794377,8.190970000000001e-08,-178.092,174.468
