f,v,x,y,r,theta
10.0,0.0,-5.41742e-07,7.85809e-09,5.41742e-07,179.166
10.0,0.010344827586206896,-1.7055e-08,-1.74624e-10,1.69968e-08,-179.442
10.0,0.020689655172413793,-3.59144e-08,4.65665e-10,3.58561e-08,179.202
10.0,0.03103448275862069,-5.42498e-08,7.56703e-10,5.41916e-08,179.19
10.0,0.041379310344827586,-7.23526e-08,9.89537e-10,7.22944e-08,179.178
10.0,0.05172413793103448,-9.40058e-08,1.39699e-09,9.39476e-08,179.124
10.0,0.06206896551724138,-1.11992e-07,1.62982e-09,1.11934e-07,179.166
10.0,0.07241379310344828,-1.2992e-07,1.92087e-09,1.29862e-07,179.148
10.0,0.08275862068965517,-1.47965e-07,2.21191e-09,1.47965e-07,179.124
10.0,0.09310344827586206,-1.66067e-07,2.56115e-09,1.66009e-07,179.112
10.0,0.10344827586206896,-1.83879e-07,2.50294e-09,1.83879e-07,179.208
10.0,0.11379310344827587,-2.05532e-07,3.02681e-09,2.05474e-07,179.142
10.0,0.12413793103448276,-2.23344e-07,3.43427e-09,2.23344e-07,179.112
10.0,0.13448275862068965,-2.41273e-07,3.25964e-09,2.41273e-07,179.214
10.0,0.14482758620689656,-2.59375e-07,4.01636e-09,2.59317e-07,179.106
10.0,0.15517241379310345,-2.77536e-07,4.19098e-09,2.77536e-07,179.124
10.0,0.16551724137931034,-2.99073e-07,4.48202e-09,2.99073e-07,179.13
10.0,0.17586206896551723,-3.17059e-07,4.77306e-09,3.17059e-07,179.13
10.0,0.18620689655172412,-3.35045e-07,5.06409e-09,3.35045e-07,179.136
10.0,0.19655172413793104,-3.52973e-07,5.35513e-09,3.52973e-07,179.13
10.0,0.20689655172413793,-3.70726e-07,5.64617e-09,3.70668e-07,179.124
10.0,0.21724137931034482,-3.88771e-07,5.879e-09,3.88771e-07,179.124
10.0,0.22758620689655173,-4.10424e-07,6.22825e-09,4.10366e-07,179.13
10.0,0.23793103448275862,-4.27654e-07,6.05363e-09,4.27595e-07,179.184
10.0,0.2482758620689655,-4.46047e-07,6.51929e-09,4.46047e-07,179.16
10.0,0.25862068965517243,-4.6415e-07,7.04316e-09,4.64208e-07,179.13
10.0,0.2689655172413793,-4.82079e-07,7.3924e-09,4.82079e-07,179.118
10.0,0.2793103448275862,-4.97213e-07,7.10136e-09,4.97272e-07,179.178
10.0,0.2896551724137931,-5.21544e-07,7.85809e-09,5.21544e-07,179.13
10.0,0.3,-5.39123e-07,8.26554e-09,5.39123e-07,179.118
30.0,0.0,-5.38075e-07,2.57861e-08,5.38657e-07,177.252
30.0,0.010344827586206896,-1.79863e-08,8.14911e-10,1.79863e-08,177.24
30.0,0.020689655172413793,-3.59726e-08,1.68803e-09,3.59144e-08,177.24
30.0,0.03103448275862069,-5.38423e-08,2.61936e-09,5.38423e-08,177.162
30.0,0.041379310344827586,-7.18287e-08,3.43427e-09,7.18869e-08,177.234
30.0,0.05172413793103448,-9.33073e-08,4.48202e-09,9.33655e-08,177.24
30.0,0.06206896551724138,-1.11119e-07,5.18051e-09,1.11177e-07,177.318
30.0,0.07241379310344828,-1.29106e-07,6.17004e-09,1.29222e-07,177.252
30.0,0.08275862068965517,-1.46975e-07,7.04316e-09,1.47092e-07,177.234
30.0,0.09310344827586206,-1.64787e-07,7.74168e-09,1.64903e-07,177.3
30.0,0.10344827586206896,-1.82831e-07,8.78941e-09,1.82948e-07,177.246
30.0,0.11379310344827587,-2.0431e-07,9.77894e-09,2.04484e-07,177.246
30.0,0.12413793103448276,-2.22005e-07,1.07103e-08,2.22238e-07,177.222
30.0,0.13448275862068965,-2.39992e-07,1.15252e-08,2.40225e-07,177.252
30.0,0.14482758620689656,-2.57513e-07,1.22819e-08,2.57745e-07,177.258
30.0,0.15517241379310345,-2.7544e-07,1.28639e-08,2.75673e-07,177.318
30.0,0.16551724137931034,-2.9721e-07,1.42609e-08,2.97443e-07,177.246
30.0,0.17586206896551723,-3.14963e-07,1.51341e-08,3.15313e-07,177.246
30.0,0.18620689655172412,-3.326e-07,1.5658e-08,3.32891e-07,177.3
30.0,0.19655172413793104,-3.50761e-07,1.68221e-08,3.5111e-07,177.246
30.0,0.20689655172413793,-3.6834e-07,1.7346e-08,3.68631e-07,177.294
30.0,0.21724137931034482,-3.86326e-07,1.84519e-08,3.86734e-07,177.258
30.0,0.22758620689655173,-4.06815e-07,1.94415e-08,4.07223e-07,177.258
30.0,0.23793103448275862,-4.25151e-07,2.05474e-08,4.25616e-07,177.234
30.0,0.2482758620689655,-4.4337e-07,2.13623e-08,4.43835e-07,177.24
30.0,0.25862068965517243,-4.61298e-07,2.2119e-08,4.61763e-07,177.252
30.0,0.2689655172413793,-4.7882e-07,2.27011e-08,4.79286e-07,177.282
30.0,0.2793103448275862,-4.96864e-07,2.39235e-08,4.97388e-07,177.24
30.0,0.2896551724137931,-5.18226e-07,2.4913e-08,5.18809e-07,177.246
30.0,0.3,-5.35514e-07,2.58443e-08,5.36096e-07,177.234
50.0,0.0,-5.31381e-07,4.6741e-08,5.33419e-07,174.966
50.0,0.010344827586206896,-1.69385e-08,-2.9104e-10,1.68803e-08,-179.1
50.0,0.020689655172413793,-3.4401e-08,1.51341e-09,3.4401e-08,177.39
50.0,0.03103448275862069,-5.19215e-08,3.37606e-09,5.19215e-08,176.25
50.0,0.041379310344827586,-6.9384e-08,5.29693e-09,6.95004e-08,175.626
50.0,0.05172413793103448,-9.03387e-08,8.09092e-09,9.06298e-08,174.852
50.0,0.06206896551724138,-1.08034e-07,9.72074e-09,1.08383e-07,174.834
50.0,0.07241379310344828,-1.25788e-07,1.2049e-08,1.26312e-07,174.504
50.0,0.08275862068965517,-1.43599e-07,1.43191e-08,1.44239e-07,174.3
50.0,0.09310344827586206,-1.61644e-07,1.62983e-08,1.62458e-07,174.24
50.0,0.10344827586206896,-1.79804e-07,1.82191e-08,1.80677e-07,174.198
50.0,0.11379310344827587,-2.01399e-07,2.05474e-08,2.02389e-07,174.168
50.0,0.12413793103448276,-2.20841e-07,2.18862e-08,2.21889e-07,174.33
50.0,0.13448275862068965,-2.39002e-07,2.29921e-08,2.4005e-07,174.498
50.0,0.14482758620689656,-2.5693e-07,2.43891e-08,2.58036e-07,174.57
50.0,0.15517241379310345,-2.74858e-07,2.56115e-08,2.76023e-07,174.678
50.0,0.16551724137931034,-2.95871e-07,2.71249e-08,2.97036e-07,174.762
50.0,0.17586206896551723,-3.13799e-07,2.8289e-08,3.15022e-07,174.84
50.0,0.18620689655172412,-3.31378e-07,2.96278e-08,3.32659e-07,174.888
50.0,0.19655172413793104,-3.4884e-07,3.05592e-08,3.50063e-07,174.99
50.0,0.20689655172413793,-3.66186e-07,3.18398e-08,3.67525e-07,175.026
50.0,0.21724137931034482,-3.83474e-07,3.31786e-08,3.84871e-07,175.05
50.0,0.22758620689655173,-4.04138e-07,3.47502e-08,4.05535e-07,175.08
50.0,0.23793103448275862,-4.20319e-07,3.59726e-08,4.21775e-07,175.104
50.0,0.2482758620689655,-4.38189e-07,3.81845e-08,4.39761e-07,175.014
50.0,0.25862068965517243,-4.55302e-07,4.00471e-08,4.5699e-07,174.966
50.0,0.2689655172413793,-4.7195e-07,4.34231e-08,4.7387e-07,174.744
50.0,0.2793103448275862,-4.89821e-07,4.54604e-08,4.91858e-07,174.69
50.0,0.2896551724137931,-5.11125e-07,4.79051e-08,5.13337e-07,174.642
50.0,0.3,-5.29053e-07,4.98842e-08,5.31323e-07,174.612
10.0,0.0,-5.33943e-07,8.49838e-09,5.33943e-07,179.082
10.0,0.010344827586206896,-1.78699e-08,2.32832e-10,1.78117e-08,179.142
10.0,0.020689655172413793,-3.56815e-08,4.65665e-10,3.56233e-08,179.196
10.0,0.03103448275862069,-5.36095e-08,7.56703e-10,5.35513e-08,179.142
10.0,0.041379310344827586,-7.1363e-08,9.89537e-10,7.13048e-08,179.172
10.0,0.05172413793103448,-9.27835e-08,1.39699e-09,9.27253e-08,179.136
10.0,0.06206896551724138,-1.10595e-07,1.62982e-09,1.10537e-07,179.136
10.0,0.07241379310344828,-1.28407e-07,1.92087e-09,1.28349e-07,179.136
10.0,0.08275862068965517,-1.4616e-07,2.1537e-09,1.46102e-07,179.136
10.0,0.09310344827586206,-1.63972e-07,2.44474e-09,1.63972e-07,179.124
10.0,0.10344827586206896,-1.81725e-07,2.73577e-09,1.81725e-07,179.13
10.0,0.11379310344827587,-2.03029e-07,3.02681e-09,2.02971e-07,179.136
10.0,0.12413793103448276,-2.20899e-07,3.31785e-09,2.20899e-07,179.124
10.0,0.13448275862068965,-2.38595e-07,3.60889e-09,2.38595e-07,179.13
10.0,0.14482758620689656,-2.5629e-07,3.84173e-09,2.5629e-07,179.136
10.0,0.15517241379310345,-2.74218e-07,4.13277e-09,2.74218e-07,179.136
10.0,0.16551724137931034,-2.95522e-07,4.42381e-09,2.95464e-07,179.136
10.0,0.17586206896551723,-3.12868e-07,4.88947e-09,3.1281e-07,179.094
10.0,0.18620689655172412,-3.30854e-07,5.06409e-09,3.30796e-07,179.124
10.0,0.19655172413793104,-3.48782e-07,5.23872e-09,3.48782e-07,179.136
10.0,0.20689655172413793,-3.66477e-07,5.41334e-09,3.66477e-07,179.148
10.0,0.21724137931034482,-3.84289e-07,5.82079e-09,3.84231e-07,179.13
10.0,0.22758620689655173,-4.05535e-07,6.11183e-09,4.05535e-07,179.136
10.0,0.23793103448275862,-4.2323e-07,6.34466e-09,4.2323e-07,179.136
10.0,0.2482758620689655,-4.40867e-07,6.75212e-09,4.40867e-07,179.118
10.0,0.25862068965517243,-4.58387e-07,6.81032e-09,4.58387e-07,179.148
10.0,0.2689655172413793,-4.76315e-07,7.27599e-09,4.76373e-07,179.124
10.0,0.2793103448275862,-4.93779e-07,7.3924e-09,4.93837e-07,179.142
10.0,0.2896551724137931,-5.15316e-07,7.74168e-09,5.15316e-07,179.136
10.0,0.3,-5.33069e-07,8.09092e-09,5.33069e-07,179.13
30.0,0.0,-5.31789e-07,2.54951e-08,5.32313e-07,177.252
30.0,0.010344827586206896,-1.78117e-08,8.14911e-10,1.77535e-08,177.21
30.0,0.020689655172413793,-3.55651e-08,1.68803e-09,3.55069e-08,177.264
30.0,0.03103448275862069,-5.33184e-08,2.50294e-09,5.33184e-08,177.276
30.0,0.041379310344827586,-7.09556e-08,3.37606e-09,7.09556e-08,177.258
30.0,0.05172413793103448,-9.17357e-08,4.48202e-09,9.17939e-08,177.168
30.0,0.06206896551724138,-1.09955e-07,5.29693e-09,1.10013e-07,177.24
30.0,0.07241379310344828,-1.2765e-07,6.11183e-09,1.27709e-07,177.246
30.0,0.08275862068965517,-1.45345e-07,6.98495e-09,1.45404e-07,177.24
30.0,0.09310344827586206,-1.63041e-07,7.79988e-09,1.63157e-07,177.252
30.0,0.10344827586206896,-1.80677e-07,8.61479e-09,1.80852e-07,177.252
30.0,0.11379310344827587,-2.01923e-07,9.66253e-09,2.02098e-07,177.252
30.0,0.12413793103448276,-2.19618e-07,1.05356e-08,2.19851e-07,177.246
30.0,0.13448275862068965,-2.37255e-07,1.13506e-08,2.37488e-07,177.252
30.0,0.14482758620689656,-2.5466e-07,1.19908e-08,2.54893e-07,177.3
30.0,0.15517241379310345,-2.72588e-07,1.30968e-08,2.72879e-07,177.252
30.0,0.16551724137931034,-2.93776e-07,1.40863e-08,2.94009e-07,177.246
30.0,0.17586206896551723,-3.11122e-07,1.51341e-08,3.11471e-07,177.21
30.0,0.18620689655172412,-3.28933e-07,1.5949e-08,3.29283e-07,177.222
30.0,0.19655172413793104,-3.46628e-07,1.66475e-08,3.46978e-07,177.24
30.0,0.20689655172413793,-3.64382e-07,1.74624e-08,3.64731e-07,177.252
30.0,0.21724137931034482,-3.81087e-07,1.80445e-08,3.81437e-07,177.282
30.0,0.22758620689655173,-4.03148e-07,1.93251e-08,4.03556e-07,177.252
30.0,0.23793103448275862,-4.20494e-07,1.99653e-08,4.20901e-07,177.282
30.0,0.2482758620689655,-4.38422e-07,2.10131e-08,4.38829e-07,177.252
30.0,0.25862068965517243,-4.56001e-07,2.18862e-08,4.56466e-07,177.252
30.0,0.2689655172413793,-4.73463e-07,2.28757e-08,4.73987e-07,177.228
30.0,0.2793103448275862,-4.91218e-07,2.35742e-08,4.91742e-07,177.252
30.0,0.2896551724137931,-5.1194e-07,2.42727e-08,5.12464e-07,177.282
30.0,0.3,-5.29984e-07,2.53787e-08,5.30508e-07,177.252
50.0,0.0,-5.25735e-07,4.91857e-08,5.28005e-07,174.648
50.0,0.010344827586206896,-1.85684e-08,3.37606e-09,1.88594e-08,169.62
50.0,0.020689655172413793,-3.72531e-08,3.37606e-09,3.73113e-08,174.726
50.0,0.03103448275862069,-5.42498e-08,3.37606e-09,5.4308e-08,176.376
50.0,0.041379310344827586,-7.14795e-08,4.71485e-09,7.15959e-08,176.208
50.0,0.05172413793103448,-9.09208e-08,6.28646e-09,9.10954e-08,176.016
50.0,0.06206896551724138,-1.07685e-07,8.20734e-09,1.07917e-07,175.626
50.0,0.07241379310344828,-1.24915e-07,1.007e-08,1.25264e-07,175.38
50.0,0.08275862068965517,-1.41969e-07,1.19326e-08,1.42435e-07,175.194
50.0,0.09310344827586206,-1.5949e-07,1.39117e-08,1.60014e-07,174.984
50.0,0.10344827586206896,-1.76894e-07,1.58908e-08,1.77534e-07,174.852
50.0,0.11379310344827587,-1.98256e-07,1.94415e-08,1.99188e-07,174.39
50.0,0.12413793103448276,-2.16068e-07,2.16534e-08,2.17174e-07,174.276
50.0,0.13448275862068965,-2.33937e-07,2.3516e-08,2.35043e-07,174.258
50.0,0.14482758620689656,-2.52157e-07,2.50294e-08,2.53322e-07,174.324
50.0,0.15517241379310345,-2.7026e-07,2.66592e-08,2.71482e-07,174.36
50.0,0.16551724137931034,-2.92437e-07,2.72413e-08,2.93659e-07,174.666
50.0,0.17586206896551723,-3.10423e-07,2.84055e-08,3.11646e-07,174.768
50.0,0.18620689655172412,-3.27769e-07,2.95114e-08,3.2905e-07,174.852
50.0,0.19655172413793104,-3.45231e-07,3.05592e-08,3.46512e-07,174.942
50.0,0.20689655172413793,-3.62345e-07,3.16652e-08,3.63625e-07,175.002
50.0,0.21724137931034482,-3.79399e-07,3.28293e-08,3.80738e-07,175.05
50.0,0.22758620689655173,-3.98899e-07,3.43427e-08,4.00296e-07,175.074
50.0,0.23793103448275862,-4.15372e-07,3.638e-08,4.16943e-07,174.984
50.0,0.2482758620689655,-4.32427e-07,3.84173e-08,4.34056e-07,174.918
50.0,0.25862068965517243,-4.49598e-07,4.06292e-08,4.51344e-07,174.834
50.0,0.2689655172413793,-4.66478e-07,4.29575e-08,4.68399e-07,174.738
50.0,0.2793103448275862,-4.8435e-07,4.51694e-08,4.86387e-07,174.666
50.0,0.2896551724137931,-5.04315e-07,4.68574e-08,5.0641e-07,174.69
50.0,0.3,-5.23465e-07,4.94185e-08,5.25735e-07,174.606
10.0,0.0,-5.27831e-07,7.45064e-09,5.27831e-07,179.19
10.0,0.010344827586206896,-1.7637e-08,2.32832e-10,1.75788e-08,179.136
10.0,0.020689655172413793,-3.53323e-08,5.23873e-10,3.52741e-08,179.082
10.0,0.03103448275862069,-5.30274e-08,7.56703e-10,5.29692e-08,179.136
10.0,0.041379310344827586,-7.06063e-08,1.04775e-09,7.05481e-08,179.136
10.0,0.05172413793103448,-9.16775e-08,1.4552e-09,9.16193e-08,179.082
10.0,0.06206896551724138,-1.09431e-07,1.62982e-09,1.09373e-07,179.13
10.0,0.07241379310344828,-1.26894e-07,1.68803e-09,1.26835e-07,179.232
10.0,0.08275862068965517,-1.44589e-07,2.1537e-09,1.44589e-07,179.13
10.0,0.09310344827586206,-1.62109e-07,2.44474e-09,1.62109e-07,179.118
10.0,0.10344827586206896,-1.79804e-07,2.67757e-09,1.79746e-07,179.142
10.0,0.11379310344827587,-2.00759e-07,3.02681e-09,2.00701e-07,179.124
10.0,0.12413793103448276,-2.18047e-07,3.43427e-09,2.18047e-07,179.088
10.0,0.13448275862068965,-2.36091e-07,3.55068e-09,2.36091e-07,179.136
10.0,0.14482758620689656,-2.53729e-07,3.78353e-09,2.53671e-07,179.136
10.0,0.15517241379310345,-2.70958e-07,4.13277e-09,2.709e-07,179.124
10.0,0.16551724137931034,-2.92379e-07,4.42381e-09,2.92379e-07,179.13
10.0,0.17586206896551723,-3.09899e-07,4.59843e-09,3.09899e-07,179.148
