[[DESCRIPTION]]
IV23DC

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-5.001268E+00	-5.994553E-06	+1.982422E+00	2PT  
-4.801351E+00	-5.754197E-06	+2.193359E+00	2PT  
-4.601495E+00	-5.514508E-06	+2.410156E+00	2PT  
-4.401264E+00	-5.274132E-06	+2.632813E+00	2PT  
-4.201308E+00	-5.034210E-06	+2.858398E+00	2PT  
-4.001368E+00	-4.795076E-06	+3.077148E+00	2PT  
-3.801374E+00	-4.555133E-06	+3.297852E+00	2PT  
-3.601328E+00	-4.315184E-06	+3.516602E+00	2PT  
-3.401344E+00	-4.075658E-06	+3.735352E+00	2PT  
-3.201065E+00	-3.835432E-06	+3.955078E+00	2PT  
-3.001035E+00	-3.595875E-06	+4.173828E+00	2PT  
-2.800996E+00	-3.356282E-06	+4.393555E+00	2PT  
-2.600976E+00	-3.116663E-06	+4.615234E+00	2PT  
-2.401059E+00	-2.876560E-06	+4.840820E+00	2PT  
-2.201126E+00	-2.636838E-06	+5.059570E+00	2PT  
-2.000867E+00	-2.394441E-06	+5.279297E+00	2PT  
-1.800996E+00	-2.157793E-06	+5.499023E+00	2PT  
-1.601028E+00	-1.917387E-06	+5.717773E+00	2PT  
-1.401093E+00	-1.677520E-06	+5.937500E+00	2PT  
-1.201128E+00	-1.438231E-06	+6.155273E+00	2PT  
-1.001144E+00	-1.198083E-06	+6.382813E+00	2PT  
-8.012545E-01	-9.597360E-07	+6.832031E+00	2PT  
-6.008314E-01	-7.194099E-07	+7.041992E+00	2PT  
-4.008537E-01	-4.794939E-07	+7.262695E+00	2PT  
-2.007555E-01	-2.396724E-07	+7.480469E+00	2PT  
-7.229040E-04	+7.695070E-11	+7.698242E+00	2PT  
+1.998541E-01	+2.405763E-07	+7.917969E+00	2PT  
+3.999049E-01	+4.805936E-07	+8.137695E+00	2PT  
+6.002637E-01	+7.207541E-07	+8.356445E+00	2PT  
+8.002568E-01	+9.603448E-07	+8.576172E+00	2PT  
+1.000142E+00	+1.200270E-06	+9.022461E+00	2PT  
+1.200135E+00	+1.439815E-06	+9.234375E+00	2PT  
+1.400054E+00	+1.679435E-06	+9.452148E+00	2PT  
+1.599979E+00	+1.919380E-06	+9.673828E+00	2PT  
+1.800242E+00	+2.159512E-06	+9.897461E+00	2PT  
+2.000097E+00	+2.398675E-06	+1.012305E+01	2PT  
+2.200021E+00	+2.638246E-06	+1.034570E+01	2PT  
+2.399918E+00	+2.877493E-06	+1.056348E+01	2PT  
+2.599826E+00	+3.117438E-06	+1.078223E+01	2PT  
+2.800146E+00	+3.357479E-06	+1.100488E+01	2PT  
+3.000178E+00	+3.597261E-06	+1.122949E+01	2PT  
+3.200165E+00	+3.837115E-06	+1.145020E+01	2PT  
+3.400099E+00	+4.076458E-06	+1.166992E+01	2PT  
+3.600076E+00	+4.316280E-06	+1.189160E+01	2PT  
+3.800422E+00	+4.556330E-06	+1.211719E+01	2PT  
+4.000402E+00	+4.794335E-06	+1.234082E+01	2PT  
+4.200330E+00	+5.037143E-06	+1.256445E+01	2PT  
+4.400270E+00	+5.275105E-06	+1.278906E+01	2PT  
+4.600137E+00	+5.514371E-06	+1.300879E+01	2PT  
+4.800319E+00	+5.754841E-06	+1.323145E+01	2PT  
+5.000228E+00	+5.994496E-06	+1.345605E+01	2PT  
+5.000221E+00	+5.994416E-06	+1.367578E+01	2PT  
+4.800323E+00	+5.754738E-06	+1.389551E+01	2PT  
+4.600130E+00	+5.514694E-06	+1.411523E+01	2PT  
+4.400263E+00	+5.275102E-06	+1.433496E+01	2PT  
+4.200317E+00	+5.035428E-06	+1.455469E+01	2PT  
+4.000400E+00	+4.795792E-06	+1.478027E+01	2PT  
+3.800416E+00	+4.556064E-06	+1.500195E+01	2PT  
+3.600060E+00	+4.315876E-06	+1.522070E+01	2PT  
+3.400088E+00	+4.076172E-06	+1.544043E+01	2PT  
+3.200152E+00	+3.836547E-06	+1.566016E+01	2PT  
+3.000164E+00	+3.596806E-06	+1.587988E+01	2PT  
+2.800132E+00	+3.357064E-06	+1.610059E+01	2PT  
+2.599812E+00	+3.116947E-06	+1.632227E+01	2PT  
+2.399906E+00	+2.877433E-06	+1.654688E+01	2PT  
+2.200011E+00	+2.637753E-06	+1.676660E+01	2PT  
+2.000083E+00	+2.398122E-06	+1.698633E+01	2PT  
+1.800231E+00	+2.158559E-06	+1.720605E+01	2PT  
+1.599972E+00	+1.918620E-06	+1.742676E+01	2PT  
+1.400048E+00	+1.678947E-06	+1.764551E+01	2PT  
+1.200132E+00	+1.439298E-06	+1.786816E+01	2PT  
+1.000132E+00	+1.199555E-06	+1.809277E+01	2PT  
+8.002427E-01	+9.593709E-07	+1.854102E+01	2PT  
+6.002496E-01	+7.199470E-07	+1.875098E+01	2PT  
+3.998951E-01	+4.800854E-07	+1.897070E+01	2PT  
+1.998456E-01	+2.402710E-07	+1.919043E+01	2PT  
-1.641831E-04	+3.985511E-10	+1.940918E+01	2PT  
-2.007684E-01	-2.398940E-07	+1.963379E+01	2PT  
-4.008620E-01	-4.797363E-07	+1.985156E+01	2PT  
-6.008456E-01	-7.195788E-07	+2.007617E+01	2PT  
-8.012690E-01	-9.597171E-07	+2.029590E+01	2PT  
-1.001149E+00	-1.198545E-06	+2.074219E+01	2PT  
-1.201135E+00	-1.438682E-06	+2.095312E+01	2PT  
-1.401101E+00	-1.678295E-06	+2.117188E+01	2PT  
-1.601035E+00	-1.917789E-06	+2.139355E+01	2PT  
-1.800997E+00	-2.157178E-06	+2.162012E+01	2PT  
-2.000874E+00	-2.397130E-06	+2.184375E+01	2PT  
-2.201135E+00	-2.636555E-06	+2.206152E+01	2PT  
-2.401065E+00	-2.877074E-06	+2.228418E+01	2PT  
-2.600990E+00	-3.116381E-06	+2.251074E+01	2PT  
-2.801009E+00	-3.356107E-06	+2.273145E+01	2PT  
-3.001048E+00	-3.595792E-06	+2.295605E+01	2PT  
-3.201072E+00	-3.835608E-06	+2.317383E+01	2PT  
-3.401349E+00	-4.075554E-06	+2.339355E+01	2PT  
-3.601334E+00	-4.315189E-06	+2.361621E+01	2PT  
-3.801381E+00	-4.555015E-06	+2.384082E+01	2PT  
-4.001373E+00	-4.794692E-06	+2.406055E+01	2PT  
-4.201316E+00	-5.034330E-06	+2.428125E+01	2PT  
-4.401267E+00	-5.273919E-06	+2.450293E+01	2PT  
-4.601500E+00	-5.513878E-06	+2.472754E+01	2PT  
-4.801359E+00	-5.753425E-06	+2.494727E+01	2PT  
-5.001273E+00	-5.993031E-06	+2.517383E+01	2PT  
-5.001272E+00	-5.992962E-06	+2.539941E+01	2PT  
-4.801361E+00	-5.753259E-06	+2.562012E+01	2PT  
-4.601502E+00	-5.513652E-06	+2.584082E+01	2PT  
-4.401268E+00	-5.273624E-06	+2.606250E+01	2PT  
-4.201321E+00	-5.033940E-06	+2.628711E+01	2PT  
-4.001381E+00	-4.794244E-06	+2.650781E+01	2PT  
-3.801388E+00	-4.554448E-06	+2.672949E+01	2PT  
-3.601337E+00	-4.314967E-06	+2.695410E+01	2PT  
-3.401350E+00	-4.074816E-06	+2.717383E+01	2PT  
-3.201081E+00	-3.835170E-06	+2.739355E+01	2PT  
-3.001053E+00	-3.595555E-06	+2.761230E+01	2PT  
-2.801013E+00	-3.355666E-06	+2.783203E+01	2PT  
-2.600994E+00	-3.116045E-06	+2.805176E+01	2PT  
-2.401077E+00	-2.876161E-06	+2.827441E+01	2PT  
-2.201151E+00	-2.636554E-06	+2.849902E+01	2PT  
-2.000886E+00	-2.396522E-06	+2.871875E+01	2PT  
-1.801010E+00	-2.156986E-06	+2.893848E+01	2PT  
-1.601042E+00	-1.917330E-06	+2.916113E+01	2PT  
-1.401107E+00	-1.677670E-06	+2.938574E+01	2PT  
-1.201141E+00	-1.438029E-06	+2.960547E+01	2PT  
-1.001154E+00	-1.198287E-06	+2.983203E+01	2PT  
-8.012651E-01	-9.593226E-07	+3.028320E+01	2PT  
-6.008493E-01	-7.190752E-07	+3.049414E+01	2PT  
-4.008649E-01	-4.794622E-07	+3.071289E+01	2PT  
-2.007678E-01	-2.397512E-07	+3.093262E+01	2PT  
-7.327367E-04	+7.040751E-11	+3.115820E+01	2PT  
+1.998548E-01	+2.406312E-07	+3.138574E+01	2PT  
+3.999092E-01	+4.803227E-07	+3.159766E+01	2PT  
+6.002620E-01	+7.206115E-07	+3.181738E+01	2PT  
+8.002530E-01	+9.603928E-07	+3.203711E+01	2PT  
+1.000146E+00	+1.200265E-06	+3.248340E+01	2PT  
+1.200139E+00	+1.439789E-06	+3.269629E+01	2PT  
+1.400060E+00	+1.679350E-06	+3.292090E+01	2PT  
+1.599979E+00	+1.918821E-06	+3.314160E+01	2PT  
+1.800240E+00	+2.158967E-06	+3.336523E+01	2PT  
+2.000090E+00	+2.398451E-06	+3.358301E+01	2PT  
+2.200015E+00	+2.638105E-06	+3.380371E+01	2PT  
+2.399912E+00	+2.877715E-06	+3.402246E+01	2PT  
+2.599823E+00	+3.117295E-06	+3.424219E+01	2PT  
+2.800146E+00	+3.357378E-06	+3.446484E+01	2PT  
