time,tc temp (C),tr temp (C),tr res (ohm),PAR124,x,y,r,theta
1645859684.366431,0,9.810072348034884,989.936632,5.4924154,0.187196,-0.101197,0.21277,-28.392
1645859687.917062,0,9.824464531819972,989.978925,5.483591,0.187501,-0.100892,0.212892,-28.272
1645859691.4633784,0,9.85874828663048,990.079675,5.476571,0.188111,-0.103516,0.214723,-28.806
1645859695.0260453,0,9.91307826932915,990.239345,5.4713139,0.18805,-0.10315,0.214417,-28.734
1645859698.576839,0,9.987299166301801,990.457492,5.4681348,0.186524,-0.101075,0.212159,-28.446
1645859702.1405568,0,10.078674190959008,990.726089,5.4673581,0.186891,-0.101502,0.212647,-28.494
1645859705.6822054,0,10.186790624183894,991.043942,5.4692554,0.186707,-0.105958,0.214723,-29.562
1645859709.2336295,0,10.30865645125539,991.402275,5.4616699,0.132325,-0.0680547,0.148805,-27.204
1645859712.7796004,0,10.44673161649101,991.808344,5.4747362,0.166139,-0.0867925,0.18744,-27.57
1645859716.3142037,0,10.594987313732048,992.244441,5.482902,0.184266,-0.0993657,0.209352,-28.32
1645859719.8683512,0,10.753118110271974,992.709686,5.4913029,0.18628,-0.100953,0.211854,-28.446
1645859723.404291,0,10.921448017329858,993.205052,5.5008473,0.185975,-0.101319,0.211732,-28.56
1645859726.9595635,0,11.095446215270664,993.717222,5.5123424,0.184327,-0.101014,0.210206,-28.716
1645859730.509384,0,11.277158710976348,994.252233,5.5264377,0.185975,-0.100464,0.211366,-28.368
1645859734.0481415,0,11.464060438417821,994.802665,5.5402092,0.181214,-0.0974126,0.20575,-28.248
1645859737.6204803,0,11.650605265776793,995.35219,5.5560178,0.182618,-0.0976567,0.207093,-28.122
1645859741.168936,0,11.83672798224613,995.900615,5.572669,0.19098,-0.100403,0.21576,-27.714
1645859744.7194195,0,12.01606094037037,996.429169,5.5891203,0.187501,-0.101075,0.213014,-28.32
1645859748.2603443,0,12.186531537502008,996.931726,5.6073327,0.186036,-0.101258,0.211793,-28.548
1645859751.8250487,0,12.346680925557495,997.403965,5.6253676,0.186219,-0.0996709,0.211183,-28.152
1645859755.3936334,0,12.489815326499938,997.826121,5.6428375,0.186402,-0.100464,0.211732,-28.314
1645859758.947965,0,12.616240220141668,998.199065,5.6610336,0.186463,-0.10315,0.213075,-28.932
1645859762.502038,0,12.718458624039906,998.50065,5.677289,0.185792,-0.102845,0.212342,-28.95
1645859766.0610044,0,12.79797064056889,998.735272,5.6924915,0.186524,-0.10138,0.21222,-28.512
1645859769.587237,0,12.84945477508273,998.887204,5.7075867,0.187013,-0.100953,0.212464,-28.344
1645859773.156676,0,12.875256101275586,998.963349,5.7199721,0.186952,-0.101014,0.212464,-28.368
1645859776.716404,0,12.876374267539585,998.966649,5.7306051,0.186891,-0.101014,0.212403,-28.386
1645859780.267127,0,12.855058667294472,998.903742,5.7389402,0.186646,-0.101075,0.21222,-28.434
1645859783.8177843,0,12.813596006553182,998.781382,5.7449913,0.186402,-0.101136,0.212037,-28.464
1645859787.367562,0,12.754772567551141,998.607801,5.7489161,0.186646,-0.10138,0.212342,-28.494
1645859790.9370122,0,12.678923664817214,998.384001,5.7506084,0.187135,-0.100831,0.212586,-28.308
1645859794.4923577,0,12.589649883105556,998.12062,5.749958,0.187074,-0.101136,0.212647,-28.392
1645859798.0367382,0,12.48742081236647,997.819058,5.747538,0.186769,-0.101197,0.212403,-28.446
1645859801.5905497,0,12.374858387214756,997.487064,5.7436275,0.186769,-0.10199,0.21277,-28.62
1645859805.1453948,0,12.252360265469104,997.125825,5.7371773,0.187135,-0.100831,0.212586,-28.302
1645859808.6879764,0,12.12152165664111,996.740059,5.7287325,0.186585,-0.100708,0.211976,-28.344
1645859812.2631266,0,11.981261144508196,996.326592,5.7191486,0.186219,-0.100831,0.211732,-28.422
1645859815.8218746,0,11.834999759932636,995.895522,5.7087163,0.186585,-0.100281,0.211854,-28.248
1645859819.3821259,0,11.68525490819548,995.454277,5.700747,0.166688,-0.0891118,0.189027,-28.122
1645859822.9420674,0,11.52859667769816,994.99276,5.6804819,0.175172,-0.0949101,0.19922,-28.428
1645859826.4971483,0,11.368781091810039,994.522046,5.6720829,0.175111,-0.091248,0.19745,-27.516
1645859830.0466948,0,11.206229546354617,994.043382,5.6557316,0.176637,-0.0955815,0.200807,-28.41
1645859833.605508,0,11.040250890677425,993.554739,5.6390614,0.18506,-0.100281,0.21045,-28.446
1645859837.16408,0,10.872130541059766,993.059907,5.62223,0.18274,-0.104126,0.210328,-29.658
1645859840.719667,0,10.705118544653933,992.568453,5.6062264,0.185121,-0.100831,0.210816,-28.572
1645859844.2962995,0,10.534139846991657,992.065446,5.5884466,0.186585,-0.101502,0.212403,-28.53
1645859847.860525,0,10.3654570927865,991.569312,5.5712432,0.186524,-0.100953,0.212037,-28.416
1645859851.4261417,0,10.195552405400761,991.069703,5.5535221,0.186769,-0.101014,0.212342,-28.398
1645859855.0041506,0,10.02586972722351,990.570866,5.5353207,0.18683,-0.100953,0.212342,-28.368
1645859858.5808115,0,9.857814565387942,990.076931,5.5160794,0.186036,-0.101014,0.211671,-28.488
1645859862.155929,0,9.689268326223447,989.58167,5.49793,0.186707,-0.101441,0.212525,-28.506
1645859865.7059648,0,9.523612236664517,989.095016,5.4797182,0.186891,-0.101014,0.212403,-28.38
1645859869.2625196,0,9.360852746516969,988.616982,5.4614591,0.186707,-0.101136,0.212342,-28.434
1645859872.8478599,0,9.198707150046992,988.14086,5.4432983,0.186646,-0.101136,0.212281,-28.434
1645859876.3784475,0,9.038404327170833,987.670256,5.425898,0.188966,-0.102784,0.215089,-28.524
1645859879.9433494,0,8.882705228727131,987.213269,5.4067516,0.191407,-0.104065,0.217835,-28.518
1645859883.4856863,0,8.726864595363812,986.755967,5.3882141,0.188172,-0.101746,0.213868,-28.386
1645859887.0331242,0,8.575009198451522,986.310456,5.3705382,0.187074,-0.100953,0.212525,-28.338
1645859890.5917504,0,8.424003356618423,985.867532,5.3528971,0.186097,-0.101075,0.211732,-28.5
1645859894.130359,0,8.276965034238032,985.436336,5.3348212,0.186707,-0.101197,0.212342,-28.446
1645859897.6723142,0,8.131519192512071,985.009898,5.3176541,0.186891,-0.101136,0.212464,-28.416
1645859901.22211,0,7.990468200466208,984.596429,5.3008766,0.187135,-0.101441,0.212831,-28.446
1645859904.7709455,0,7.851309293199299,984.188587,5.2846693,0.187379,-0.102051,0.21338,-28.56
1645859908.3143234,0,7.715017676922729,983.789226,5.2680377,0.187013,-0.101319,0.212647,-28.44
1645859911.8727124,0,7.580806097442634,983.396035,5.2521543,0.187135,-0.100953,0.212586,-28.338
1645859915.4305708,0,7.449524545602623,983.0115,5.2366414,0.187135,-0.101075,0.212708,-28.356
1645859918.9737346,0,7.322829885251389,982.640468,5.220076,0.18683,-0.101014,0.212342,-28.392
1645859922.5190847,0,7.197145073477395,982.272459,5.2048912,0.186707,-0.101258,0.212403,-28.458
1645859926.0881786,0,7.074920720931317,981.914645,5.1902365,0.187013,-0.101441,0.212708,-28.458
1645859929.640102,0,6.955662853053933,981.565575,5.175908,0.187013,-0.10138,0.212708,-28.446
1645859933.196093,0,6.837436044519739,981.219581,5.1618723,0.186341,-0.103882,0.21338,-29.13
1645859936.7427204,0,6.7247072717822745,980.889731,5.1488065,0.189576,-0.10962,0.218934,-30.03
1645859940.3196664,0,6.613464963732728,980.564282,5.1331639,0.185853,-0.104798,0.213319,-29.418
1645859943.8505163,0,6.504799430072695,980.246421,5.120131,0.186402,-0.101502,0.212281,-28.56
1645859947.408988,0,6.400268037640712,979.940699,5.1076359,0.186952,-0.101624,0.212708,-28.512
1645859950.967229,0,6.2962112624991935,979.63641,5.0925569,0.178529,-0.101807,0.205506,-29.682
1645859954.5157926,0,6.195401218983807,979.341658,5.08114,0.177979,-0.10138,0.204835,-29.646
1645859958.0738473,0,6.098559049528103,979.058547,5.0677323,0.181458,-0.0950322,0.204774,-27.63
1645859961.6319501,0,6.002621554083476,978.778119,5.0569477,0.180848,-0.0982671,0.205812,-28.512
1645859965.1903753,0,5.909152863053154,978.504944,5.0462536,0.185426,-0.101014,0.211122,-28.56
1645859968.7487435,0,5.8192613909145505,978.242258,5.0354175,0.186646,-0.101014,0.21222,-28.416
1645859972.29726,0,5.7307864132550845,977.983744,5.0246052,0.186707,-0.101136,0.212281,-28.434
1645859975.856054,0,5.64476702432441,977.732436,5.0138568,0.187013,-0.101502,0.21277,-28.482
1645859979.3949497,0,5.5612780686719505,977.48855,5.0027022,0.186524,-0.101685,0.212403,-28.59
1645859982.943646,0,5.4791970703577935,977.248805,4.9930005,0.18683,-0.101624,0.212647,-28.53
1645859986.4775312,0,5.399864093418434,977.017113,4.9836907,0.18744,-0.101685,0.213258,-28.464
1645859990.018817,0,5.323185886888208,976.793199,4.9737257,0.187745,-0.101868,0.213624,-28.482
1645859993.5778248,0,5.248298161917973,976.574537,4.9644427,0.187135,-0.101624,0.212953,-28.488
1645859997.134607,0,5.1740844799561065,976.357866,4.9549384,0.186891,-0.10138,0.212586,-28.464
1645860000.6903987,0,5.102984501371075,976.150307,4.946177,0.186769,-0.101563,0.212586,-28.518
1645860004.2495315,0,5.032961359650725,975.945912,4.9371104,0.187074,-0.101014,0.212586,-28.356
1645860007.7954755,0,4.96483907626592,975.747085,4.9288034,0.187074,-0.10138,0.21277,-28.446
1645860011.3297899,0,4.898978347502501,975.554877,4.9208741,0.187135,-0.101624,0.212953,-28.482
1645860014.887651,0,4.835214282524662,975.368805,4.9125947,0.186769,-0.101197,0.212403,-28.44
1645860018.4321396,0,4.771671341506923,975.183395,4.9051117,0.187318,-0.10138,0.212953,-28.416
1645860021.9778051,0,4.71013228728694,975.003848,4.8976225,0.188172,-0.101258,0.213685,-28.272
1645860025.546676,0,4.650857479284175,974.830922,4.8906784,0.187989,-0.10376,0.214723,-28.89
1645860029.097188,0,4.591804634913585,974.658658,4.886887,0.195191,-0.11377,0.225892,-30.234
1645860032.6563895,0,4.534628388980915,974.491882,4.8751668,0.183473,-0.100037,0.208985,-28.584
1645860036.2007902,0,4.47907547168299,974.329854,4.8684315,0.184022,-0.104493,0.21161,-29.58
1645860039.7438886,0,4.424763247667919,974.171457,4.8616967,0.186524,-0.102173,0.212647,-28.71
1645860043.2908354,0,4.3716405648332195,974.016541,4.8552908,0.187257,-0.101746,0.213075,-28.5
1645860046.8412697,0,4.319196694926431,973.863616,4.848463,0.187013,-0.101685,0.212892,-28.512
1645860050.3806694,0,4.268998161133596,973.717249,4.8421831,0.186891,-0.101441,0.212647,-28.482
1645860053.9245675,0,4.219799326687302,973.573807,4.835968,0.187135,-0.101807,0.213014,-28.536
1645860057.497101,0,4.170917441670832,973.431299,4.8302431,0.186769,-0.101746,0.212647,-28.566
1645860061.071174,0,4.123271594485612,973.292404,4.8242573,0.187013,-0.101807,0.212892,-28.56
1645860064.6405165,0,4.076510389839972,973.156097,4.8178324,0.187074,-0.10199,0.213014,-28.584
1645860068.2091155,0,4.0307235507853525,973.022639,4.8126783,0.18744,-0.101563,0.213197,-28.434
1645860071.785722,0,3.9860063097053815,972.892307,4.8074393,0.187318,-0.101624,0.213075,-28.47
1645860075.3531811,0,3.942072009603469,972.764265,4.8019766,0.187318,-0.101868,0.213258,-28.524
1645860078.9386015,0,3.899061833998365,972.638924,4.7964472,0.186769,-0.101807,0.212708,-28.59
1645860082.5180352,0,3.857124547470304,972.516717,4.7914195,0.186402,-0.101746,0.212342,-28.62
1645860086.0757596,0,3.8152952735035983,972.394832,4.786201,0.187135,-0.101746,0.213014,-28.512
1645860089.612502,0,3.7754184766251235,972.278643,4.7811393,0.186219,-0.102356,0.212525,-28.782
1645860093.1663096,0,3.7359990141756287,972.163793,4.7769618,0.186952,-0.10199,0.212953,-28.602
1645860096.718546,0,3.697196919391361,972.050748,4.7718544,0.187074,-0.101563,0.212831,-28.488
1645860100.2675784,0,3.6595903653840134,971.941192,4.7669644,0.186707,-0.10138,0.212403,-28.494
1645860103.813714,0,3.6218256057853875,971.831181,4.7625551,0.186524,-0.10199,0.212525,-28.656
1645860107.3528512,0,3.5851083165832915,971.724227,4.7580661,0.185914,-0.099793,0.210938,-28.218
1645860110.9130397,0,3.549375146294036,971.620145,4.7536177,0.185731,-0.102295,0.212037,-28.83
1645860114.4569502,0,3.513957755341027,971.516988,4.7496128,0.186891,-0.101807,0.21277,-28.566
1645860118.0062091,0,3.479168649438279,971.415666,4.7456459,0.187562,-0.102356,0.213624,-28.602
1645860121.5757432,0,3.4453684675745633,971.317229,4.7409515,0.185609,-0.105164,0.213319,-29.526
1645860125.1273673,0,3.411320449814589,971.218075,4.7364168,0.183717,-0.104065,0.211122,-29.526
1645860128.6685512,0,3.378371413908347,971.122126,4.7327847,0.186036,-0.100831,0.211549,-28.446
1645860132.205386,0,3.345893045905672,971.027552,4.7292289,0.187135,-0.101746,0.213014,-28.524
1645860135.7591274,0,3.313989817028537,970.934657,4.7249145,0.186463,-0.102051,0.212525,-28.674
1645860139.2989116,0,3.2831927887015446,970.844987,4.7209386,0.18567,-0.0997319,0.210755,-28.224
1645860142.8431451,0,3.251097121465651,970.75154,4.7185311,0.193116,-0.101258,0.21808,-27.66
1645860146.3920238,0,3.2206820461509027,970.66299,4.7137365,0.188416,-0.101014,0.213746,-28.176
1645860149.9402044,0,3.190796709336505,970.575986,4.7101678,0.186891,-0.100037,0.211976,-28.146
1645860153.4794846,0,3.1614380868701373,970.490519,4.7065844,0.18628,-0.100037,0.211427,-28.236
1645860157.011117,0,3.131985486552576,970.404782,4.7032771,0.187501,-0.100953,0.212953,-28.29
1645860160.5743573,0,3.103195724158306,970.320978,4.6999568,0.188722,-0.104126,0.215516,-28.878
