time,res,x_v,y_v,r_v,t_v,x_a,y_a,r_a,t_a
1645225383.599623,9.838145042786759e-07,-5.00797,-5090360.0,-0.18249600000000002,286867.0,5.01102,5090360.0,-177.918,176.736
1645225386.1976457,9.832153325108637e-07,-5.00492,-5090360.0,-0.184327,292970.0,5.007359999999999,5096460.0,-177.888,176.7
1645225388.7942445,9.848586591573702e-07,-5.001259999999999,-5078150.0,-0.186158,286867.0,5.004309999999999,5078150.0,-177.876,176.73
1645225391.3975773,9.786320499582043e-07,-4.97561,-5084250.0,-0.175782,292970.0,4.97805,5084250.0,-177.984,176.694
1645225394.0115724,9.767940014424132e-07,-4.98415,-5102560.0,-0.184327,299074.0,4.9865900000000005,5102560.0,-177.888,176.592
1645225396.6248622,9.91317907285606e-07,-5.01591,-5059840.0,-0.161744,329591.0,5.017740000000001,5065940.0,-178.158,176.232
1645225399.2193766,9.818496893553754e-07,-4.98598,-5078150.0,-0.145264,329591.0,4.98781,5078150.0,-178.332,176.238
1645225401.828339,9.894968666707562e-07,-5.00065,-5053730.0,-0.144654,317384.0,5.001259999999999,5053730.0,-178.344,176.376
1645225404.4322913,9.882697424335776e-07,-4.98842,-5047630.0,-0.144654,311281.0,4.9896400000000005,5053730.0,-178.344,176.448
1645225407.0553474,9.756870455178693e-07,-4.97255,-5096460.0,-0.166017,286867.0,4.97438,5096460.0,-178.092,176.742
1645225409.6678512,9.84655309251212e-07,-5.01225,-5090360.0,-0.178834,317384.0,5.014690000000001,5096460.0,-177.96,176.406
time,res,x_v,y_v,r_v,t_v,x_a,y_a,r_a,t_a
1645225455.6884375,9.890253446749303e-07,-5.004309999999999,-5059840.0,-0.147095,292970.0,5.00553,5065940.0,-178.32,176.646
1645225458.3045163,9.751203317550405e-07,-4.97561,-5102560.0,-0.175782,299074.0,4.97805,5108670.0,-177.978,176.598
1645225460.9072645,9.827792323853125e-07,-5.014690000000001,-5102560.0,-0.17334100000000002,305177.0,5.01713,5108670.0,-178.026,176.52
1645225463.51514,9.850148123118994e-07,-5.01408,-5090360.0,-0.156251,323488.0,5.01591,5096460.0,-178.218,176.328
1645225466.11374,9.84075220839563e-07,-5.0153,-5096460.0,-0.159913,317384.0,5.017740000000001,5102560.0,-178.182,176.37
1645225468.7095242,9.83018328054937e-07,-5.01591,-5102560.0,-0.168458,311281.0,5.017740000000001,5102560.0,-178.08,176.484
1645225471.3068633,9.827792323853125e-07,-5.014690000000001,-5102560.0,-0.17212000000000002,311281.0,5.01713,5102560.0,-178.038,176.484
1645225473.9190052,9.864385110881643e-07,-5.0153,-5084250.0,-0.1709,329591.0,5.017740000000001,5090360.0,-178.05,176.286
1645225476.5326083,9.916594520596795e-07,-5.00553,-5047630.0,-0.146485,305177.0,5.00675,5053730.0,-178.326,176.526
1645225479.1385896,9.827484663546673e-07,-4.97255,-5059840.0,-0.169069,280763.0,4.97499,5059840.0,-178.056,176.754
1645225481.7463195,9.844194288179226e-07,-4.97499,-5053730.0,-0.15503,299074.0,4.97622,5059840.0,-178.218,176.562
1645225484.367277,9.839555299168443e-07,-5.014690000000001,-5096460.0,-0.17456200000000002,311281.0,5.01713,5102560.0,-178.014,176.442
time,res,x_v,y_v,r_v,t_v,x_a,y_a,r_a,t_a
1645225493.1255522,98327106.3968218,-0.049872,-5.07205e-10,-0.00145264,3.29591e-11,0.049884200000000004,5.07205e-10,-178.338,176.274
1645225495.7350507,98562843.68179543,-0.049811,-5.05373e-10,-0.00148316,3.2348799999999996e-11,0.0498293,5.05984e-10,-178.296,176.304
1645225498.352779,97757722.44006318,-0.0497622,-5.09036e-10,-0.0017822399999999998,2.80763e-11,0.0497927,5.09646e-10,-177.954,176.778
1645225500.9732058,98893149.71264084,-0.0501591,-5.07205e-10,-0.00166017,3.17384e-11,0.050183500000000006,5.07815e-10,-178.104,176.352
1645225503.588237,98086375.33147347,-0.0497499,-5.07205e-10,-0.0015808200000000001,3.11281e-11,0.0497683,5.07205e-10,-178.182,176.424
1645225506.2100425,97930646.57740428,-0.0499697,-5.10256e-10,-0.00186769,3.17384e-11,0.0499941,5.10256e-10,-177.864,176.406
1645225508.8317552,99153860.32652947,-0.0500492,-5.04763e-10,-0.00146485,3.05177e-11,0.0500675,5.05373e-10,-178.326,176.484
