f,v,x,y,r,theta
10.0,0.0,-9.58047e-07,-1.28058e-09,9.57989e-07,-179.928
10.0,0.003448275862068966,-9.57931e-07,-1.28058e-09,9.57873e-07,-179.928
10.0,0.006896551724137932,-5.13976e-08,-1.16416e-10,5.13394e-08,-179.928
10.0,0.010344827586206898,-8.55075e-08,-1.74624e-10,8.54493e-08,-179.91
10.0,0.013793103448275864,-1.19909e-07,-1.74624e-10,1.1985e-07,-179.922
10.0,0.01724137931034483,-1.36964e-07,-2.9104e-10,1.36905e-07,-179.904
10.0,0.020689655172413796,-1.71306e-07,-2.9104e-10,1.71248e-07,-179.922
10.0,0.024137931034482762,-2.05474e-07,-2.9104e-10,2.05416e-07,-179.928
10.0,0.027586206896551727,-2.39701e-07,-3.49248e-10,2.39643e-07,-179.922
10.0,0.031034482758620693,-2.56756e-07,-3.49248e-10,2.56698e-07,-179.928
10.0,0.03448275862068966,-2.90924e-07,-4.07455e-10,2.90866e-07,-179.922
10.0,0.03793103448275863,-3.2515e-07,-4.65665e-10,3.25092e-07,-179.922
10.0,0.04137931034482759,-3.42205e-07,-5.23873e-10,3.42146e-07,-179.922
10.0,0.04482758620689656,-3.76431e-07,-5.23873e-10,3.76373e-07,-179.922
10.0,0.048275862068965524,-4.10657e-07,-5.8208e-10,4.10599e-07,-179.922
10.0,0.05172413793103449,-4.44883e-07,-6.40288e-10,4.44825e-07,-179.922
10.0,0.055172413793103454,-4.61996e-07,-6.40288e-10,4.61938e-07,-179.922
10.0,0.05862068965517242,-4.96166e-07,-6.98495e-10,4.96108e-07,-179.922
10.0,0.062068965517241385,-5.30392e-07,-7.56703e-10,5.30334e-07,-179.922
10.0,0.06551724137931035,-5.64385e-07,-8.14911e-10,5.64327e-07,-179.922
10.0,0.06896551724137932,-5.81556e-07,-8.14911e-10,5.81498e-07,-179.922
10.0,0.07241379310344828,-6.15782e-07,-8.73118e-10,6.15724e-07,-179.922
10.0,0.07586206896551725,-6.4995e-07,-8.73118e-10,6.49892e-07,-179.922
10.0,0.07931034482758621,-6.67063e-07,-9.3133e-10,6.67005e-07,-179.922
10.0,0.08275862068965519,-7.0129e-07,-9.89537e-10,7.01231e-07,-179.922
10.0,0.08620689655172414,-7.35516e-07,-9.89537e-10,7.35457e-07,-179.922
10.0,0.08965517241379312,-7.69684e-07,-1.04775e-09,7.69625e-07,-179.922
