time,tc temp (C),tr temp (C),tr res (ohm),PAR124,x,y,r,theta
1645152887.3876233,0,28.079379756981297,1044.31275,3.5954263,0.217042,-0.000122071,0.217042,-0.018
1645152890.9417434,0,28.50974221885296,1045.61031,3.6096017,0.216981,-0.000122071,0.216981,-0.018
1645152894.491097,0,28.962718786336374,1046.97688,3.6120355,0.21692,-0.000122071,0.21692,-0.018
1645152898.0452375,0,29.361111737097417,1048.17948,3.6346416,0.21692,-0.000122071,0.21692,-0.018
1645152901.589156,0,29.708333934044024,1049.22815,3.6449899,0.216859,-0.000122071,0.216859,-0.018
1645152905.1480231,0,29.99508734744752,1050.09457,3.6498115,0.216798,-0.000122071,0.216798,-0.024
1645152908.6967847,0,30.23560439941057,1050.82155,3.6690359,0.216737,-0.000122071,0.216737,-0.018
1645152912.2553747,0,30.41413293434516,1051.36132,3.6801981,0.216676,-0.000122071,0.216676,-0.018
1645152915.8041668,0,30.605846192282545,1051.9411,3.6929814,0.216676,-0.000122071,0.216676,-0.018
1645152919.3628325,0,30.847153950851258,1052.67108,3.70702,0.216615,-0.000122071,0.216615,-0.018
1645152922.9015756,0,31.1460518957533,1053.57561,3.7084088,0.216554,-0.000122071,0.216554,-0.018
1645152926.459963,0,31.493259671826262,1054.6268,3.7226951,0.216554,-0.000122071,0.216554,-0.018
1645152929.99836,0,31.887527025107953,1055.82107,3.7394614,0.216493,-0.000122071,0.216493,-0.024
1645152933.5566514,0,32.31593373493651,1057.11948,3.7436165,0.216432,-0.000122071,0.216432,-0.018
1645152937.1054041,0,32.789631036436646,1058.55604,3.7710125,0.216371,-0.000122071,0.216371,-0.024
1645152940.654168,0,33.26196511662906,1059.98939,3.7784595,0.21631,-0.000122071,0.21631,-0.018
1645152944.2026997,0,33.67589343860408,1061.24626,3.7914714,0.216249,-0.000122071,0.216249,-0.024
1645152947.761557,0,34.01243110667574,1062.26866,3.8144788,0.216249,-0.000122071,0.216249,-0.018
1645152951.309999,0,34.28602423395874,1063.10018,3.8237035,0.216126,-0.000122071,0.216126,-0.018
1645152954.868462,0,34.49534868290356,1063.73658,3.8322305,0.216065,-0.000122071,0.216065,-0.018
1645152958.4168837,0,34.655975626457256,1064.22505,3.8556196,0.216004,-6.10356e-05,0.216004,-0.006
1645152961.9657588,0,34.76791725085476,1064.56553,3.8607966,0.216004,-0.000122071,0.216004,-0.018
1645152965.5081027,0,34.84480477773038,1064.79942,3.877119,0.215943,-0.000122071,0.215943,-0.024
1645152969.0669343,0,34.88519635497511,1064.9223,3.8842453,0.215882,-0.000122071,0.215882,-0.018
1645152972.615836,0,34.89880434578705,1064.9637,3.8806922,0.215882,-0.000122071,0.215882,-0.018
1645152976.164467,0,34.886373094560106,1064.92588,3.8941125,0.215821,-6.10356e-05,0.215821,-0.006
1645152979.7229683,0,34.854679355810106,1064.82946,3.894751,0.215821,-6.10356e-05,0.215821,-0.006
