f,v,x,y,r,theta
10.0,0.0,-8.06063e-07,1.23983e-08,8.06122e-07,179.118
10.0,0.020689655172413793,-2.67756e-08,4.07455e-10,2.67174e-08,179.07
10.0,0.041379310344827586,-5.37841e-08,8.14911e-10,5.37259e-08,179.112
10.0,0.06206896551724138,-8.33538e-08,1.28058e-09,8.32956e-08,179.106
10.0,0.08275862068965517,-1.10188e-07,1.68803e-09,1.10129e-07,179.118
10.0,0.10344827586206896,-1.3708e-07,2.03728e-09,1.37022e-07,179.136
10.0,0.12413793103448276,-1.66591e-07,2.56115e-09,1.66591e-07,179.118
10.0,0.14482758620689656,-1.93425e-07,3.08502e-09,1.93425e-07,179.07
10.0,0.16551724137931034,-2.23344e-07,3.49247e-09,2.23285e-07,179.1
10.0,0.18620689655172412,-2.49829e-07,3.84173e-09,2.49829e-07,179.112
10.0,0.20689655172413793,-2.76721e-07,4.24919e-09,2.76663e-07,179.118
10.0,0.22758620689655173,-3.06232e-07,4.71485e-09,3.06174e-07,179.112
10.0,0.2482758620689655,-3.33066e-07,5.1223e-09,3.33066e-07,179.118
10.0,0.2689655172413793,-3.59958e-07,5.47155e-09,3.599e-07,179.124
10.0,0.2896551724137931,-3.89469e-07,5.879e-09,3.89469e-07,179.13
10.0,0.3103448275862069,-4.16361e-07,6.40287e-09,4.16303e-07,179.112
10.0,0.3310344827586207,-4.43137e-07,6.81032e-09,4.43137e-07,179.118
10.0,0.35172413793103446,-4.72648e-07,7.27599e-09,4.72706e-07,179.112
10.0,0.37241379310344824,-4.99542e-07,7.68347e-09,4.99542e-07,179.118
10.0,0.3931034482758621,-5.26434e-07,8.09092e-09,5.26434e-07,179.118
10.0,0.41379310344827586,-5.55945e-07,8.55658e-09,5.55945e-07,179.118
10.0,0.43448275862068964,-5.82779e-07,8.96404e-09,5.82779e-07,179.118
10.0,0.45517241379310347,-6.09554e-07,9.37149e-09,6.09554e-07,179.118
10.0,0.47586206896551725,-6.39124e-07,9.77894e-09,6.39124e-07,179.118
10.0,0.496551724137931,-6.66016e-07,1.02446e-08,6.66016e-07,179.118
10.0,0.5172413793103449,-6.93257e-07,1.06521e-08,6.93257e-07,179.112
10.0,0.5379310344827586,-7.22652e-07,1.11759e-08,7.2271e-07,179.112
10.0,0.5586206896551724,-7.49602e-07,1.15834e-08,7.4966e-07,179.112
10.0,0.5793103448275863,-7.76319e-07,1.16998e-08,7.76377e-07,179.136
10.0,0.6,-8.06005e-07,1.23983e-08,8.06005e-07,179.118
30.0,0.0,-8.04317e-07,3.94068e-08,8.0519e-07,177.192
30.0,0.020689655172413793,-2.68338e-08,1.28058e-09,2.68338e-08,177.228
30.0,0.041379310344827586,-5.36677e-08,2.61936e-09,5.36677e-08,177.186
30.0,0.06206896551724138,-8.31792e-08,4.07456e-09,8.31792e-08,177.174
30.0,0.08275862068965517,-1.09955e-07,5.35513e-09,1.10013e-07,177.186
30.0,0.10344827586206896,-1.36731e-07,6.69391e-09,1.36847e-07,177.192
30.0,0.12413793103448276,-1.66242e-07,8.14913e-09,1.66358e-07,177.186
30.0,0.14482758620689656,-1.93018e-07,9.4297e-09,1.93192e-07,177.192
30.0,0.16551724137931034,-2.22471e-07,1.08849e-08,2.22703e-07,177.198
30.0,0.18620689655172412,-2.49247e-07,1.22237e-08,2.4948e-07,177.192
30.0,0.20689655172413793,-2.76023e-07,1.35624e-08,2.76314e-07,177.186
30.0,0.22758620689655173,-3.05534e-07,1.49595e-08,3.05883e-07,177.198
30.0,0.2482758620689655,-3.32309e-07,1.62983e-08,3.32659e-07,177.192
30.0,0.2689655172413793,-3.59143e-07,1.75788e-08,3.59492e-07,177.186
30.0,0.2896551724137931,-3.88596e-07,1.89758e-08,3.89004e-07,177.198
30.0,0.3103448275862069,-4.15372e-07,2.03728e-08,4.15837e-07,177.186
30.0,0.3310344827586207,-4.42147e-07,2.16534e-08,4.42671e-07,177.192
30.0,0.35172413793103446,-4.71658e-07,2.31086e-08,4.72124e-07,177.192
30.0,0.37241379310344824,-4.98378e-07,2.44473e-08,4.9896e-07,177.192
30.0,0.3931034482758621,-5.25211e-07,2.57279e-08,5.25793e-07,177.192
30.0,0.41379310344827586,-5.54664e-07,2.71831e-08,5.55305e-07,177.192
30.0,0.43448275862068964,-5.8144e-07,2.85219e-08,5.82138e-07,177.192
30.0,0.45517241379310347,-6.08215e-07,2.98025e-08,6.08914e-07,177.192
30.0,0.47586206896551725,-6.37727e-07,3.12577e-08,6.38425e-07,177.192
30.0,0.496551724137931,-6.64444e-07,3.25965e-08,6.65201e-07,177.192
30.0,0.5172413793103449,-6.91685e-07,3.39353e-08,6.92442e-07,177.186
30.0,0.5379310344827586,-7.21138e-07,3.53323e-08,7.21953e-07,177.192
30.0,0.5586206896551724,-7.47914e-07,3.66128e-08,7.48729e-07,177.192
30.0,0.5793103448275863,-7.74689e-07,3.80098e-08,7.75563e-07,177.192
30.0,0.6,-8.04201e-07,3.94068e-08,8.05074e-07,177.192
50.0,0.0,-7.97449e-07,7.56122e-08,8.00941e-07,174.582
50.0,0.020689655172413793,-2.58443e-08,4.13277e-09,2.61354e-08,170.838
50.0,0.041379310344827586,-5.25035e-08,6.6357e-09,5.2911e-08,172.764
50.0,0.06206896551724138,-8.25971e-08,9.54611e-09,8.3121e-08,173.394
50.0,0.08275862068965517,-1.09082e-07,1.2049e-08,1.09722e-07,173.688
50.0,0.10344827586206896,-1.3708e-07,1.40863e-08,1.3772e-07,174.126
50.0,0.12413793103448276,-1.6694e-07,1.5949e-08,1.67639e-07,174.534
50.0,0.14482758620689656,-1.936e-07,1.80445e-08,1.94414e-07,174.666
50.0,0.16551724137931034,-2.22238e-07,1.92086e-08,2.23053e-07,175.05
50.0,0.18620689655172412,-2.48898e-07,2.17116e-08,2.49771e-07,175.008
50.0,0.20689655172413793,-2.74917e-07,2.3807e-08,2.75906e-07,175.044
50.0,0.22758620689655173,-3.03089e-07,2.64846e-08,3.04195e-07,175.002
50.0,0.2482758620689655,-3.29108e-07,2.92204e-08,3.3033e-07,174.918
50.0,0.2689655172413793,-3.54952e-07,3.28293e-08,3.56407e-07,174.708
50.0,0.2896551724137931,-3.84289e-07,3.66128e-08,3.85977e-07,174.552
50.0,0.3103448275862069,-4.11181e-07,3.96396e-08,4.13043e-07,174.492
50.0,0.3310344827586207,-4.38597e-07,4.27247e-08,4.40634e-07,174.438
50.0,0.35172413793103446,-4.68224e-07,4.55186e-08,4.70378e-07,174.444
50.0,0.37241379310344824,-4.95467e-07,4.80215e-08,4.97737e-07,174.462
50.0,0.3931034482758621,-5.22825e-07,5.01752e-08,5.25153e-07,174.51
50.0,0.41379310344827586,-5.52685e-07,5.22125e-08,5.5513e-07,174.6
50.0,0.43448275862068964,-5.78762e-07,5.23871e-08,5.81091e-07,174.822
50.0,0.45517241379310347,-6.05189e-07,5.47154e-08,6.07575e-07,174.828
50.0,0.47586206896551725,-6.34933e-07,5.79168e-08,6.37494e-07,174.786
50.0,0.496551724137931,-6.59496e-07,5.97797e-08,6.62116e-07,174.816
50.0,0.5172413793103449,-6.85923e-07,6.25737e-08,6.88717e-07,174.78
50.0,0.5379310344827586,-7.14619e-07,6.73467e-08,7.17704e-07,174.612
50.0,0.5586206896551724,-7.40871e-07,7.08392e-08,7.44189e-07,174.534
50.0,0.5793103448275863,-7.67355e-07,7.42152e-08,7.70848e-07,174.474
50.0,0.6,-7.98031e-07,7.56122e-08,8.01523e-07,174.582
10.0,0.0,-8.04084e-07,1.18162e-08,8.04084e-07,179.154
10.0,0.020689655172413793,-2.69503e-08,4.07455e-10,2.68921e-08,179.076
10.0,0.041379310344827586,-5.37259e-08,8.14911e-10,5.36677e-08,179.112
10.0,0.06206896551724138,-8.32956e-08,1.28058e-09,8.32374e-08,179.106
10.0,0.08275862068965517,-1.10129e-07,1.68803e-09,1.10071e-07,179.112
10.0,0.10344827586206896,-1.36964e-07,2.09549e-09,1.36905e-07,179.124
10.0,0.12413793103448276,-1.66533e-07,2.50294e-09,1.66533e-07,179.13
10.0,0.14482758620689656,-1.93367e-07,2.9104e-09,1.93309e-07,179.118
10.0,0.16551724137931034,-2.22703e-07,3.37606e-09,2.22703e-07,179.118
10.0,0.18620689655172412,-2.49713e-07,3.72532e-09,2.49654e-07,179.136
10.0,0.20689655172413793,-2.76663e-07,4.13277e-09,2.76663e-07,179.136
10.0,0.22758620689655173,-3.06174e-07,4.65664e-09,3.06116e-07,179.118
10.0,0.2482758620689655,-3.3295e-07,5.1223e-09,3.3295e-07,179.118
10.0,0.2689655172413793,-3.59783e-07,5.52976e-09,3.59725e-07,179.118
10.0,0.2896551724137931,-3.89295e-07,5.99542e-09,3.89295e-07,179.118
10.0,0.3103448275862069,-4.16187e-07,6.34466e-09,4.16128e-07,179.118
10.0,0.3310344827586207,-4.42962e-07,6.81032e-09,4.42962e-07,179.118
