f,v,x,y,r,theta
10.0,0.0,-0.0520632,0.00543216,0.0522463,174.036
10.0,0.003448275862068966,-0.0518191,0.00512698,0.0520022,174.3
10.0,0.006896551724137932,-0.00604251,0.000610355,0.00604251,173.694
10.0,0.010344827586206898,-0.00994879,0.00109864,0.00994879,173.682
10.0,0.013793103448275864,-0.0139161,0.00134278,0.0139161,174.384
10.0,0.01724137931034483,-0.0161134,0.00158692,0.0161134,174.312
10.0,0.020689655172413796,-0.0199586,0.00201418,0.0200197,174.174
10.0,0.024137931034482762,-0.024109,0.00244142,0.0242311,174.156
10.0,0.027586206896551727,-0.0277711,0.00286867,0.0278932,174.036
10.0,0.031034482758620693,-0.0298463,0.00299074,0.0299073,174.252
10.0,0.03448275862068966,-0.0341189,0.00347902,0.034241,174.138
10.0,0.03793103448275863,-0.0379031,0.00390628,0.0380251,174.018
10.0,0.04137931034482759,-0.0400393,0.00390628,0.0402224,174.342
10.0,0.04482758620689656,-0.0439456,0.00469974,0.0441287,173.844
10.0,0.048275862068965524,-0.0478518,0.0046387,0.0479739,174.426
10.0,0.05172413793103449,-0.0521243,0.00537112,0.0523074,174.078
10.0,0.055172413793103454,-0.0539553,0.00531009,0.0541384,174.348
10.0,0.05862068965517242,-0.0581057,0.00604251,0.0583498,174.036
10.0,0.062068965517241385,-0.0615847,0.00653079,0.0618899,173.94
10.0,0.06551724137931035,-0.0656743,0.00640872,0.0659795,174.378
10.0,0.06896551724137932,-0.0681157,0.00677493,0.0684209,174.27
10.0,0.07241379310344828,-0.0718999,0.00762942,0.0722661,173.94
10.0,0.07586206896551725,-0.075623,0.00750735,0.0759282,174.312
10.0,0.07931034482758621,-0.0780644,0.00811774,0.0784917,174.054
10.0,0.08275862068965519,-0.0817876,0.00878912,0.0821538,173.856
10.0,0.08620689655172414,-0.0854497,0.00848395,0.0858159,174.294
10.0,0.08965517241379312,-0.0899663,0.00885016,0.0903935,174.354
10.0,0.09310344827586207,-0.0916753,0.00976568,0.0921025,173.916
10.0,0.09655172413793105,-0.0959477,0.00946051,0.096375,174.348
10.0,0.1,-0.099915,0.0106202,0.100403,173.904
20.0,0.0,-0.0966802,0.022339,0.0991826,166.974
20.0,0.003448275862068966,-0.0966802,0.022339,0.0991826,166.956
20.0,0.006896551724137932,-0.0058594,0.00134278,0.00592044,166.74
20.0,0.010344827586206898,-0.00970465,0.00219728,0.00994879,167.034
20.0,0.013793103448275864,-0.0136109,0.00311281,0.0139161,166.998
20.0,0.01724137931034483,-0.015503,0.00354005,0.0158693,166.926
20.0,0.020689655172413796,-0.0194093,0.0044556,0.0198365,167.01
20.0,0.024137931034482762,-0.0232545,0.00537112,0.0238649,166.914
20.0,0.027586206896551727,-0.0271608,0.00628665,0.0278322,166.926
20.0,0.031034482758620693,-0.0291139,0.0067139,0.0297853,166.956
20.0,0.03448275862068966,-0.0329592,0.00762942,0.0337527,166.95
20.0,0.03793103448275863,-0.0368044,0.00848395,0.03772,166.944
20.0,0.04137931034482759,-0.0387576,0.00891119,0.0397341,166.968
20.0,0.04482758620689656,-0.0426028,0.00988775,0.0436404,166.908
20.0,0.048275862068965524,-0.046509,0.0107422,0.0476687,166.956
20.0,0.05172413793103449,-0.0503542,0.0116578,0.051636,166.95
20.0,0.055172413793103454,-0.0522463,0.012085,0.0535891,166.956
20.0,0.05862068965517242,-0.0561526,0.0129395,0.0575564,166.956
20.0,0.062068965517241385,-0.0599978,0.0139161,0.0615237,166.92
20.0,0.06551724137931035,-0.0638433,0.0147706,0.0654912,166.944
20.0,0.06896551724137932,-0.0658574,0.0152588,0.0675054,166.938
20.0,0.07241379310344828,-0.0697026,0.0161134,0.0714726,166.962
20.0,0.07586206896551725,-0.0735478,0.0169679,0.0753789,166.98
20.0,0.07931034482758621,-0.0754399,0.0174562,0.0773931,166.956
20.0,0.08275862068965519,-0.0792851,0.0183107,0.0813603,166.956
20.0,0.08620689655172414,-0.0831914,0.0192872,0.0853276,166.932
20.0,0.08965517241379312,-0.0870366,0.0201417,0.0892949,166.932
20.0,0.09310344827586207,-0.0889897,0.0205079,0.091248,166.98
20.0,0.09655172413793105,-0.0928349,0.0214235,0.0952153,166.974
20.0,0.1,-0.0966802,0.0224,0.0991826,166.932
30.0,0.0,-0.0919194,0.0330813,0.0976567,160.17
30.0,0.003448275862068966,-0.0919194,0.0331423,0.0976567,160.152
30.0,0.006896551724137932,-0.00555423,0.00195314,0.0058594,160.128
30.0,0.010344827586206898,-0.00921637,0.00329591,0.00976568,160.086
30.0,0.013793103448275864,-0.0129395,0.0046387,0.0136719,160.11
30.0,0.01724137931034483,-0.0147706,0.00531009,0.0156251,160.098
30.0,0.020689655172413796,-0.0184327,0.00659183,0.0195314,160.176
30.0,0.024137931034482762,-0.0221559,0.00793463,0.0234987,160.176
30.0,0.027586206896551727,-0.025818,0.0092774,0.0273439,160.152
30.0,0.031034482758620693,-0.027649,0.00994879,0.029297,160.146
30.0,0.03448275862068966,-0.0313113,0.0112916,0.0332644,160.152
30.0,0.03793103448275863,-0.0349734,0.0125733,0.0371096,160.182
30.0,0.04137931034482759,-0.0368044,0.0132447,0.0391238,160.176
30.0,0.04482758620689656,-0.0404665,0.0145875,0.04303,160.158
30.0,0.048275862068965524,-0.0441897,0.0159303,0.0468752,160.152
30.0,0.05172413793103449,-0.0478518,0.017212,0.0507815,160.14
30.0,0.055172413793103454,-0.0496829,0.0178834,0.0527346,160.134
30.0,0.05862068965517242,-0.053345,0.0192262,0.0566409,160.17
30.0,0.062068965517241385,-0.0570071,0.0205079,0.0605471,160.158
30.0,0.06551724137931035,-0.0606692,0.0218507,0.0644536,160.152
30.0,0.06896551724137932,-0.0625005,0.0225221,0.0664067,160.146
30.0,0.07241379310344828,-0.0662236,0.0238649,0.070313,160.164
30.0,0.07586206896551725,-0.0698857,0.0251466,0.0742192,160.158
30.0,0.07931034482758621,-0.0717168,0.025818,0.0761724,160.152
30.0,0.08275862068965519,-0.0753789,0.0271608,0.0800786,160.146
30.0,0.08620689655172414,-0.079041,0.0284425,0.0839849,160.164
30.0,0.08965517241379312,-0.0827031,0.0297853,0.0878911,160.158
30.0,0.09310344827586207,-0.0845342,0.0304567,0.0897832,160.152
30.0,0.09655172413793105,-0.0882573,0.0317996,0.0937505,160.152
30.0,0.1,-0.0919194,0.0330813,0.0976567,160.17
40.0,0.0,-0.0855718,0.0424807,0.0955205,153.558
40.0,0.003448275862068966,-0.0855718,0.0424807,0.0955205,153.558
40.0,0.006896551724137932,-0.00518802,0.00256349,0.0056763,153.438
40.0,0.010344827586206898,-0.00860602,0.00421146,0.00958258,153.612
40.0,0.013793103448275864,-0.012024,0.00592044,0.0133668,153.564
40.0,0.01724137931034483,-0.013733,0.00677493,0.0153199,153.546
40.0,0.020689655172413796,-0.017151,0.00848395,0.0191041,153.522
40.0,0.024137931034482762,-0.020569,0.0101929,0.0229493,153.546
40.0,0.027586206896551727,-0.024048,0.0119019,0.0267946,153.564
40.0,0.031034482758620693,-0.025757,0.0127564,0.0286866,153.522
40.0,0.03448275862068966,-0.0291749,0.0144654,0.032532,153.54
40.0,0.03793103448275863,-0.032593,0.0161744,0.0363162,153.552
40.0,0.04137931034482759,-0.034302,0.0170289,0.0382082,153.57
40.0,0.04482758620689656,-0.03772,0.0186769,0.0420535,153.576
40.0,0.048275862068965524,-0.0411379,0.0203859,0.0458376,153.564
40.0,0.05172413793103449,-0.0445559,0.0220948,0.0496829,153.57
40.0,0.055172413793103454,-0.0462649,0.0229493,0.0515749,153.552
40.0,0.05862068965517242,-0.0496829,0.0246583,0.0554202,153.546
40.0,0.062068965517241385,-0.0531008,0.0263673,0.0592043,153.552
40.0,0.06551724137931035,-0.0565188,0.0280763,0.0630498,153.558
40.0,0.06896551724137932,-0.0582278,0.0289308,0.0649419,153.57
40.0,0.07241379310344828,-0.0616457,0.0305787,0.0687871,153.57
40.0,0.07586206896551725,-0.065064,0.0322878,0.0725713,153.564
40.0,0.07931034482758621,-0.0667729,0.0331423,0.0745244,153.552
40.0,0.08275862068965519,-0.0701909,0.0348513,0.0783086,153.558
40.0,0.08620689655172414,-0.0736089,0.0365603,0.0821538,153.552
40.0,0.08965517241379312,-0.0770268,0.0382693,0.085938,153.552
40.0,0.09310344827586207,-0.0787358,0.0391238,0.0878911,153.564
40.0,0.09655172413793105,-0.0821538,0.0407717,0.0916753,153.564
40.0,0.1,-0.0855718,0.0424807,0.0955205,153.558
50.0,0.0,-0.0780644,0.0504153,0.092896,147.138
50.0,0.003448275862068966,-0.0780644,0.0504153,0.092896,147.138
50.0,0.006896551724137932,-0.00476077,0.00299074,0.00555423,147.162
50.0,0.010344827586206898,-0.00787359,0.00506595,0.0092774,147.102
50.0,0.013793103448275864,-0.0109864,0.00701907,0.0130005,147.204
50.0,0.01724137931034483,-0.0125733,0.0080567,0.0148926,147.126
50.0,0.020689655172413796,-0.0156862,0.0100709,0.0185548,147.132
50.0,0.024137931034482762,-0.0187989,0.012085,0.022278,147.114
50.0,0.027586206896551727,-0.0219117,0.0140992,0.0260621,147.162
50.0,0.031034482758620693,-0.0234987,0.0151368,0.0278932,147.126
50.0,0.03448275862068966,-0.0266114,0.017151,0.0316164,147.162
50.0,0.03793103448275863,-0.0297853,0.0191652,0.0353396,147.15
50.0,0.04137931034482759,-0.0313113,0.0201417,0.0372317,147.132
50.0,0.04482758620689656,-0.0344241,0.0221559,0.0408938,147.162
50.0,0.048275862068965524,-0.0375369,0.0242311,0.0446169,147.15
50.0,0.05172413793103449,-0.0406497,0.0261842,0.0483401,147.15
50.0,0.055172413793103454,-0.0422366,0.0272218,0.0501711,147.132
50.0,0.05862068965517242,-0.0453494,0.029236,0.0539553,147.156
50.0,0.062068965517241385,-0.0484622,0.0312502,0.0576174,147.156
50.0,0.06551724137931035,-0.0515749,0.0332644,0.0613406,147.144
