time,tc temp (C),tr temp (C),tr res (ohm),PAR124,x,y,r,theta
1645254913.4051213,20.3750591,19.937638005749363,1019.90942,3.0752749,0.0823369,-0.00097657,0.0823369,-0.672
1645254917.1618135,20.3756122,19.936869670572413,1019.90713,3.0760588,0.0823979,-0.00097657,0.0823979,-0.672
1645254920.8906968,20.3860797,19.937953392004022,1019.91036,3.0889527,0.0823979,-0.00097657,0.0823979,-0.672
1645254924.6217873,20.3915824,19.93666500473206,1019.90652,3.0944011,0.0823369,-0.00097657,0.0823369,-0.672
1645254928.3741477,20.386734,19.935906734062648,1019.90426,3.0901145,0.0823369,-0.00097657,0.0823369,-0.648
1645254932.1197379,20.3970642,19.934960572196946,1019.90144,3.0948235,0.0823979,-0.00097657,0.0823979,-0.672
1645254935.8840904,20.3884811,19.934859916606275,1019.90114,3.0789086,0.0823369,-0.00109864,0.0823369,-0.744
1645254939.616476,20.3924884,19.935131686668992,1019.90195,3.0895481,0.0823979,-0.00097657,0.0823979,-0.672
1645254943.3545847,20.3955917,19.93507800370171,1019.90179,3.0809926,0.0823979,-0.00097657,0.0823979,-0.672
1645254947.090395,20.4091567,19.933762769755088,1019.89787,3.0952215,0.0823369,-0.00097657,0.0823369,-0.672
1645254950.8566053,20.4153518,19.93378961128821,1019.89795,3.0777769,0.0823979,-0.00097657,0.0823979,-0.672
1645254954.6916957,20.4137134,19.93354468226141,1019.89722,3.082745,0.0823979,-0.00097657,0.0823979,-0.672
1645254958.4134986,20.4247322,19.933839939160155,1019.8981,3.0845694,0.0823369,-0.00097657,0.0823369,-0.672
1645254962.1729598,20.4258193,19.934259337955847,1019.89935,3.0818815,0.0823979,-0.00097657,0.0823979,-0.672
1645254965.9214165,20.4259128,19.933591654958047,1019.89736,3.0854446,0.0823369,-0.00097657,0.0823369,-0.672
1645254969.6725504,20.4252548,19.932786408308413,1019.89496,3.0771071,0.0823369,-0.00097657,0.0823369,-0.672
1645254973.4110305,20.4206752,19.932427402220455,1019.89389,3.0951137,0.0823979,-0.00097657,0.0823979,-0.672
1645254977.1395574,20.4464073,19.932427402220455,1019.89389,3.0745177,0.0823369,-0.00097657,0.0823369,-0.672
1645254980.890769,20.4511508,19.93255489973012,1019.89427,3.0884928,0.0823369,-0.00097657,0.0823369,-0.672
1645254984.6087928,20.4625205,19.932430757418334,1019.8939,3.0844349,0.0823979,-0.00097657,0.0823979,-0.672
1645254988.3291883,20.457817,19.93072295966118,1019.88881,3.0901405,0.0823979,-0.00097657,0.0823979,-0.672
1645254992.0717337,20.4467678,19.930571975381785,1019.88836,3.0725765,0.0823369,-0.00097657,0.0823369,-0.672
1645254995.8378222,20.4437713,19.930031786923234,1019.88675,3.0834088,0.0823369,-0.00097657,0.0823369,-0.672
1645254999.5840182,20.4491252,19.93042770148535,1019.88793,3.0893554,0.0823979,-0.00097657,0.0823979,-0.672
1645255003.3099627,20.4697875,19.92974994930573,1019.88591,3.0768771,0.0823369,-0.00097657,0.0823369,-0.672
1645255007.0755901,20.470726,19.929256733209918,1019.88444,3.0835621,0.0823979,-0.00097657,0.0823979,-0.672
1645255010.8237412,20.4723834,19.930072049430937,1019.88687,3.0799195,0.0823979,-0.00097657,0.0823979,-0.672
1645255014.5556884,20.4692401,19.92878029285122,1019.88302,3.0878665,0.0823369,-0.00097657,0.0823369,-0.672
1645255018.306882,20.4773235,19.927988461698995,1019.88066,3.0807971,0.0823369,-0.00097657,0.0823369,-0.672
1645255022.0227537,20.4956455,19.92838437738389,1019.88184,3.0912747,0.0823369,-0.00097657,0.0823369,-0.672
1645255025.7764924,20.4929027,19.928783648066133,1019.88303,3.0818145,0.0823369,-0.00097657,0.0823369,-0.672
1645255029.5264955,20.4949741,19.92860917687085,1019.88251,3.0732691,0.0823369,-0.00097657,0.0823369,-0.672
1645255033.2823765,20.5037059,19.9280119482288,1019.88073,3.0963151,0.0823979,-0.00097657,0.0823979,-0.672
1645255037.0129266,20.5040435,19.927767017238033,1019.88,3.0789897,0.0823979,-0.00097657,0.0823979,-0.672
1645255040.7655241,20.5142574,19.92714965656318,1019.87816,3.0845501,0.0823369,-0.00097657,0.0823369,-0.672
1645255044.5107386,20.5192375,19.92682084468353,1019.87718,3.0799493,0.0823979,-0.00097657,0.0823979,-0.672
1645255048.2463863,20.5292663,19.9256834228405,1019.87379,3.0955672,0.0823369,-0.00097657,0.0823369,-0.672
1645255051.9597638,20.5206184,19.92656249238711,1019.87641,3.0673723,0.0823369,-0.00097657,0.0823369,-0.672
1645255055.6914816,20.5311737,19.925871315658185,1019.87435,3.0857801,0.0823369,-0.00097657,0.0823369,-0.672
1645255059.4407566,20.5322341,19.924730537082368,1019.87095,3.0956118,0.0823369,-0.00097657,0.0823369,-0.672
1645255063.1817694,20.5219917,19.925371386445775,1019.87286,3.0747847,0.0823369,-0.00097657,0.0823369,-0.672
1645255066.9385264,20.5323715,19.92438494792202,1019.86992,3.0861647,0.0823369,-0.00097657,0.0823369,-0.672
1645255070.6907585,20.5230026,19.923814557683272,1019.86822,3.0913326,0.0823369,-0.00097657,0.0823369,-0.672
1645255074.4145293,20.5358257,19.92388837291612,1019.86844,3.0853042,0.0823369,-0.00097657,0.0823369,-0.672
1645255078.1587987,20.5261859,19.92350252047926,1019.86729,3.0829074,0.0823979,-0.00097657,0.0823979,-0.672
1645255081.8949096,20.5406341,19.92293212954191,1019.86559,3.0701041,0.0823979,-0.00103761,0.0823979,-0.696
1645255085.6550326,20.5357952,19.923234101270886,1019.86649,3.0893554,0.0823369,-0.00097657,0.0823369,-0.672
1645255089.4007556,20.5312137,19.92290528760425,1019.86551,3.0799155,0.0823369,-0.00097657,0.0823369,-0.672
1645255093.1442034,20.5330295,19.921841675022524,1019.86234,3.0824351,0.0823369,-0.00097657,0.0823369,-0.672
1645255096.8979473,20.53096,19.921331677265584,1019.86082,3.0893347,0.0823369,-0.00097657,0.0823369,-0.672
1645255100.6497483,20.5277404,19.921231019770843,1019.86052,3.0907392,0.0823979,-0.00103761,0.0823979,-0.696
1645255104.3665082,20.5337944,19.92305627349028,1019.86596,3.0873479,0.0823369,-0.00097657,0.0823369,-0.672
1645255108.1000988,20.5298118,19.920261351851774,1019.85763,3.082261,0.0823369,-0.00097657,0.0823369,-0.672
1645255111.8326938,20.5295333,19.920976020721362,1019.85976,3.0853695,0.0823979,-0.00097657,0.0823979,-0.672
1645255115.5564227,20.5289726,19.92110016500677,1019.86013,3.0867202,0.0823369,-0.00097657,0.0823369,-0.672
1645255119.2945142,20.5222244,19.9204693776052,1019.85825,3.0992012,0.0823369,-0.00097657,0.0823369,-0.672
1645255123.0264995,20.5171432,19.918959511901367,1019.85375,3.0997767,0.0823369,-0.00097657,0.0823369,-0.672
1645255126.7687185,20.5246677,19.919972799900705,1019.85677,3.1002228,0.0823369,-0.00097657,0.0823369,-0.672
1645255130.4966373,20.5437278,19.918610564710747,1019.85271,3.1004319,0.0823369,-0.00097657,0.0823369,-0.672
1645255134.2416523,20.53903,19.919278261591195,1019.8547,3.1008734,0.0823369,-0.00097657,0.0823369,-0.672
1645255138.0075011,20.5425662,19.918546814724948,1019.85252,3.1004843,0.0823369,-0.00097657,0.0823369,-0.672
1645255141.7284508,20.5420608,19.91799990672054,1019.85089,3.1000769,0.0823369,-0.00097657,0.0823369,-0.672
1645255145.45652,20.5409355,19.917456353568724,1019.84927,3.1003522,0.0823369,-0.00097657,0.0823369,-0.672
1645255149.206242,20.5274906,19.917835498711653,1019.8504,3.0998358,0.0823369,-0.00097657,0.0823369,-0.672
1645255152.9460938,20.5327396,19.918526683149306,1019.85246,3.1001684,0.0823369,-0.00097657,0.0823369,-0.672
1645255156.6855493,20.5314846,19.916570562368513,1019.84663,3.1012053,0.0823369,-0.00097657,0.0823369,-0.672
1645255160.4055116,20.5331516,19.91736240606879,1019.84899,3.099852,0.0823369,-0.00097657,0.0823369,-0.672
1645255164.135128,20.5285167,19.917610695863413,1019.84973,3.1003291,0.0823369,-0.00097657,0.0823369,-0.672
1645255167.8822472,20.5287189,19.916708128497472,1019.84704,3.0995779,0.0823369,-0.00097657,0.0823369,-0.672
1645255171.6218426,20.5357551,19.91661082562853,1019.84675,3.0999369,0.0823369,-0.00097657,0.0823369,-0.672
1645255175.3796127,20.5363464,19.91692957635737,1019.8477,3.1009125,0.0823369,-0.00097657,0.0823369,-0.672
1645255179.111616,20.5426425,19.91537943990909,1019.84308,3.0999269,0.0823369,-0.00097657,0.0823369,-0.672
1645255182.832583,20.5400295,19.915641151491485,1019.84386,3.0998685,0.0823369,-0.00097657,0.0823369,-0.672
1645255186.5937946,20.552103,19.915657927871745,1019.84391,3.0999617,0.0823369,-0.00097657,0.0823369,-0.672
1645255190.3489368,20.5562553,19.91496674068211,1019.84185,3.1008949,0.0823369,-0.00097657,0.0823369,-0.672
1645255194.0964572,20.554718,19.915322400192633,1019.84291,3.1004929,0.0823369,-0.00097657,0.0823369,-0.672
1645255197.8345826,20.5552711,19.914852661179317,1019.84151,3.0998904,0.0823369,-0.00097657,0.0823369,-0.672
1645255201.5809522,20.5387706,19.914359434885725,1019.84004,3.1002938,0.0823369,-0.00097657,0.0823369,-0.672
1645255205.3402097,20.5247154,19.914869437577917,1019.84156,3.0994374,0.0823369,-0.00097657,0.0823369,-0.672
1645255209.0810678,20.5246963,19.91370850987272,1019.8381,3.0989861,0.0823369,-0.00097657,0.0823369,-0.672
1645255212.8064814,20.5245094,19.912493895647003,1019.83448,3.0994083,0.0823369,-0.00097657,0.0823369,-0.672
1645255216.530832,20.5282077,19.91180270542206,1019.83242,3.1004905,0.0823369,-0.00097657,0.0823369,-0.672
1645255220.2852893,20.5293941,19.911460465356633,1019.8314,3.0997464,0.0823369,-0.00097657,0.0823369,-0.672
1645255224.0198133,20.5313644,19.911285989966473,1019.83088,3.0988211,0.0823369,-0.00097657,0.0823369,-0.672
1645255227.7504835,20.5286293,19.91104105328987,1019.83015,3.0990343,0.0823369,-0.00097657,0.0823369,-0.672
1645255231.5152736,20.5374622,19.910282755653594,1019.82789,3.1004309,0.0823369,-0.00097657,0.0823369,-0.672
1645255235.2533703,20.5337867,19.91025926854585,1019.82782,3.1015038,0.0823369,-0.00097657,0.0823369,-0.672
1645255239.0015461,20.5330333,19.910108279978264,1019.82737,3.100466,0.0823369,-0.00097657,0.0823369,-0.672
1645255242.753095,20.525711,19.90980630274814,1019.82647,3.0995094,0.0823369,-0.00097657,0.0823369,-0.672
1645255246.503234,20.5224533,19.91022571553358,1019.82772,3.1001291,0.0823369,-0.00097657,0.0823369,-0.672
1645255250.23446,20.5302562,19.909755973197505,1019.82632,3.1007058,0.0823369,-0.00097657,0.0823369,-0.672
1645255253.9865048,20.5249691,19.909581497394672,1019.8258,3.1006369,0.0823369,-0.00097657,0.0823369,-0.672
1645255257.791892,20.5270557,19.909138597089903,1019.82448,3.1006579,0.0823369,-0.00097657,0.0823369,-0.672
1645255261.5262876,20.5365734,19.90852122045341,1019.82264,3.1003286,0.0823369,-0.00097657,0.0823369,-0.672
1645255265.2826974,20.5391597,19.908937278679673,1019.82388,3.1014552,0.0823369,-0.00097657,0.0823369,-0.672
1645255269.0233626,20.5340595,19.908048121694673,1019.82123,3.0995273,0.0823369,-0.00097657,0.0823369,-0.672
1645255272.7604458,20.5454235,19.90807831949702,1019.82132,3.0994374,0.0823369,-0.00097657,0.0823369,-0.672
1645255276.4955344,20.5290279,19.907091857297477,1019.81838,3.10008,0.0823369,-0.00097657,0.0823369,-0.672
1645255280.217082,20.5395698,19.908252795663913,1019.82184,3.1000459,0.0823369,-0.00097657,0.0823369,-0.672
1645255283.9455092,20.5289955,19.90678652348572,1019.81747,3.1000888,0.0823369,-0.00097657,0.0823369,-0.672
1645255287.700804,20.5352897,19.907749498913912,1019.82034,3.0996181,0.0823369,-0.00097657,0.0823369,-0.672
1645255291.4807522,20.5450706,19.906075195862137,1019.81535,3.0997128,0.0823369,-0.00097657,0.0823369,-0.672
1645255295.2157488,20.5488281,19.906138946951508,1019.81554,3.1011035,0.0823369,-0.00097657,0.0823369,-0.672
1645255298.9577973,20.5507984,19.90576650629757,1019.81443,3.101674,0.0823369,-0.00097657,0.0823369,-0.672
1645255302.6892118,20.5460186,19.905347090916404,1019.81318,3.0996439,0.0823369,-0.00097657,0.0823369,-0.672
1645255306.4382207,20.5362911,19.9056020954972,1019.81394,3.0993423,0.0823369,-0.00097657,0.0823369,-0.672
1645255310.2042193,20.5455036,19.90461227457985,1019.81099,3.099174,0.0823369,-0.00097657,0.0823369,-0.672
1645255313.9555259,20.5422821,19.905608806142865,1019.81396,3.1003661,0.0823369,-0.00097657,0.0823369,-0.672
1645255317.6955333,20.5500774,19.90417272655007,1019.80968,3.0989301,0.0823369,-0.00097657,0.0823369,-0.672
1645255321.4355013,20.5527267,19.903951274769398,1019.80902,3.1004269,0.0823369,-0.00097657,0.0823369,-0.672
1645255325.1644585,20.5513839,19.904595497942417,1019.81094,3.1004319,0.0823369,-0.00097657,0.0823369,-0.672
1645255328.9131925,20.5441131,19.90323658901278,1019.80689,3.0992894,0.0823369,-0.00097657,0.0823369,-0.672
1645255332.6247623,20.5471458,19.90319632500533,1019.80677,3.0997972,0.0823369,-0.00097657,0.0823369,-0.672
1645255336.3617692,20.5511245,19.90277690812799,1019.80552,3.1004829,0.0823369,-0.00097657,0.0823369,-0.672
1645255340.100679,20.5627384,19.902183013412017,1019.80375,3.1004137,0.0823369,-0.00097657,0.0823369,-0.672
1645255343.8174984,20.5633296,19.901934718300826,1019.80301,3.0992839,0.0823369,-0.00097657,0.0823369,-0.672
1645255347.559733,20.5589122,19.902303805597363,1019.80411,3.0981914,0.0823369,-0.00097657,0.0823369,-0.672
1645255351.301718,20.5476093,19.901508590005324,1019.80174,3.0990376,0.0823369,-0.00097657,0.0823369,-0.672
1645255355.0302494,20.5547275,19.901434772479718,1019.80152,3.1002986,0.0823369,-0.00097657,0.0823369,-0.672
1645255358.8149319,20.5467224,19.90106568473817,1019.80042,3.1008093,0.0823369,-0.00097657,0.0823369,-0.672
1645255362.5452907,20.5479812,19.90136095494651,1019.8013,3.0982146,0.0823369,-0.00097657,0.0823369,-0.672
1645255366.2791247,20.5553283,19.901112659552105,1019.80056,3.0989582,0.0823369,-0.00097657,0.0823369,-0.672
1645255370.0265124,20.5651397,19.900840876657462,1019.79975,3.1010785,0.0823369,-0.00097657,0.0823369,-0.672
1645255373.7756555,20.566492,19.90118647711081,1019.80078,3.1007895,0.0823369,-0.00097657,0.0823369,-0.672
1645255377.4964986,20.5658645,19.900075857588625,1019.79747,3.0989971,0.0823369,-0.00097657,0.0823369,-0.672
1645255381.2334526,20.5656147,19.90009934502831,1019.79754,3.0985004,0.0823369,-0.00097657,0.0823369,-0.672
1645255384.9836104,20.5751628,19.898921616754556,1019.79403,3.0981681,0.0823369,-0.00097657,0.0823369,-0.672
1645255388.7054896,20.5626831,19.898475354541063,1019.7927,3.1005933,0.0823369,-0.00097657,0.0823369,-0.672
1645255392.4455388,20.5720558,19.897706977600926,1019.79041,3.1016025,0.0823369,-0.00097657,0.0823369,-0.672
1645255396.2042398,20.572895,19.897334532588477,1019.7893,3.099364,0.0823369,-0.00097657,0.0823369,-0.672
1645255399.933853,20.5779876,19.897358020117466,1019.78937,3.0990054,0.0823369,-0.00097657,0.0823369,-0.672
1645255403.6550167,20.5842838,19.89708623580641,1019.78856,3.0991313,0.0823369,-0.00097657,0.0823369,-0.672
1645255407.387736,20.5655269,19.89684800502979,1019.78785,3.1012725,0.0823369,-0.00097657,0.0823369,-0.672
1645255411.1163821,20.5586853,19.896005808272367,1019.78534,3.1017742,0.0823369,-0.00097657,0.0823369,-0.672
1645255414.8721743,20.5594062,19.89632792348308,1019.7863,3.1001732,0.0823369,-0.00097657,0.0823369,-0.672
1645255418.6189103,20.5643138,19.89533137908348,1019.78333,3.0984704,0.0823369,-0.00097657,0.0823369,-0.672
1645255422.3377721,20.5736885,19.895680337548544,1019.78437,3.0989286,0.0823369,-0.00097657,0.0823369,-0.672
1645255426.0775106,20.5759181,19.896270882258303,1019.78613,3.1003258,0.0823369,-0.00097657,0.0823369,-0.672
1645255429.820778,20.5693397,19.896116535392203,1019.78567,3.1015772,0.0823369,-0.00097657,0.0823369,-0.672
1645255433.5649378,20.5702247,19.89515018904452,1019.78279,3.1013431,0.0823369,-0.00097657,0.0823369,-0.672
1645255437.294915,20.5745925,19.89465694926327,1019.78132,3.0988857,0.0823369,-0.00097657,0.0823369,-0.672
1645255441.0249066,20.5639801,19.894730767483246,1019.78154,3.0979392,0.0823369,-0.00097657,0.0823369,-0.672
1645255444.7677422,20.5619468,19.89426101504477,1019.78014,3.0995309,0.0823369,-0.00097657,0.0823369,-0.672
1645255448.4987452,20.5810127,19.89406304785403,1019.77955,3.1001305,0.0823369,-0.00097657,0.0823369,-0.672
1645255452.2214203,20.5789165,19.893764419276856,1019.77866,3.101391,0.0823369,-0.00097657,0.0823369,-0.672
1645255455.9797602,20.5675067,19.894311345677924,1019.78029,3.1005837,0.0823369,-0.00097657,0.0823369,-0.672
1645255459.7504754,20.566349,19.89333828614897,1019.77739,3.1001772,0.0823369,-0.00097657,0.0823369,-0.672
1645255463.485732,20.5680484,19.89279471439183,1019.77577,3.0993781,0.0823369,-0.00097657,0.0823369,-0.672
1645255467.247262,20.5586071,19.89213370373946,1019.7738,3.1000359,0.0823369,-0.00097657,0.0823369,-0.672
1645255470.9797194,20.5578346,19.891801520492383,1019.77281,3.1001057,0.0823369,-0.00097657,0.0823369,-0.672
1645255474.748769,20.5576,19.891036491825513,1019.77053,3.0999181,0.0823369,-0.00097657,0.0823369,-0.672
1645255478.5207555,20.5551528,19.890781482089395,1019.76977,3.0985038,0.0823369,-0.00097657,0.0823369,-0.672
1645255482.2553048,20.5605125,19.890137246564514,1019.76785,3.0991103,0.0823369,-0.00097657,0.0823369,-0.672
1645255485.985778,20.5577125,19.890462719792264,1019.76882,3.099354,0.0823369,-0.00097657,0.0823369,-0.672
1645255489.6974893,20.5657329,19.890113758800055,1019.76778,3.1002213,0.0823369,-0.00097657,0.0823369,-0.672
1645255493.4207513,20.5760517,19.889667491130986,1019.76645,3.0998568,0.0823369,-0.00097657,0.0823369,-0.672
1645255497.1825378,20.5665798,19.889093718007622,1019.76474,3.1008186,0.0823369,-0.00097657,0.0823369,-0.672
1645255500.9277544,20.574953,19.889066874809377,1019.76466,3.0992815,0.0823369,-0.00097657,0.0823369,-0.672
1645255504.6875062,20.5692138,19.88875817795755,1019.76374,3.0998408,0.0823369,-0.00097657,0.0823369,-0.672
1645255508.4187398,20.5747032,19.88875817795755,1019.76374,3.0992281,0.0823369,-0.00097657,0.0823369,-0.672
1645255512.1900246,20.5684585,19.888046832534773,1019.76162,3.1004319,0.0823369,-0.00097657,0.0823369,-0.672
1645255515.9351122,20.5665149,19.887801887957703,1019.76089,3.1002802,0.0823369,-0.00097657,0.0823369,-0.672
1645255519.689781,20.5634555,19.88750661219255,1019.76001,3.0999321,0.0823369,-0.00097657,0.0823369,-0.672
1645255523.4207351,20.5673923,19.886664404515628,1019.7575,3.0993485,0.0823369,-0.00097657,0.0823369,-0.672
1645255527.1675022,20.5744934,19.886677826159513,1019.75754,3.0996036,0.0823369,-0.00097657,0.0823369,-0.672
1645255530.9890463,20.5776576,19.88639597158303,1019.7567,3.1015186,0.0823369,-0.00097657,0.0823369,-0.672
1645255534.7064855,20.5786094,19.886198002231158,1019.75611,3.1014227,0.0823369,-0.00097657,0.0823369,-0.672
1645255538.4426498,20.5779628,19.886154381858123,1019.75598,3.1002626,0.0823369,-0.00097657,0.0823369,-0.672
1645255542.19357,20.5664482,19.88572824422936,1019.75471,3.099452,0.0823369,-0.00097657,0.0823369,-0.672
1645255545.9442406,20.5627613,19.88459075751335,1019.75132,3.0981953,0.0823369,-0.00097657,0.0823369,-0.672
1645255549.685864,20.5603027,19.88530210634841,1019.75344,3.0994851,0.0823369,-0.00097657,0.0823369,-0.672
1645255553.4107423,20.5718021,19.884402853930148,1019.75076,3.1006927,0.0823369,-0.00097657,0.0823369,-0.672
1645255557.1455243,20.5625381,19.884516938254365,1019.7511,3.1013002,0.0823369,-0.00097657,0.0823369,-0.672
1645255560.8872435,20.572195,19.883678082507583,1019.7486,3.0996336,0.0823369,-0.00097657,0.0823369,-0.672
1645255564.653126,20.5633754,19.883255298841064,1019.74734,3.098829,0.0823369,-0.00097657,0.0823369,-0.672
1645255568.3961518,20.5805969,19.882349333005948,1019.74464,3.0999433,0.0823369,-0.00097657,0.0823369,-0.672
1645255572.13949,20.5753116,19.88179568665699,1019.74299,3.0992605,0.0823369,-0.00097657,0.0823369,-0.672
1645255575.8851879,20.5709209,19.882627833735746,1019.74547,3.1013524,0.0823369,-0.00097657,0.0823369,-0.672
1645255579.6076536,20.5673675,19.881812463825266,1019.74304,3.0995209,0.0823369,-0.00097657,0.0823369,-0.672
1645255583.3409574,20.5761928,19.881195063772978,1019.7412,3.098417,0.0823369,-0.00097657,0.0823369,-0.672
1645255587.0723133,20.568861,19.881050779988886,1019.74077,3.0992722,0.0823369,-0.00097657,0.0823369,-0.672
