time,tc temp (C),tr temp (C),tr res (ohm),PAR124,x,y,r,theta
1645335228.8750744,0,20.06171506511561,1020.27926,3.3754239,0.0875859,-0.00115968,0.0875859,-0.72
1645335232.434299,0,20.13177575137355,1020.48812,3.3779084,0.0875859,-0.00115968,0.0875859,-0.744
1645335236.0139232,0,20.202590972673985,1020.69925,3.3819813,0.0875859,-0.00115968,0.0875859,-0.72
1645335239.59707,0,20.272285837694845,1020.90706,3.3859958,0.0875859,-0.00115968,0.0875859,-0.72
1645335243.1662593,0,20.33966689660585,1021.10799,3.3895821,0.0875859,-0.00115968,0.0875859,-0.72
1645335246.735315,0,20.403735603418255,1021.29906,3.3928697,0.0875859,-0.00115968,0.0875859,-0.72
1645335250.2999272,0,20.463758594551344,1021.47808,3.3957083,0.0875859,-0.00115968,0.0875859,-0.72
1645335253.866326,0,20.520410725465847,1021.64706,3.4003884,0.0875859,-0.00115968,0.0875859,-0.72
1645335257.4272096,0,20.57342126114183,1021.80519,3.4038422,0.0875859,-0.00115968,0.0875859,-0.72
1645335261.0011346,0,20.62406140624041,1021.95626,3.4070401,0.0875859,-0.00115968,0.0875859,-0.72
1645335264.5739615,0,20.672247866130764,1022.10002,3.4098851,0.0875859,-0.00115968,0.0875859,-0.72
1645335268.1510303,0,20.719291585036544,1022.24038,3.413079,0.0875859,-0.00115968,0.0875859,-0.72
1645335271.7264633,0,20.76554132419992,1022.37838,3.415749,0.0875859,-0.00115968,0.0875859,-0.72
1645335275.284142,0,20.813058167122335,1022.52017,3.4195699,0.0875859,-0.00115968,0.0875859,-0.744
1645335278.8395417,0,20.86204961769783,1022.66637,3.4238297,0.087647,-0.00115968,0.087647,-0.72
1645335282.4289238,0,20.914425237962238,1022.82268,3.4259939,0.087647,-0.00115968,0.087647,-0.72
1645335286.0153327,0,20.970321656242785,1022.98951,3.4287004,0.087647,-0.00115968,0.087647,-0.72
1645335289.5661695,0,21.024789945671593,1023.15209,3.431555,0.087647,-0.00115968,0.087647,-0.744
1645335293.1253474,0,21.074463799674863,1023.30037,3.4340429,0.087647,-0.00115968,0.087647,-0.744
1645335296.6825686,0,21.117217158264936,1023.428,3.4370579,0.0875859,-0.00115968,0.0875859,-0.72
1645335300.2592416,0,21.150066819570117,1023.52607,3.4410212,0.087647,-0.00115968,0.087647,-0.72
1645335303.8286474,0,21.17327539139083,1023.59536,3.4428455,0.087647,-0.00115968,0.087647,-0.72
1645335307.4062579,0,21.18723902891262,1023.63705,3.4445805,0.087647,-0.00115968,0.087647,-0.72
1645335310.975425,0,21.192953022889647,1023.65411,3.4481172,0.087647,-0.00115968,0.087647,-0.72
1645335314.5574963,0,21.190708962653826,1023.64741,3.4490551,0.087647,-0.00115968,0.087647,-0.72
1645335318.121398,0,21.18143790551734,1023.61973,3.4509699,0.087647,-0.00115968,0.087647,-0.72
1645335321.697529,0,21.167005231678385,1023.57664,3.4517951,0.087647,-0.00115968,0.087647,-0.72
1645335325.2510898,0,21.148482486618782,1023.52134,3.4523978,0.087647,-0.00115968,0.087647,-0.72
1645335328.8231838,0,21.126686669503275,1023.45627,3.4521017,0.087647,-0.00115968,0.087647,-0.72
1645335332.3794851,0,21.10236783015101,1023.38367,3.4532046,0.087647,-0.00115968,0.087647,-0.744
1645335335.9369943,0,21.075823853062875,1023.30443,3.4525499,0.087647,-0.00115968,0.087647,-0.744
1645335339.5097275,0,21.047051142683195,1023.21854,3.4512863,0.087647,-0.00115968,0.087647,-0.744
1645335343.0775087,0,21.017077930654537,1023.12907,3.4509375,0.087647,-0.00115968,0.087647,-0.72
1645335346.6501408,0,20.98564944457109,1023.03526,3.4496665,0.087647,-0.00115968,0.087647,-0.72
1645335350.2109091,0,20.95299332506273,1022.93779,3.4488,0.087647,-0.00115968,0.087647,-0.72
1645335353.766076,0,20.919836487364197,1022.83883,3.448024,0.087647,-0.00115968,0.087647,-0.72
1645335357.3366685,0,20.88594430902363,1022.73768,3.4467024,0.087647,-0.00115968,0.087647,-0.72
1645335360.9132898,0,20.851916501640066,1022.63613,3.4445383,0.087647,-0.00115968,0.087647,-0.744
1645335364.4785192,0,20.817669269006874,1022.53393,3.4429335,0.087647,-0.00115968,0.087647,-0.72
1645335368.0688267,0,20.783433815456647,1022.43177,3.4412598,0.087647,-0.00115968,0.087647,-0.72
1645335371.6450758,0,20.74893197651179,1022.32882,3.4393532,0.087647,-0.00115968,0.087647,-0.72
1645335375.2132246,0,20.715085392810277,1022.22783,3.4374222,0.0875859,-0.00109864,0.0875859,-0.696
1645335378.7834535,0,20.681679647023795,1022.12816,3.4362711,0.0875859,-0.00115968,0.0875859,-0.72
1645335382.3472638,0,20.648299168930127,1022.02857,3.4341483,0.0875859,-0.00115968,0.0875859,-0.72
1645335385.927585,0,20.616023312550485,1021.93228,3.4335398,0.087647,-0.00115968,0.087647,-0.744
1645335389.4823704,0,20.583769476861807,1021.83606,3.4297068,0.087647,-0.00115968,0.087647,-0.744
1645335393.0496407,0,20.55265063335593,1021.74323,3.4301252,0.087647,-0.00115968,0.087647,-0.744
1645335396.6258602,0,20.522066839870792,1021.652,3.427798,0.087647,-0.00115968,0.087647,-0.72
1645335400.1839757,0,20.49163932124698,1021.56124,3.4264338,0.087647,-0.00115968,0.087647,-0.72
1645335403.7517378,0,20.462565023265785,1021.47452,3.4238834,0.087647,-0.00115968,0.087647,-0.72
1645335407.3241153,0,20.433546551636717,1021.38797,3.4223608,0.087647,-0.00115968,0.087647,-0.744
1645335410.885232,0,20.405294748903508,1021.30371,3.4210503,0.087647,-0.00115968,0.087647,-0.72
1645335414.4480233,0,20.378074602038453,1021.22253,3.4196634,0.087647,-0.00115968,0.087647,-0.72
1645335417.9933357,0,20.35165150065086,1021.14373,3.4173192,0.087647,-0.00115968,0.087647,-0.72
1645335421.576052,0,20.325579534550855,1021.06598,3.4153475,0.0875859,-0.00115968,0.0875859,-0.72
1645335425.146269,0,20.300160555676612,1020.99018,3.4146397,0.0875859,-0.00115968,0.0875859,-0.744
1645335428.7023392,0,20.27560926357595,1020.91697,3.4130091,0.0875859,-0.00115968,0.0875859,-0.72
1645335432.275294,0,20.25141933639653,1020.84484,3.4113097,0.0875859,-0.00115968,0.0875859,-0.72
1645335435.8379152,0,20.22825486737091,1020.77577,3.4102296,0.0875859,-0.00115968,0.0875859,-0.72
1645335439.3978913,0,20.20540827706404,1020.70765,3.4093408,0.087647,-0.00115968,0.087647,-0.72
1645335442.9878528,0,20.183406178546786,1020.64205,3.4079251,0.087647,-0.00115968,0.087647,-0.72
1645335446.567677,0,20.1615040323383,1020.57675,3.4063341,0.087647,-0.00115968,0.087647,-0.744
1645335450.150401,0,20.141036831051515,1020.51573,3.4062378,0.087647,-0.00115968,0.087647,-0.72
1645335453.7199128,0,20.120532150984925,1020.4546,3.40368,0.087647,-0.00115968,0.087647,-0.72
1645335457.3067408,0,20.10092922532059,1020.39616,3.4030807,0.087647,-0.00115968,0.087647,-0.72
1645335460.8904567,0,20.08208388410735,1020.33998,3.4012265,0.087647,-0.00115968,0.087647,-0.72
1645335464.4564166,0,20.06348964420906,1020.28455,3.4002659,0.087647,-0.00115968,0.087647,-0.72
1645335468.0129104,0,20.045800686023373,1020.23182,3.399553,0.0875859,-0.00115968,0.0875859,-0.72
1645335471.5738816,0,20.028470252050813,1020.18016,3.3978219,0.0875859,-0.00115968,0.0875859,-0.72
1645335475.1686034,0,20.01134069114285,1020.1291,3.39684,0.0875859,-0.00115968,0.0875859,-0.72
1645335478.7407088,0,19.994915253845203,1020.08014,3.3958978,0.087647,-0.00115968,0.087647,-0.744
1645335482.3091981,0,19.978492797114335,1020.03119,3.3948848,0.087647,-0.00115968,0.087647,-0.72
1645335485.8771265,0,19.961610322741997,1019.98087,3.3938333,0.0875859,-0.00115968,0.0875859,-0.72
1645335489.4510808,0,19.941620585873057,1019.92129,3.3928341,0.0875859,-0.00115968,0.0875859,-0.744
1645335493.0217006,0,19.915889441879237,1019.8446,3.3913979,0.0875859,-0.00115968,0.0875859,-0.72
1645335496.602531,0,19.882600990296712,1019.74539,3.3907792,0.0875859,-0.00115968,0.0875859,-0.72
1645335500.166258,0,19.84125755158782,1019.62218,3.3900876,0.0875859,-0.00115968,0.0875859,-0.72
1645335503.740174,0,19.791344293277866,1019.47344,3.3882074,0.0875859,-0.00115968,0.0875859,-0.72
1645335507.2967107,0,19.733923325523794,1019.30234,3.3869929,0.0875859,-0.00115968,0.0875859,-0.72
1645335510.8863137,0,19.669623860372784,1019.11076,3.3855686,0.0875859,-0.00115968,0.0875859,-0.72
1645335514.4552877,0,19.601690029142,1018.90837,3.3827085,0.0875859,-0.00115968,0.0875859,-0.72
1645335518.0295956,0,19.531980618950822,1018.70071,3.3800847,0.0875859,-0.00115968,0.0875859,-0.72
1645335521.598469,0,19.462338322679656,1018.49327,3.3778874,0.087647,-0.00115968,0.087647,-0.744
1645335525.1592584,0,19.395734729494603,1018.2949,3.3724632,0.0875859,-0.00115968,0.0875859,-0.744
1645335528.7295182,0,19.334736186676974,1018.11324,3.37027,0.0875859,-0.00115968,0.0875859,-0.72
1645335532.3084974,0,19.2786489626659,1017.94622,3.367383,0.0875859,-0.00115968,0.0875859,-0.72
1645335535.874764,0,19.228730277351293,1017.79758,3.3642017,0.0875859,-0.00115968,0.0875859,-0.72
1645335539.4551249,0,19.18387640689456,1017.66403,3.3610682,0.0875859,-0.00115968,0.0875859,-0.72
1645335543.026805,0,19.14247267852559,1017.54076,3.3576092,0.0875859,-0.00115968,0.0875859,-0.72
1645335546.5856407,0,19.10315254996404,1017.4237,3.3543536,0.0875859,-0.00115968,0.0875859,-0.72
1645335550.1592379,0,19.063702621646836,1017.30626,3.3513624,0.0875859,-0.00115968,0.0875859,-0.72
1645335553.7205482,0,19.022207992952794,1017.18274,3.3489055,0.0875859,-0.00115968,0.0875859,-0.72
1645335557.2856805,0,18.97750251237379,1017.04967,3.347182,0.0875859,-0.00115968,0.0875859,-0.72
1645335560.8543963,0,18.928053477133954,1016.90249,3.3442738,0.0875859,-0.00115968,0.0875859,-0.72
1645335564.42648,0,18.873426451683514,1016.73991,3.341717,0.0875859,-0.00115968,0.0875859,-0.744
1645335567.9988534,0,18.81297841676636,1016.56002,3.3397247,0.0875859,-0.00115968,0.0875859,-0.72
1645335571.5673656,0,18.747306114333494,1016.3646,3.3369193,0.0875859,-0.00115968,0.0875859,-0.72
1645335575.1395357,0,18.67885159760651,1016.16092,3.3336217,0.0875859,-0.00115968,0.0875859,-0.72
1645335578.69782,0,18.607681299707846,1015.94918,3.3307611,0.0875859,-0.00115968,0.0875859,-0.72
1645335582.2764127,0,18.535868594685926,1015.73555,3.3273451,0.0875859,-0.00115968,0.0875859,-0.72
1645335585.8362534,0,18.464724489340497,1015.52393,3.3237512,0.0875859,-0.00115968,0.0875859,-0.72
1645335589.401555,0,18.395483173040713,1015.31799,3.3198225,0.0875859,-0.00115968,0.0875859,-0.72
1645335592.945267,0,18.329298595625175,1015.12116,3.3168005,0.0875859,-0.00115968,0.0875859,-0.72
1645335596.5072694,0,18.266057260224837,1014.9331,3.3131561,0.0875859,-0.00115968,0.0875859,-0.72
1645335600.0557492,0,18.207592916750947,1014.75926,3.308371,0.0875859,-0.00115968,0.0875859,-0.72
1645335603.6123064,0,18.15144128100445,1014.59231,3.305489,0.0875859,-0.00115968,0.0875859,-0.72
1645335607.1771128,0,18.099207408577694,1014.43702,3.3017795,0.0875859,-0.00115968,0.0875859,-0.72
1645335610.7663498,0,18.047531527484352,1014.2834,3.2988669,0.0875859,-0.00115968,0.0875859,-0.72
1645335614.3372655,0,17.997002499411032,1014.1332,3.2955675,0.0875859,-0.00115968,0.0875859,-0.72
1645335617.9068203,0,17.94606618139108,1013.9818,3.2932062,0.0875859,-0.00115968,0.0875859,-0.72
1645335621.469531,0,17.893608765746325,1013.82589,3.2901806,0.0875859,-0.00115968,0.0875859,-0.72
1645335625.0354586,0,17.838930004850205,1013.66339,3.2849736,0.0875859,-0.00115968,0.0875859,-0.72
1645335628.6073542,0,17.7801919673201,1013.48884,3.2842526,0.0875859,-0.00115968,0.0875859,-0.72
1645335632.1958828,0,17.717457602685148,1013.30243,3.2805454,0.0875859,-0.00115968,0.0875859,-0.72
1645335635.7735286,0,17.65315264229425,1013.11137,3.2768287,0.0875859,-0.00115968,0.0875859,-0.72
1645335639.3462577,0,17.585576754495914,1012.91061,3.2736508,0.0875859,-0.00115968,0.0875859,-0.72
1645335642.9085197,0,17.517152887499165,1012.70735,3.2697145,0.0875859,-0.00115968,0.0875859,-0.72
1645335646.5093372,0,17.44795150183954,1012.5018,3.2675976,0.0875859,-0.00115968,0.0875859,-0.72
1645335650.1113214,0,17.378797320363127,1012.29641,3.2636082,0.0875859,-0.00115968,0.0875859,-0.72
1645335653.6775384,0,17.31250217657203,1012.09953,3.2602126,0.0875859,-0.00115968,0.0875859,-0.72
1645335657.2587829,0,17.253896185387205,1011.9255,3.2569534,0.0875859,-0.00115968,0.0875859,-0.72
1645335660.8262405,0,17.205180502185307,1011.78085,3.2529017,0.0875859,-0.00115968,0.0875859,-0.72
1645335664.392213,0,17.169529910337634,1011.675,3.2502954,0.0875859,-0.00115968,0.0875859,-0.72
1645335667.961573,0,17.145983045387748,1011.60509,3.2464356,0.0875859,-0.00115968,0.0875859,-0.72
1645335671.5373044,0,17.13347335391366,1011.56795,3.2439849,0.0875859,-0.00115968,0.0875859,-0.72
1645335675.0967257,0,17.129987173257877,1011.5576,3.2418251,0.0875859,-0.00115968,0.0875859,-0.72
1645335678.6564536,0,17.134894767640343,1011.57217,3.2398374,0.0875859,-0.00115968,0.0875859,-0.72
1645335682.2206955,0,17.148620359622456,1011.61292,3.2372057,0.0875859,-0.00115968,0.0875859,-0.72
1645335685.788416,0,17.169668002961743,1011.67541,3.2370312,0.0875249,-0.00115968,0.0875249,-0.72
1645335689.3429422,0,17.194925033894688,1011.7504,3.2360947,0.0875249,-0.00115968,0.0875249,-0.72
1645335692.905495,0,17.22308091103189,1011.834,3.2363843,0.0875859,-0.00115968,0.0875859,-0.72
1645335696.4822116,0,17.252687173872,1011.92191,3.236658,0.0875249,-0.00115968,0.0875249,-0.72
1645335700.0561051,0,17.283171154608297,1012.01243,3.2383594,0.0875859,-0.00115968,0.0875859,-0.72
1645335703.6400185,0,17.313408017990128,1012.10222,3.2391772,0.0875859,-0.00115968,0.0875859,-0.72
1645335707.2091582,0,17.34366381168773,1012.19207,3.2397882,0.0875859,-0.00115968,0.0875859,-0.744
1645335710.7610133,0,17.373874557375373,1012.28179,3.2402358,0.0875859,-0.00115968,0.0875859,-0.744
1645335714.3082628,0,17.404612652725525,1012.37308,3.2413012,0.0875859,-0.00115968,0.0875859,-0.72
1645335717.8783102,0,17.43724834224259,1012.47001,3.2431838,0.0875249,-0.00115968,0.0875249,-0.72
1645335721.449382,0,17.471404297211027,1012.57146,3.2445888,0.0875859,-0.00115968,0.0875859,-0.72
1645335724.9997613,0,17.507770438996882,1012.67948,3.245692,0.0875859,-0.00115968,0.0875859,-0.72
1645335728.5464869,0,17.54542741883688,1012.79134,3.2481851,0.0875859,-0.00115968,0.0875859,-0.744
1645335732.1121478,0,17.5841360357426,1012.90633,3.2490463,0.0875859,-0.00115968,0.0875859,-0.744
1645335735.692079,0,17.624121640460864,1013.02512,3.2509393,0.0875859,-0.00115968,0.0875859,-0.744
1645335739.2678013,0,17.664263211471727,1013.14438,3.2534937,0.0875859,-0.00115968,0.0875859,-0.72
1645335742.8254073,0,17.705018444671634,1013.26547,3.2552549,0.0875859,-0.00115968,0.0875859,-0.72
1645335746.3893845,0,17.745784827260323,1013.3866,3.2573397,0.0875859,-0.00115968,0.0875859,-0.72
1645335749.95747,0,17.786505148594692,1013.5076,3.2593004,0.0875859,-0.00115968,0.0875859,-0.744
1645335753.526036,0,17.82671840726144,1013.6271,3.2610325,0.0875859,-0.00115968,0.0875859,-0.72
1645335757.0871453,0,17.867148129950017,1013.74725,3.2626473,0.0875859,-0.00115968,0.0875859,-0.72
1645335760.649617,0,17.90713144329969,1013.86608,3.2644796,0.0875859,-0.00115968,0.0875859,-0.744
1645335764.219195,0,17.946241133973324,1013.98232,3.2679326,0.0875859,-0.00115968,0.0875859,-0.744
1645335767.791562,0,17.985109831477285,1014.09785,3.2703688,0.0875859,-0.00115968,0.0875859,-0.72
1645335771.352458,0,18.023552548869592,1014.21212,3.271249,0.0875859,-0.00115968,0.0875859,-0.72
1645335774.9184623,0,18.061528987320713,1014.32501,3.2737121,0.0875859,-0.00115968,0.0875859,-0.72
1645335778.4831345,0,18.098188189715767,1014.43399,3.2766518,0.0875859,-0.00115968,0.0875859,-0.72
1645335782.0426972,0,18.134919521253735,1014.54319,3.2785353,0.0875859,-0.00115968,0.0875859,-0.72
1645335785.6109622,0,18.170636586406548,1014.64938,3.2802612,0.0875859,-0.00115968,0.0875859,-0.72
1645335789.1736553,0,18.205450523927674,1014.75289,3.2820258,0.0875859,-0.00115968,0.0875859,-0.72
1645335792.749254,0,18.239129411070987,1014.85303,3.2850248,0.0875859,-0.00115968,0.0875859,-0.72
1645335796.3140683,0,18.27220139020178,1014.95137,3.2869811,0.0875859,-0.00115968,0.0875859,-0.72
1645335799.8917284,0,18.305090257110752,1015.04917,3.2892603,0.0875859,-0.00115968,0.0875859,-0.72
1645335803.4587736,0,18.33677043102015,1015.14338,3.2904772,0.0875859,-0.00115968,0.0875859,-0.72
1645335807.0420852,0,18.367558146846093,1015.23494,3.2931458,0.0875859,-0.00115968,0.0875859,-0.72
