time,tc temp (C),tr temp (C),tr res (ohm),PAR124,x,y,r,theta
1645555200.4021506,0,23.649080905507706,1030.99976,1.4624543,0.00377466,0.00439456,0.00579455,49.326
1645555203.9503958,0,23.652408863752566,1031.00973,1.3942327,0.00403216,0.00437358,0.00594905,47.328
1645555207.5055046,0,23.65582693132672,1031.01997,1.3923873,0.00422099,0.00434497,0.00605968,45.834
1645555211.054899,0,23.65917154824025,1031.02999,1.4049102,0.00413135,0.00433734,0.00599101,46.386
1645555214.6162279,0,23.662699735170097,1031.04056,1.4069191,0.00405315,0.00434116,0.00593951,46.956
1645555218.1908834,0,23.664659089836185,1031.04643,1.399156,0.00403598,0.00430492,0.00590137,46.854
1645555221.7198405,0,23.661331187881075,1031.03646,1.3864794,0.00393298,0.00425342,0.00579455,47.238
1645555225.3040414,0,23.650486193653006,1031.00397,1.3974127,0.00409701,0.00430301,0.00594142,46.41
1645555228.8464482,0,23.629543446036084,1030.94123,1.3954333,0.00412562,0.00432208,0.00597575,46.332
1645555232.3909233,0,23.598475363284805,1030.84816,1.3954265,0.004118,0.00431064,0.00596049,46.314
1645555235.9435647,0,23.557267288575396,1030.72472,1.3945858,0.00403789,0.00433353,0.00592425,47.028
1645555239.5044065,0,23.505500160635922,1030.56966,1.3882982,0.00401309,0.00444797,0.00599292,47.94
1645555243.048638,0,23.446998117278884,1030.39444,1.397403,0.00409701,0.00440219,0.0060139,47.052
1645555246.5908325,0,23.38201664513548,1030.19983,1.4114019,0.00410464,0.00437167,0.00599673,46.812
1645555250.1752944,0,23.314294275360737,1029.99703,1.4272793,0.00409701,0.00435832,0.00598148,46.77
1645555253.7427113,0,23.245977758130522,1029.79247,1.4177906,0.00412562,0.00431445,0.00596812,46.278
1645555257.2845426,0,23.17937162966844,1029.59305,1.4084587,0.00409129,0.00434878,0.00597003,46.752
1645555260.8529384,0,23.11831786445773,1029.41027,1.4006248,0.00408557,0.00438121,0.00599101,46.992
1645555264.4365282,0,23.06237689739775,1029.24281,1.4067674,0.00409892,0.00438121,0.00599864,46.902
1645555268.0072544,0,23.012478689647274,1029.09345,1.4170639,0.00442508,0.00436404,0.00621608,44.598
1645555271.5934865,0,22.968621150244136,1028.96218,1.4246747,0.00415805,0.00441936,0.00606731,46.746
1645555275.137902,0,22.92952231980398,1028.84516,1.4064017,0.00407985,0.00435641,0.00596812,46.89
1645555278.7226403,0,22.893007677342347,1028.73588,1.4154115,0.00410846,0.00435832,0.00599101,46.692
1645555282.2796214,0,22.856761864415798,1028.62741,1.4098765,0.00410464,0.00436595,0.00599292,46.77
1645555285.843327,0,22.819033815198377,1028.51451,1.4162417,0.00410274,0.00435832,0.00598529,46.734
1645555289.4009392,0,22.777744576395225,1028.39096,1.4124772,0.00412181,0.00435832,0.00600055,46.596
1645555292.950226,0,22.73183739972619,1028.2536,1.3984346,0.00407603,0.00439265,0.00599292,47.142
1645555296.532115,0,22.68022176760412,1028.09917,1.3992364,0.00415805,0.00447085,0.00610545,47.082
1645555300.094194,0,22.622318167680394,1027.92594,1.3929677,0.0041447,0.00437549,0.00602725,46.548
1645555303.6607227,0,22.55781753200937,1027.73299,1.3946588,0.004118,0.0043526,0.00599292,46.59
1645555307.2093277,0,22.488483379536895,1027.5256,1.4117609,0.00412372,0.00435069,0.00599483,46.53
1645555310.7805414,0,22.416002876381015,1027.30882,1.4158899,0.00410464,0.00434878,0.00597957,46.65
1645555314.3703518,0,22.34117764114098,1027.08505,1.4168441,0.00410846,0.00436023,0.00599292,46.698
