time,tc temp (C),tr temp (C),tr res (ohm),PAR124,x,y,r,theta
1645307798.2106564,19.2528915,19.42582915611492,1018.38453,3.0375294,0.087769,-0.00115968,0.087769,-0.738
1645307801.9595897,18.9049816,19.200088607594946,1017.7123,3.0313279,0.087769,-0.00115968,0.087769,-0.738
1645307805.6998158,18.5222358,18.93904692508696,1016.93521,3.0237665,0.087769,-0.00109864,0.087769,-0.696
1645307809.440361,18.1158752,18.653808011806365,1016.08641,3.0160033,0.0878301,-0.00109864,0.0878301,-0.696
1645307813.192921,17.6237258,18.300436136667255,1015.03533,3.0044803,0.087769,-0.00115968,0.087769,-0.72
1645307816.9431322,17.040163,17.905916801651355,1013.86247,2.9947814,0.087769,-0.00115968,0.087769,-0.72
1645307820.6808279,16.4045009,17.461297401226343,1012.54144,2.9806449,0.087769,-0.00115968,0.087769,-0.738
1645307824.419567,15.7121858,16.973906820002085,1011.09427,2.9645569,0.087769,-0.00115968,0.087769,-0.72
1645307828.1687517,15.0102996,16.459163305144052,1009.56695,2.9473466,0.087769,-0.00115968,0.087769,-0.738
1645307831.9110315,14.278491,15.914963258080496,1007.95342,2.9273738,0.087769,-0.00115968,0.087769,-0.72
1645307835.659213,13.5448551,15.356505469489777,1006.29889,2.9061508,0.087769,-0.00115968,0.087769,-0.738
1645307839.3855362,12.8198575,14.791660794524377,1004.62675,2.8826456,0.087708,-0.00115968,0.087708,-0.738
1645307843.136146,12.1196365,14.211752715170077,1002.91139,2.8584885,0.087708,-0.00115968,0.087708,-0.738
1645307846.88727,11.4178934,13.63095407136111,1001.19479,2.8335981,0.087708,-0.00115968,0.087708,-0.72
1645307850.6426213,10.7218265,13.32348372518171,1000.2866,2.8074793,0.087708,-0.00115968,0.087708,-0.72
1645307854.4132044,10.0569591,12.762130295376469,998.629512,2.7812364,0.087647,-0.00115968,0.087647,-0.72
1645307858.1793144,9.40840148,12.183923007564625,996.924035,2.752424,0.087647,-0.00115968,0.087647,-0.72
1645307861.92988,8.77922058,11.622939530148772,995.270683,2.7250034,0.087647,-0.00115968,0.087647,-0.72
1645307865.6864905,8.16070747,11.06037685818305,993.613984,2.6983771,0.0875859,-0.00115968,0.0875859,-0.72
1645307869.417465,7.57517623,10.512831889652313,992.002768,2.6708588,0.0875859,-0.00109864,0.0875859,-0.696
1645307873.1761386,7.0333023,9.97848616576626,990.431588,2.6448631,0.0875859,-0.00109864,0.0875859,-0.696
1645307876.9062793,6.52382612,9.448554333731039,988.874553,2.6174461,0.0875249,-0.00103761,0.0875249,-0.678
1645307880.6321156,6.03312921,8.94037232731923,987.382514,2.5928907,0.0875249,-0.00109864,0.0875249,-0.696
1645307884.3522387,5.55622816,8.443236633822425,985.923941,2.5687999,0.0875249,-0.00103761,0.0875249,-0.678
1645307888.0899274,5.13027238,7.95977992372398,984.506482,2.5433669,0.0875249,-0.00097657,0.0875249,-0.63
1645307891.8293755,4.71564674,7.490988568336987,983.132944,2.5194318,0.0875249,-0.00109864,0.0875249,-0.702
1645307895.568304,4.33752393,7.032383837341069,981.790132,2.4961693,0.0874028,-0.00115968,0.0874028,-0.744
1645307899.29259,3.96761107,6.594759645534665,980.509563,2.4724996,0.0874028,-0.00115968,0.0874028,-0.744
1645307903.0151198,3.60947704,6.171734672375978,979.272467,2.4519593,0.0874028,-0.00115968,0.0874028,-0.744
1645307906.7454402,3.2757399,5.76317531664077,978.078377,2.4308793,0.0874028,-0.00115968,0.0874028,-0.72
1645307910.4827425,2.96868038,5.369366948450408,976.928053,2.4106826,0.0874028,-0.00115968,0.0874028,-0.72
1645307914.2177558,2.66315174,4.990171862403783,975.821021,2.3913743,0.0873418,-0.00109864,0.0873418,-0.702
1645307917.9543993,2.37902069,4.619495270051017,974.739433,2.3724954,0.0873418,-0.00115968,0.0873418,-0.72
1645307921.6877058,2.11531472,4.269165190269678,973.717736,2.3543555,0.0873418,-0.00115968,0.0873418,-0.72
1645307925.419214,1.856992,3.930324347608418,972.730029,2.337064,0.0873418,-0.00103761,0.0873418,-0.678
1645307929.150534,1.60364782,3.6078652007808767,971.790515,2.3208599,0.0872808,-0.00109864,0.0872808,-0.702
1645307932.869674,1.36583268,3.2968110319431077,970.884638,2.3049981,0.0872808,-0.00103761,0.0872808,-0.678
1645307936.6197479,1.14188849,2.9971642542764214,970.012361,2.2906763,0.0872808,-0.00109864,0.0872808,-0.702
1645307940.3629646,0.937166094,2.7074730670499116,969.169418,2.2752635,0.0873418,-0.00115968,0.0873418,-0.72
1645307944.1063502,0.730107426,2.434076685606044,968.374208,2.2615752,0.0872808,-0.00109864,0.0872808,-0.702
1645307947.8286202,0.530518591,2.171737150834343,967.611449,2.2482268,0.0872197,-0.00115968,0.0872197,-0.72
1645307951.559559,0.344086647,1.9194888534260628,966.878299,2.2348577,0.0872197,-0.00109864,0.0872197,-0.702
1645307955.3586397,0.174298301,1.676584991638821,966.172557,2.2228169,0.0872197,-0.00115968,0.0872197,-0.72
1645307959.0980601,-0.0137961842,1.444340029680405,965.498012,2.2118201,0.0872197,-0.00109864,0.0872197,-0.702
1645307962.8444023,-0.171515196,1.224728682286228,964.860366,2.200874,0.0871587,-0.00115968,0.0871587,-0.726
1645307966.5909507,-0.316229164,1.0120836693019777,964.243137,2.1899495,0.0872197,-0.00115968,0.0872197,-0.72
1645307970.3444557,-0.464219003,0.8115761701978871,963.66131,2.1796908,0.0871587,-0.00109864,0.0871587,-0.702
1645307974.0747702,-0.613680243,0.6162576042792757,963.0947,2.1711108,0.0871587,-0.00109864,0.0871587,-0.702
1645307977.8094256,-0.727587997,0.43325802807662334,962.56397,2.1611592,0.0871587,-0.00109864,0.0871587,-0.702
1645307981.5313,-0.863160192,0.2567369476482374,962.05216,2.1523053,0.0871587,-0.00115968,0.0871587,-0.726
1645307985.2662606,-0.97319287,0.0893224632637045,961.566873,2.1438431,0.0870366,-0.00109864,0.0870366,-0.702
1645307989.01296,-1.09280347,-0.07302485478269159,961.096385,2.1352736,0.0870976,-0.00109864,0.0870976,-0.702
1645307992.7478034,-1.20653605,-0.2259132354575845,960.653409,2.1275455,0.0871587,-0.00109864,0.0871587,-0.702
1645307996.4866786,-1.30886757,-0.37353436069434504,960.225786,2.1207909,0.0871587,-0.00109864,0.0871587,-0.702
1645308000.2378373,-1.40979349,-0.514556108998771,959.817364,2.1141629,0.0870366,-0.00109864,0.0870366,-0.702
1645308003.9629729,-1.50865972,-0.6486087283937749,959.429202,2.107217,0.0870976,-0.00109864,0.0870976,-0.702
1645308007.7096355,-1.59849071,-0.777299730953616,959.056635,2.1012651,0.0870976,-0.00115968,0.0870976,-0.726
1645308011.4558396,-1.69141137,-0.9000280812105155,958.701394,2.0947422,0.0870366,-0.00115968,0.0870366,-0.726
1645308015.1896887,-1.78138065,-1.0176262227757555,958.361061,2.0894026,0.0870366,-0.00109864,0.0870366,-0.702
1645308018.926687,-1.87165594,-1.1292022805007471,958.038209,2.084177,0.0870366,-0.00109864,0.0870366,-0.702
1645308022.649221,-1.95553994,-1.2359687657175675,957.729322,2.0790147,0.0870366,-0.00109864,0.0870366,-0.702
1645308026.3904436,-2.02404356,-1.3387345485515643,957.432054,2.0732495,0.0870366,-0.00115968,0.0870366,-0.726
1645308030.1429234,-2.09288191,-1.4364743715279582,957.149365,2.0684094,0.0870366,-0.00109864,0.0870366,-0.702
1645308033.944853,-2.15203714,-1.531101974081811,956.875715,2.0640552,0.0870366,-0.00115968,0.0870366,-0.744
1645308037.6983938,-2.20846796,-1.6212845070357138,956.614954,2.0598733,0.0870366,-0.00115968,0.0870366,-0.726
1645308041.430934,-2.27176141,-1.7068815404077577,956.367483,2.056169,0.0870366,-0.00109864,0.0870366,-0.702
1645308045.1564772,-2.32482337,-1.787731215067468,956.133765,2.0522348,0.0869756,-0.00109864,0.0869756,-0.702
1645308048.8957512,-2.39605784,-1.8661427274420284,955.907121,2.0480177,0.0869756,-0.00109864,0.0869756,-0.702
1645308052.6695542,-2.44984745,-1.9414664604575511,955.689426,2.0445711,0.0869756,-0.00103761,0.0869756,-0.678
1645308056.4088752,-2.49856925,-2.0131660603299584,955.482227,2.0411345,0.0869756,-0.00103761,0.0869756,-0.678
1645308060.1394775,-2.54532527,-2.0817484767796253,955.284056,2.0371844,0.0870366,-0.00109864,0.0870366,-0.702
1645308063.8860726,-2.59916877,-2.1460996499892873,955.098129,2.0352075,0.0870366,-0.00103761,0.0870366,-0.678
1645308067.6517098,-2.66466498,-2.209989439920558,954.913552,2.0302596,0.0869756,-0.00109864,0.0869756,-0.702
1645308071.396791,-2.71069288,-2.27094801241871,954.737459,2.0272703,0.0869756,-0.00115968,0.0869756,-0.726
1645308075.1470172,-2.74073934,-2.3279238335651815,954.572885,2.0265514,0.0869756,-0.00109864,0.0869756,-0.702
1645308078.881642,-2.76885437,-2.3830740595619098,954.413597,2.0239939,0.0869756,-0.00115968,0.0869756,-0.726
1645308082.6122658,-2.81549024,-2.4356568946277677,954.261736,2.0206751,0.0869756,-0.00115968,0.0869756,-0.726
1645308086.3456414,-2.84236645,-2.486302014339332,954.115482,2.018403,0.0869756,-0.00103761,0.0869756,-0.678
1645308090.0854394,-2.87736487,-2.5341113395324526,953.977427,2.0158863,0.0869145,-0.00109864,0.0869145,-0.702
1645308093.8167033,-2.92409157,-2.581129085035552,953.841667,2.0139954,0.0869145,-0.00103761,0.0869145,-0.684
1645308097.544326,-2.93995857,-2.6261213416556006,953.711764,2.0120058,0.0869756,-0.00103761,0.0869756,-0.678
1645308101.284564,-2.97878503,-2.6676238953475297,953.591944,2.0097637,0.0870366,-0.00115968,0.0870366,-0.726
1645308105.0135744,-3.02731442,-2.708094552366219,953.47511,2.0083975,0.0869756,-0.00115968,0.0869756,-0.726
1645308108.7503695,-3.06020498,-2.747310728920953,953.361904,2.0055751,0.0869756,-0.00103761,0.0869756,-0.678
1645308112.4779632,-3.09101676,-2.7846614349919747,953.254089,2.0044631,0.0869756,-0.00103761,0.0869756,-0.678
1645308116.2185,-3.11957335,-2.820715605334426,953.150022,2.0021903,0.0869756,-0.00109864,0.0869756,-0.702
1645308119.9892042,-3.14885711,-2.8550829051472997,953.050829,2.0004668,0.0869756,-0.00109864,0.0869756,-0.702
1645308123.7436764,-3.1553862,-2.8881168553809524,952.955489,2.0003085,0.0869145,-0.00115968,0.0869145,-0.726
1645308127.4716482,-3.18001961,-2.9198470664720846,952.863916,1.9986733,0.0869756,-0.00109864,0.0869756,-0.702
